"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
102001,"United States",0,171800,171900,171900,172000,171900,171900,172400,173000,173700,174700,175800,176700,177400,178200,179000,179700,180500,181500,182400,183100,183800,184800,186100,187000,187200,187200,188100,189500,190600,191100,192000,193000,194000,194900,196000,197400,198700,199800,201000,202100,203100,204300,205400,206400,207800,209200,210600,211900,213500,215200,216400,217500,218700,220000,221300,222500,224100,225600,227100,228400,229800,231000,232100,233100,234400,235600,236800,237800,239000,240200,241200,242200,243200,244400,245700,247300,248900,250500,252100,253700,255400,257100,258700,260300,262000,263900,265900,267700,269300,271000,272700,274600,276400,278200,280400,282600,285000,287600,290400,293200,296200,299100,302100,305100,307900,310600,313700,317400,321100,324600,328000,331400,334700,337900,340900,343800,346300,348500,350400,352200,353700,354800,355700,356500,357000,357400,357700,357600,357500,357700,357900,357900,357900,357600,356900,355900,354800,353500,352000,350200,348100,345800,343300,340300,337200,334700,332200,329800,327500,325300,323400,321500,319600,317900,316300,314400,312200,309500,307200,305500,304300,303200,302300,301500,300400,299100,297800,296700,295800,295000,294000,292500,290700,289100,287800,286600,285800,284900,284000,283000,282100,281200,280500,279700,278900,278300,277500,277100,277200,277300,277500,278000,278800,279500,280300,281400,282700,283700,284600,285500,286700,288000,289500,291200,293300,295500,297600,299800,301800,303500,305000,306300,307400,308800,309900,310700,311600,312700,313900,315000,315700,316500,317500,318400,319000,319800,320900,322300,323800,325400,326500,327700,329100,330100,330900,331900,333000,334000,335200,336700,337600,338700,340200,341400,342300,343900,346200,348600,350400,351400,352300,353100,353700,354300,354900,355500,356500,357500
394913,"New York, NY",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,615000,622000,627400,632600,635200,638400,645500,654900,661800,668400,674500,679900,683800,687700,692500,697600,700100,701500,704300,707900,711100,713800,715200,715500,715700,715200,714400,714000,711600,708800,708300,709300,708900,708700,707900,706500,704900,704100,703700,703600,702000,699200,696500,694700,692300,689300,686000,683200,680200,677100,673900,669700,665900,662800,659000,653700,648600,643700,639000,634900,631800,629800,628600,628400,625200,620100,616900,616500,615700,615600,615400,614900,613800,612400,611200,610600,610900,611400,611700,611000,610000,608900,608300,607500,606400,605000,603000,600800,599400,598100,597200,597300,598000,598400,599500,601800,604700,607300,609100,610400,612000,613700,615000,616600,619000,621800,625300,629400,633700,636800,639000,641000,644000,648500,653300,656600,658900,661300,663700,665300,666400,667400,668400,669300,671300,674100,676700,679200,681900,684700,688100,692300,695900,699300,703000,705500,707200,709200,711400,714000,716500,718100,718600,720100,723900,729700,735800,742600,748100,751500,754900,758700,763600,770300,775900,778600,780300,781700
753899,"Los Angeles-Long Beach-Anaheim, CA",2,292600,293600,292900,291900,291800,292400,292700,293400,295100,298100,300800,303100,305200,307200,307900,308600,310000,312200,314500,317100,320000,323300,327800,328900,326900,326100,333900,344800,352300,354600,357900,361200,364100,366100,368100,371300,374700,378200,381000,382600,383800,386300,389400,392600,396000,399900,403600,407000,410500,414200,416500,418300,420800,424000,427000,431000,435500,440300,445200,450400,454400,456900,457800,459300,461700,464600,467700,471900,476300,480600,484700,489400,495000,501400,507900,514700,522700,532200,541300,549100,556400,564200,572300,579700,587000,594300,600600,607300,615700,625100,635500,647300,660000,672300,684700,698900,715900,734000,751700,767700,780600,790400,797900,803800,809200,815100,821300,828000,835800,846700,859000,870500,880300,889100,896900,904500,911100,916300,921500,927200,930700,931200,931500,931600,930900,930000,928700,926100,922500,920200,919900,920300,919900,917000,912100,907700,903500,897900,891700,885400,879300,872700,863400,850000,835800,823300,811900,800700,791400,784500,778700,772000,766500,763300,758700,751600,744500,738800,736200,736600,738000,740100,741900,742900,740300,735700,732900,732900,734000,734700,732800,729000,725400,721500,718900,718900,720000,719500,717600,715900,712800,708500,704800,700800,696200,692600,690000,688200,687900,688100,688700,689800,692700,698300,704700,710800,716500,721000,724100,728400,735100,742800,752500,764500,777100,788100,797100,805100,813500,822400,830500,835500,837700,839700,843300,849300,854900,857500,859500,863900,867700,870000,872100,874600,878400,884400,890300,894900,898700,902100,904800,907500,911000,916100,921600,927500,933500,939100,945100,950600,954100,955600,959200,962800,965100,968600,975000,980900,985800,989900,992000,993300,997400,1005000,1011800,1016600,1021200,1025300
394463,"Chicago, IL",3,220000,220500,221000,221100,221100,221300,221600,221900,222800,224400,225800,226500,226900,227400,227800,228200,228700,229600,230500,231100,231800,233000,234100,235100,236100,236800,236900,237100,237600,238600,240200,241900,243400,244600,245800,247200,248800,250200,251500,253200,254900,256500,258300,260400,262300,264300,266300,268100,269900,271800,273700,275700,277800,280000,282200,284300,286900,289600,291700,293500,295500,297600,299500,301300,303300,305600,307700,309600,311400,313300,315100,316700,318000,319100,320400,322300,324500,326800,329200,331300,333500,335900,338500,341200,344100,347700,352400,356400,358600,358700,357700,357100,358200,360200,362100,363700,365700,367500,368700,370200,372600,375000,377500,380900,381700,380100,380600,384000,386500,388900,391000,393100,395200,397500,400100,402600,405100,407600,409500,410700,412000,413000,413800,414300,414800,415500,416500,417000,417300,418100,418700,418200,417100,415700,414400,413200,411900,410500,408900,406900,405300,404300,402900,400100,397100,394000,390500,386600,383400,381100,379000,376500,374800,373900,372400,369300,366200,363100,360100,357500,355800,354400,353200,352400,350400,346700,343300,341000,339200,338200,336900,334600,331900,329700,327200,324700,323100,322500,321800,320900,319300,316600,314300,313300,312600,311800,310700,309500,308200,306500,304700,304000,304200,305000,307000,309400,310500,310300,310600,311700,312300,312400,313700,316100,318900,322000,325400,328600,331100,333000,334500,335600,336800,338300,339600,340700,341900,343200,344400,345600,346700,347500,347600,347500,347600,348400,349100,350100,352000,353900,354200,353400,352800,353000,353800,354700,355600,356300,357200,358500,360100,361100,361700,362100,362900,363900,365100,366400,368400,370600,372200,372700,372400,372400,372200,371700,372100,372900
394514,"Dallas-Fort Worth, TX",4,,,,,,,,,,,168500,169000,169400,169900,170600,171300,172000,173200,174200,174900,175600,176700,177500,178000,177900,178000,178400,179200,180100,180800,181400,182200,183300,184600,185600,186500,187500,188800,190100,191300,192500,193600,194200,195100,196500,197600,197700,197900,198000,198500,198800,198600,198400,198600,199000,199700,200300,201000,202400,204400,206300,207600,208800,209700,210600,211500,212400,213000,213800,214600,215000,215300,215500,215800,216200,217000,217700,218200,218800,219400,219900,220400,220600,220700,220600,220500,220700,221100,221400,221600,221700,221800,222200,223400,225000,226800,228700,230400,231500,232600,234000,235300,236400,237600,238400,238800,239400,240300,241100,241900,242800,243800,244900,246100,247100,248000,248800,249700,250700,251700,252400,253300,254500,255700,256500,257200,258200,259400,260000,260400,261000,261900,262600,263200,263900,264600,265600,266700,267800,268900,268900,267600,265800,264300,263100,262500,261800,261000,260100,259300,258700,258100,257100,255700,254800,254100,253000,251700,250700,250300,250400,250700,251000,250500,252600,256700,258600,258000,258800,259900,260600,260700,260300,259600,258600,257800,257600,257700,258000,258300,258100,257600,257200,256900,256400,256100,256400,257000,257700,258500,259800,261100,262100,262700,263000,263300,263900,264700,265300,266200,267000,267500,268400,270400,272600,274700,276900,279100,281200,283200,285100,287000,288100,288600,289800,291300,292400,293600,295400,297800,300100,301900,303600,305400,307100,308700,310500,313200,317000,321500,325600,328700,331500,334700,338000,341200,343900,346300,348700,350800,352600,354600,357300,360200,362900,365500,368400,370600,371400,372400,374800,377400,379500,381200,382100,382300,383300,384700
394974,"Philadelphia, PA",5,179700,179500,179600,179700,179600,179500,179500,179800,180200,180900,181600,182400,183000,183400,183600,183800,184000,184400,184900,185500,186000,187000,188300,189500,190200,190500,190700,190800,190600,190600,191000,191500,192100,193100,194100,195000,195800,196500,197400,198800,200500,202200,203500,204600,205800,207200,208600,209900,211200,212600,214000,215500,217000,218200,219700,221400,222800,224300,226100,227700,229400,231500,233500,235300,237200,239300,241200,242800,244800,247100,249100,251200,253300,255600,258100,260800,263600,266600,269500,272600,275800,279000,281700,284400,287600,290500,293000,295800,298900,302000,305100,308300,311200,313700,316400,319600,323000,326600,330300,333700,337000,340200,343300,346600,349900,352900,356000,358900,362000,365400,369000,372300,375500,378800,381900,384700,387200,389100,390700,392300,393700,394500,395100,395800,396200,395900,395300,394300,393300,393100,393400,393300,392600,391800,391100,390300,389600,388900,388200,387700,386700,385300,383800,382600,381300,380400,379400,378600,377700,376700,375200,373300,371500,370100,369000,367900,366000,364000,362300,360900,359600,358700,358400,358300,357900,356400,354600,353600,353600,353400,352700,350700,348100,346100,344800,343500,343200,343500,343700,342900,341300,339400,338000,337000,336100,335100,334400,333900,333600,333600,333500,333000,332700,332200,331700,332200,333300,333800,333700,334100,335200,336400,337200,338100,340000,342300,343900,344700,345600,347000,348500,349200,349600,350700,352000,352800,353600,355100,356500,357900,358600,358900,359100,359300,359000,358400,358700,359700,360600,361700,363400,364800,365500,365300,365000,365300,365800,366000,366600,367400,367800,367900,368500,369900,371800,374000,375600,376800,377500,377600,377200,377700,379000,380200,380400,380500,381100,381700
394692,"Houston, TX",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255300,255300,255400,255500,255000,254400,253100,251700,250600,249800,250600,251700,252900,252700,252300,252200,252000,251600,251000,250500,249900,249500,250600,252000,253500,253800,254300,254600,255000,255300,255700,256800,257500,258300,260000,261800,264300,266300,268600,271100,274200,276800,278700,280800,282300,284800,288200,291400,293600,295200,297400,299700,302200,304000,305800,308800,310400,311500,313100,315100,317500,319600,321400,323000,324200,324700,324900,326800,327700,328200,329100,330300,331600,332400,331700,329800,325800,322600,320500,322700,323100,323500,322500,321100,319100,318200,318100,318400,319800,323100,327600
395209,"Washington, DC",7,250300,250100,250000,249700,249500,249600,250200,251000,251700,252700,253700,254300,254400,254200,253900,253900,254200,254500,254800,255800,257100,258600,259900,260900,261500,261900,262100,262600,263000,264100,265400,266400,267500,269200,270900,272400,273700,275600,278100,280800,283400,285800,287600,290000,292900,296000,299400,302600,305900,309500,313100,316700,320500,324200,327700,331300,335100,339100,343100,347000,351300,355800,360200,364700,369100,373000,376700,380400,383600,386800,390600,394800,398600,402500,406900,411500,416000,420800,425400,429800,434600,439300,443700,448000,452000,455500,458800,462600,466900,472000,477900,483700,489400,496100,503400,511100,519700,529100,538800,549000,559400,569600,579500,589500,599500,609000,618500,628600,638800,648500,657900,666100,672200,677100,681400,685000,687000,687700,687800,687200,685000,682200,678300,673600,669100,665500,662500,660200,657500,654900,653000,652200,651600,650300,647900,644800,641100,637700,634300,630300,625100,619700,613900,608000,601800,596000,590600,586600,583800,580800,577400,573900,569300,564300,560500,557700,554700,552000,550300,549800,550100,551000,552200,552400,557000,564800,569300,568700,569100,569700,570100,569600,568400,566600,564800,564100,563600,562400,561300,561600,562400,563300,564000,565000,566200,566600,566700,567400,567400,566200,565900,567500,570100,572600,574900,577200,578700,579500,580900,583300,585400,586900,589000,592400,596200,600900,606500,611600,615800,619800,622700,623700,623700,624200,625400,627100,629200,631300,632500,632800,632400,632300,633400,635200,636600,638000,640000,642300,643800,644800,645400,645700,646000,646500,647200,648500,649800,650900,652300,654300,655400,655600,655300,655200,656000,658400,661400,664600,667700,670900,673400,672900,669600,666800,665600,665600,666700,668000
394856,"Miami-Fort Lauderdale, FL",8,175600,175700,175500,175200,174900,174500,174500,174800,175300,176200,177200,177600,177900,178100,178400,178700,179000,179900,181100,181900,182300,183000,183800,184300,184400,184700,185000,185200,185500,186000,186600,187500,188400,189100,190000,191300,192400,193500,194800,195800,196400,196900,197600,198500,200000,201800,203600,205400,207100,208900,210700,212200,213200,214300,215800,217700,219800,222000,224500,227600,230700,233400,235500,237600,239800,242300,245400,248100,251100,254700,258900,262500,265600,268000,270900,275800,283200,289100,291800,294100,296400,297900,298900,300200,301900,304300,307000,309500,312100,315200,319000,322900,326900,331300,335600,340100,345500,352000,359300,366400,373000,380100,387900,395800,403600,411900,420900,431100,442200,453200,463700,474000,483400,491700,499700,507500,513400,518000,522500,526400,529200,531100,531400,530400,528600,526900,526200,526200,524600,521400,518000,514700,510500,505400,499500,493300,487200,481300,474700,467800,460900,453300,443800,433600,423200,413100,404200,396200,388100,379300,370300,360900,353700,349700,346600,341800,336900,332900,329800,326500,323900,322900,322800,322800,322900,321900,319500,317200,315500,314400,313600,313100,312000,310700,308600,306600,304100,302200,301700,302800,304000,304500,304100,303900,303800,303300,302800,303000,304300,306500,309300,311800,314000,316000,318600,320800,322800,324200,326400,329700,333200,335600,337700,340900,344700,348100,350800,353600,356900,360900,365000,367900,370100,372400,375000,377500,380800,384200,386900,388300,389500,391400,394000,396800,399200,401300,404100,407400,410200,413000,416200,419200,422100,424900,427500,429600,431700,433500,434300,434900,435800,436500,438100,441200,443600,446100,449900,453100,454600,455300,455100,454400,454100,454500,454800,455300,456900,458900
394347,"Atlanta, GA",9,182300,182300,182200,181900,181900,182300,182900,183600,184500,185500,186500,187700,188700,189400,189900,190600,191400,192100,193000,193900,194900,196000,197200,198300,199400,200400,201600,203000,204400,205900,207600,209100,210500,211800,213400,215200,217000,218800,220700,222400,224400,226400,228100,229600,231300,233000,234700,236400,238300,240000,241800,243700,244900,245700,246600,247500,248400,249400,250200,250900,251700,252700,253600,254400,255300,256400,257100,257700,258500,259400,260200,260900,261700,262800,263800,264800,265800,266300,266600,267200,267900,268500,269200,269900,270500,271100,271600,272100,272800,273700,274700,275700,276700,277600,278500,279800,281000,281700,282500,283400,284400,285400,286700,288300,290100,291900,293600,295400,296900,298000,299000,300400,301900,303400,305300,307300,308800,310200,311700,313000,314100,315200,316500,317800,319000,320000,320800,321500,321900,321400,321000,321200,321900,322400,322400,322300,322400,322500,322000,321200,320400,319600,318200,316500,314500,312600,310500,308200,305600,303100,300400,297100,294500,293700,293000,291400,289200,287000,284900,283100,282200,281400,280700,280200,278900,276600,274700,273300,272200,271700,271200,269600,267200,264600,262200,260200,258800,257000,254800,253000,251800,250500,249400,248700,248100,247800,247700,247300,246900,246900,246900,247000,247200,248000,249800,251800,253100,254300,255900,257800,259800,261800,263700,265600,268100,270400,272600,275000,277400,279500,281500,283600,285300,286900,288500,290300,292200,293700,294900,296200,297400,298400,299700,301600,303300,305100,307900,311400,314200,316400,318700,320900,322900,325000,326900,328400,329700,331300,333100,335100,337400,339300,340300,341300,343200,345800,348200,350700,352900,354800,355900,356500,356800,357400,358200,359000,360700,362600
