"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"United States",,0,1435,0,0.00279524807826695,0.0191761363636364,90081733
2017-09-30,"New York, NY","NY",1,2432,-0.00041101520756268,0.00247320692497939,0.000823045267489712,3785921
2017-09-30,"Los Angeles-Long Beach-Anaheim, CA","CA",2,2766,0.00253715114171801,0.00985761226725082,0.0425932906143988,2533744
2017-09-30,"Chicago, IL","IL",3,1673,0.00119688809096349,0.00540865384615385,0.00904704463208685,2806783
2017-09-30,"Dallas-Fort Worth, TX","TX",4,1612,0.0043613707165109,0.0100250626566416,0.0320102432778489,1732773
2017-09-30,"Philadelphia, PA","PA",5,1591,-0.000628140703517588,0.0012586532410321,0.0056890012642225,1902328
2017-09-30,"Houston, TX","TX",6,1535,-0.000651041666666667,-0.00453955901426719,-0.0166559897501602,1637783
2017-09-30,"Washington, DC","DC",7,2147,0.00186654223051797,0.00420954162768943,0.0103529411764706,1784384
2017-09-30,"Miami-Fort Lauderdale, FL","FL",8,1901,0.00105318588730911,0.00422609614368727,0.00795334040296925,1947383
2017-09-30,"Atlanta, GA","GA",9,1375,0.00585223116313094,0.0192735359525575,0.0456273764258555,1745908
2017-09-30,"Boston, MA","MA",10,2392,-0.000417885499373172,0.00209467951403435,0.0217855617257582,1162808
2017-09-30,"San Francisco, CA","CA",11,3403,-0.00176004693458492,-0.00205278592375367,-0.00176004693458492,1096332
2017-09-30,"Detroit, MI","MI",12,1170,0.0060189165950129,0.0112359550561798,0.0121107266435986,1558244
2017-09-30,"Riverside, CA","CA",13,1854,0.00596852957135106,0.0203632361034673,0.0642939150401837,1104452
2017-09-30,"Phoenix, AZ","AZ",14,1352,0.00445765230312036,0.0119760479041916,0.0297029702970297,1363003
2017-09-30,"Seattle, WA","WA",15,2234,0.00449640287769784,0.0182315405651778,0.0537735849056604,1030456
2017-09-30,"Minneapolis-St Paul, MN","MN",16,1630,0.00184388444990781,0.011166253101737,0.04554201411161,1061049
2017-09-30,"San Diego, CA","CA",17,2554,0.004720692368214,0.0179354324432045,0.048440065681445,744503
2017-09-30,"St. Louis, MO","MO",18,1175,0.000851788756388416,0.00599315068493151,0.024411508282476,953439
2017-09-30,"Tampa, FL","FL",19,1391,0.00143988480921526,0.00433212996389892,0.035740878629933,970605
2017-09-30,"Baltimore, MD","MD",20,1733,-0.000576701268742791,-0.000576701268742791,0.00231347599768652,947151
2017-09-30,"Denver, CO","CO",21,2053,0.00342130987292278,0.0138271604938272,0.0173439048562934,831571
2017-09-30,"Pittsburgh, PA","PA",22,1093,-0.00636363636363636,-0.00364630811303555,-0.012646793134598,781490
2017-09-30,"Portland, OR","OR",23,1887,0.0053276505061268,0.0177993527508091,0.0465890183028286,662077
2017-09-30,"Charlotte, NC","NC",24,1291,0.00232919254658385,0.0101721439749609,0.0394524959742351,817867
2017-09-30,"Sacramento, CA","CA",25,1816,0.009449694274597,0.0277306168647425,0.0619883040935673,612381
2017-09-30,"San Antonio, TX","TX",26,1340,0.00149476831091181,0.000746825989544436,0.0120845921450151,604704
2017-09-30,"Orlando, FL","FL",27,1435,0,0.00631136044880785,0.036849710982659,698876
2017-09-30,"Cincinnati, OH","OH",28,1292,0.000774593338497289,0.00388500388500389,0.0213438735177866,635855
2017-09-30,"Cleveland, OH","OH",29,1189,-0.000840336134453782,-0.00335289186923722,0.0016849199663016,648249
2017-09-30,"Kansas City, MO","MO",30,1315,0.00152322924600152,0.00076103500761035,0.0281469898358092,614077
2017-09-30,"Las Vegas, NV","NV",31,1286,0.0039032006245121,0.0157977883096366,0.0370967741935484,631270
2017-09-30,"Columbus, OH","OH",32,1352,0.00520446096654275,0.00895522388059702,0.0234670704012112,580881
2017-09-30,"Indianapolis, IN","IN",33,1217,0.00578512396694215,0.0167084377610693,0.0167084377610693,643061
2017-09-30,"San Jose, CA","CA",34,3506,-0.000285143997718848,0.00314735336194564,-0.00341102899374645,428640
2017-09-30,"Austin, TX","TX",35,1721,-0.00116076610562972,0.0023296447291788,-0.00289687137891078,473450
2017-09-30,"Virginia Beach, VA","VA",36,1432,-0.000697836706210747,-0.000697836706210747,0.00280112044817927,513946
2017-09-30,"Nashville, TN","TN",37,1499,0.00133600534402138,0.0046916890080429,0.0281207133058985,590469
2017-09-30,"Providence, RI","RI",38,1707,0.0076741440377804,0.023995200959808,0.0453153704837722,405707
2017-09-30,"Milwaukee, WI","WI",39,1464,-0.00136425648021828,-0.00340367597004765,0.0209205020920502,337833
2017-09-30,"Jacksonville, FL","FL",40,1322,0,0.0130268199233716,0.0320062451209992,453998
2017-09-30,"Memphis, TN","TN",41,1085,0,0.00462962962962963,0,417926
2017-09-30,"Oklahoma City, OK","OK",42,1104,0,0,-0.019538188277087,452389
2017-09-30,"Louisville-Jefferson County, KY","KY",43,1187,0.000843170320404722,0.013663535439795,0.0504424778761062,521016
2017-09-30,"Hartford, CT","CT",44,1638,0.0018348623853211,0.00122249388753056,-0.0138470800722456,345605
2017-09-30,"New Orleans, LA","LA",45,1402,0.00142857142857143,0.00214438884917798,0.0130057803468208,342029
2017-09-30,"Buffalo, NY","NY",46,1250,-0.00159744408945687,-0.0134175217048145,0.0137875101378751,297664
2017-09-30,"Raleigh, NC","NC",47,1440,0,0,0.0344827586206897,383140
2017-09-30,"Birmingham, AL","AL",48,1073,0.00186741363211951,0.0103578154425612,0.0199619771863118,389919
