"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,127.514577259475,130.959212396862,127.514577259475,125.470469730957,121.845425867508,121.095421480531,117.962970601986,113.941018766756,116.700507614213,115.82789806171,112.6588681104,109.505300353357,108.819408665616,109.4353635246,109.448004955318,109.244244379471,112.74346227894,112.74346227894,111.001874851531,108.624229979466,107.012177272993,106.88679245283,103.060306030603,104.938271604938,104.128440366972,106.245239908606,110.442430650872,115.141047783535,120.604475443185,121.055487481097,120.550705171256,114.57670273711,114.57670273711,114.602178699892,116.128428093645,111.491108071135,113.649502613437,115.2,117.677165354331,126.323751891074,127.975977023921,127.842385700519,127.651792245794,130.980861244019,129.322871258355,129.063729409504,135.842471187931,133.212996389892,129.321954343668,133.928571428571,141.373737373737,146.572734196497,149.8696785404,150.70564516129,157.728706624606,151.049132027393,157.967032967033,162.218543046358,160.386047635571,159.929701230228,161.609110947832,172.986944982825,178.300845397446,176.287034942893,174.356223175966,167.966558926956,169.503413052454,169.340463458111,169.41599444092,173.253940747587,180.282347830589,181.929004733214,179.959368543908,176.931974139973,182.34398782344,190.364195444741,191.37055184615,191.706615532119,189.20302760463,194.625054182922,196.221469838904,196.001428061407,191.893539211703,191.36460554371,191.003213138165,195.052083254589,197.693032015066,207.76843146957,198.275907460925,198.075471698113,188.957079354783,191.248750048046,186.472346786248
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,84.0210801772476,84.8861457016403,84.6727191614679,83.4630238574395,83.8591172188705,81.2529890004782,79.0754257907543,78.5148536167458,76.5428649087289,76.5421502748931,72.6089133700551,68.2342093130475,64.5773979107312,61.8453500235621,59.0377760220013,55.8807876530069,55.793392275477,55.6311881188119,55.4089709762533,60.4838709677419,60.4687656039805,60.8563449821237,60.5826024445574,60.1872222506937,58.7432380456091,62.1712099473936,63.9168765743073,66.2607254815235,68.9021589343133,69.0789473684211,68.1265206812652,69.5652173913043,71.7019517227201,72.8862446167504,76.4525993883792,77.615349474646,78.165065107598,78.8643533123028,80.1538500314622,83.0194254584736,84.3253968253968,86.0373647984268,90.1074759768186,93.0668332292317,97.9055733049343,98.5004284490146,98.8940628637951,96.1820119006383,97.9049770771463,99.7358060341733,101.319509896324,102.730646824864,102.961512498147,105.439538510271,106.19349005425,106.50808835801,106.066420498154,107.08245243129,106.43220731143,107.731554160126,109.289253187614,110.432330827068,112.948042168675,112.786611379761,112.860892388451,112.558526113764,113.802379940501,114.526066350711,115.084914463453,115.557553956835,115.557553956835,116.216216216216,115.613382899628,112.921125644075,116.293045339709,119.024856596558,119.65824388488,120.839827587885,124.161816891412,125.246008179889,124.492304763578,123.874432052871,122.161548482644,121.37049941928,124.461339319698,124.746868722511,127.507607978053,131.375579598145,133.451957295374,135.731725163089,136.500230582953,137.597911227154,136.99784854096
"Upper West Side","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1986.48844872752,1907.08604483008,1852.11846192974,1872.91666666667,1989.098705074,1960.90019064555,2124.94687632809,2074.96653279786,2177.41935483871,2100.8166969147,2144.35388648285,2299.192520187,2233.33333333333,2242.88851112056,2231.1942201445,2254.09755404457,2254.09755404457,2291.00649259197,2370.18721299894,2322.34213701782,2379.94654767594,2379.94654767594,2428.6303630363,2436.33599391866,2428.6303630363,2437.30130695867,2473.13281514025,2458.74587458746,2434.02703482529,2444.85294117647,2320.16402714932,2361.33747767275,2347.5873633868,2394.67849223947,2428.6303630363,2399.54952091065,2404.42054958184,2394.67849223947,2398.29267479593,2344.8275862069,2288.4012539185,2291.32178556045,2288.4012539185,2277.13815789474,2223.1744943435,2258.0103921435,2258.0103921435,2223.1744943435
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,335.739173718268,345.102599479125,356.751962560386,361.714451201853,361.714451201853,362.016645890782,346.93287037037,362.133159210885,347.745281339031,346.93287037037,332.205462698736,335.518159081679,328.26949820484,332.205462698736,314.052001168566,309.485494374621,316.655720775429,309.833424968974,307.96586059744,306.59924312975,305.423350421529,291.891015244891,295.063117692784,279.722764864692,279.281930547381,289.012815441864,289.32411938697,300.418509104836,302.472145273429,318.374772589448,307.894921454814,322.034817291213,304.054054054054,315.078236130868,321.105664488017,319.941822882999,354.300492610837,329.917558383322,353.730945140693,363.043072906955,395.978351939494,391.323792486583,405.410974517124,421.555134096801,428.383892120782,424.249627188192,412.172647914646,412.438239112177,435.917407425602,408.318380846534,413.213665347608,431.546069755336,431.264152954993,435.038084874864,427.723298339704,428.709709649028,428.434732933448,423.82271468144,436.281415343915,450.192950861847,466.059620596206,453.884420403081,465.375907240219,455.127015433365,466.964278946371,450.20325203252,449.801180348279,422.70461974625,451.039387308534,468.414779499404,460.811733556299,467.283716483957,462.452894826996,455.176433522369,455.0021602938,482.569399612653,506.482982171799,490.991417149499,483.401986915435,482.935668982181,490.735379270411,480.250513954155,479.320531757755,478.349301504041,477.707006369427,497.222926736111,533.074872788951,531.998429524931,516.351118760757,526.25656165748,533.015873015873,514.148919300871,524.156764254853
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.548967355097,188.144329896907,181.649926437912,182.307232516438,182.622688423167,181.623931623932,179.937022042285,192.45,193.263101727669,191.929133858268,190.108191653787,196.190939861826,204.093567251462,181.303975932043,203.359328134373,191.268817270009,184.475806451613,197.607260726073,202.2897958236,203.484240687679,212.099419725373,218.682646818678,212.10407239819,206.79012345679,211.779772566298,219.332723948812,212.565258530143,205.621572212066,210.031512605042,217.689822294023,222.122003193777,219.454329774614,216.207349081365,222.48243559719,235.284686698913,229.037800687285,229.470668832389,229.470668832389,222.48243559719,231.448412698413,239.705882352941,241.700046081019,251.82165401782,244.027303754266,245.882824613352,247.230464886251,241.79307831158
"Upper East Side","New York","NY","New York","New York",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2291.68211672831,2291.68211672831,2291.68211672831,2151.97215777262,2145.73935971778,2214.58142447574,2330.29381965552,2353.05416826738,2306.54761904762,2165.2774801602,2306.54761904762,2306.54761904762,2252.62123197903,2306.54761904762,2306.54761904762,2306.54761904762,2337.35116284669,2581.33420966152,2619.01294552678,2633.2190713618,2564.40281030445,2488.09523809524,2506.73451062556,2563.43045281779,2633.2190713618,2628.6799702314,2538.61321064739,2538.61321064739,2449.1373563092,2378.10349985043,2553.64806866953,2582.97732500822,2561.4232596571,2506.73451062556,2506.73451062556,2551.06382978723,2571.78268952696,2528.70201096892,2440.15744529443,2369.22281709759,2325.89770891062,2306.15450042166,2253.05846838259,2256.11693676517,2294.30917440351
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,61.1059642713961,62.99728610706,62.7162162745801,62.1983326020184,62.1171938725893,60.7249143653619,60.9756097560976,58.6222627737226,56.9163405335662,56.062874251497,51.7786238693715,49.5110024449878,46.1472261287546,43.824531516184,42.3728813559322,42.2356634758936,42.8362581418281,42.3728813559322,41.8844984802432,44.5979370492749,44.8583596049168,43.3159722222222,43.4487436535001,42.8954423592493,42.8998663941461,44.2590801633355,46.2375500858615,46.7980295566502,47.0968063510476,48.9241537663877,48.7179487179487,49.8555847805946,52.8325694682722,55.2968568102445,57.2792362768496,59.5758780649437,60.4026845637584,62.158938082356,61.0971185140254,62.0248254460822,65.7577762665879,67.1960904092853,69.4639999096716,71.5990453460621,75.503355704698,76.1421319796954,78.2962730974006,79.0711131224843,78.777035051871,79.4376811518516,81.1296763341924,81.6580289431093,82.4222431668237,83.1626120358515,85.4650262905358,86.0918874172185,86.2915451895044,87.5043752187609,86.2492208706143,87.684830907344,88.4509017770897,89.118669786813,88.1995278857388,88.2639885222382,92.8245467576512,94.0070505287897,94.2495451990733,95.5863818077942,94.7701149425287,96.0694323144105,97.3779481114665,96.795827123696,97.3544122347439,99.125848366555,100,100.02382086708,100.577548339372,102.942079080785,103.855123378336,104.138127853881,107.04065519851,107.901400311748,107.13385900962,108.427796944308,109.990831295844,111.90916440693,112.929414335664,114.158163265306,113.9599170698,114.872189008419,115.991116310701,118.029329760795,119.074074074074
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",8,88.6194029850746,88.936170212766,88.936170212766,88.5240973600207,88.0065493246009,86.9565217391304,86.3129183939669,84.6456692913386,80.4210050742576,80.5009823182711,78.3767736842457,76.2515262515263,73.2780986512857,70.521472392638,69.6515679442509,69.5936478281177,69.2557070962489,69.7153488372093,69.3752552062066,69.6047569080098,69.5279252394271,68.713163064833,68.5265710908033,68.4007890089365,67.8031770631538,70.3811705182552,71.4281385281385,74.6268656716418,75.0433275563258,76.3393214523814,75.6354618722877,78.26,79.1919104867784,79.660116834838,85.1362862010221,88.1693293963274,88.2185543540125,88.4406795647202,90.6607540721344,94.2105263157895,96.0599153370238,103.348104382078,106.532400254308,110.38062283737,111.913357400722,114.072070703912,112.266112266112,115.341833674192,114.093085051514,111.833258628418,115.873503607225,116.175156389634,116.929334011185,118.655270655271,119.625049860391,120.235756385069,122.167925366504,121.518089326549,121.493345091956,120.675281464644,123.502994011976,123.462023321777,122.855227882038,124.448170028302,124.068982630273,126.566579634465,129.105532894517,129.004791743457,128.782447531044,128.61099796334,127.995642701525,127.081337356625,126.835993430656,128.810512052489,129.019979316101,130.718954248366,131.217889097975,132.460567823344,133.30196669362,133.660665575559,133.123636210337,132.655857995553,133.197242201238,134.68809073724,134.679288921629,136.216234173559,136.784367500857,138.479001135074,139.679624092268,140.951346231586,143.335103558152,144.508670520231,143.654477262072
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.727406921437,177.995526060285,176.609105180534,177.705467217812,181.647486371896,166.948965849766,183.621824521454,182.411325535012,186.688311688312,191.894127377998,192.307692307692,193.679032616952,196.033210332103,190.763751426041,186.6,190.826330532213,188.148479427549,186.246418338109,203.429101019462,195.243625623652,197.909375471679,207.564575645756,206.568265682657,216.6,223.440401485561,217.661691542289,220.679223744292,213.309726962457,217.952047952048,212.193664076509,212.193664076509,221.258008153757,222.902527294026,231.256024203913,240.97533632287,236.129905277402,239.270989505247,240.492170022371,239.270989505247,246.553552492047,246.553552492047,240.036231884058,237.659762691313,240.324519230769,253.305129561079,259.652648938363,260.635110844817,264.721485411141
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",10,117.031135355855,118.732648214901,118.543570500685,116.55254102597,114.970241184816,115.023011176857,114.634146341463,113.753487492316,111.490368367692,110.445775116434,110.837367736526,110.34774671695,110.248058407659,110.242533573863,109.61795009205,109.477635283078,109.163083030103,107.817607870744,108.881606347471,107.752902155887,107.881764802324,108.188096021046,107.158352450698,106.046179481076,108.113848768054,109.170305676856,110.000643295652,110.547805375978,110.274467209629,110.849056603774,112.515413070284,113.310758009898,113.310758009898,114.382021252852,118.462498659099,117.461820801976,116.63595729248,116.847304544172,120.672439378631,120.02160921978,123.106060606061,124.544175959552,125.458483342262,123.804164321891,123.555201275409,122.709306592338,124.153807855262,126.778650021124,127.756858526089,128.29420970266,130.840530678687,133.433655388731,134.417047933438,132.781267846945,134.859094110398,133.942779675125,133.701175993032,133.511348464619,135.164051355207,133.827785817656,134.607720546502,139.469608981804,146.849673566194,147.325864042385,147.029378714222,147.913375348259,147.714383177094,148.034915173406,154.188948306595,151.280323450135,152.63358778626,150.920341645248,150.920341645248,157.38332162298,159.986482113403,163.524503730689,161.842569714084,162.921514602457,162.187210379981,159.313031161473,159.429465998017,157.300188797986,157.232771564347,160.54477919934,162.356557377049,165.300804898184,168.420632642092,170.141543335303,169.840774274118,168.077282309234,169.842584921292,169.748826939001,169.748826939001
