"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0168732625946,70.840197693575,73.2217573221757,73.5166174686216,72.798946716233,78.1692993114621,78.4366576819407,79.1296370449615,77.4679061531651,79.1296370449615,80.9902200488998,87.8538885521669,85.0979635970819,87.828680085354,94.8699929725931,93.2151589242054,97.817343328841,99.6728971962617,96.1924686192469,95.482546201232,96.6025478297959,100.593667546174,99.1340466141485,100.818095184931,102.214005922669,104.791458238996,106.965764276563,103.355448885902,103.355448885902,103.085493136166,103.085493136166,103.491758413383,104.706752094628,106.664540816327,106.0088365243,103.513958765414,102.912196220705,107.142857142857,110.432747619217,110.297723292469,108.106988783434,107.142857142857,107.040254977297,108.054393305439,110.222489476849,108.218079775506,109.745673319296,114.823654203129,115.384615384615,118.849271788751,117.740384615385,116.251761390324,115.891472868217,115.20390070922,115.20390070922,114.381766381766,116.057656308499,117.818901371074,119.595880937388,121.074522225955,124.513796716011,126.543634014564,130.639476835833,132.171060582604
"Upper West Side","New York","NY","New York","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1921.10655737705,2027.92553191489,2206.81043527929,2332.21476510067,2332.21476510067,2332.21476510067,2081.40610545791,1999.85706117782,2000.57442129259,2003.58851674641,2200,2051.75444945601,2200,2155.88235294118,2188.23529411765,2210,2225,2210,2210,2210,2200,2200.02642706131,2338.72669859929,2382.54015912235,2310.62889290737,2407.60020822488,2402.92801108919,2222.91508720961,2120.02430484076,2154.53194650817,2055.55555555556,2131.28560793072,2200.05285412262,2210.1829564114,2112.5,2223.48916761688,2112.5,2044.85602866757,1959.75686438902,2058.29382877257,2058.29382877257,2203.4877851807,2106.25,1995.43899657925,2052.04382877257,1984.03648802737,1997.75533108866
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,393.209156629364,403.056768558952,407.135935776265,415.329848724078,442.899606722163,457.242225859247,494.251935613567,465.457086276498,460.310965630115,492.593571647993,512.901079818533,488.878000620815,449.725759302946,478.179478018886,452.105114439107,437.5,438.180956892468,436.953565183602,437.445100612423,464.23244500554,465.839183172363,494.624844241381,488.196641984512,469.278399433799,457.581283015938,463.065361310855,441.287878787879,429.382827341617,440.708633638058,473.552348627024,473.823975720789,463.478260869565,455.905626542118,514.497008819086,509.70043081085,499.885658920206,505.323926934767,515.510948905109,519.819193324061,531.241938985302,517.614854367288,488.775822674487,454.04199299025,473.031065437577,488.775822674487,486.912250697466,491.975196527347,490.997786163391,488.775822674487,493.244692258203
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.637549212598,148.700305810398,147.601102941176,154.120334680967,159.222222222222,169.642857142857,169.642857142857,162.468117728653,161.637931034483,178.46944603084,180.333957950528,181.551941401565,175.78125,170.175816012827,176.749417530329,176.87074829932,176.265333765164,174.541868023778,179.936305732484,173.710601719198,170.682730923695,178.336551054509,185.221290699942,185.366829095554,192.149327477354,185.677753458477,183.989339893399,183.989339893399,190.881785400398,191.527715187021,201.090215413975,202.013036882346,200.7136485281,200.827999430347,201.357369196148,201.772388059701,209.547918596862,212.515883100381,212.680577849117,212.515883100381,212.515883100381,218.084115240499,212.515883100381,234.301780693533,236.284841118814,225.996376811594,238.37820544473
"Upper East Side","New York","NY","New York","New York",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2453.04748405386,2500,2505.55555555556,2569.44444444444,2572.08692879681,2534.26544619469,2856.42857142857,2830.87582084038,2847.44523226606,2809.95169095748,2897.21239504486,2835.27367506516,2723.1467473525,2723.1467473525,2723.1467473525,2757.38940686372,2747.85156916497,2723.1467473525,2808.66395952603,2808.66395952603,2723.1467473525,2723.1467473525,2723.1467473525,2788.64734823035,2604.35324208458,2551.61215495245,2521.43217347453,2521.43217347453,2340,2405.57898773006,2398.29993928355,2404.90797546012,2337.71929824561,2369.82480838417,2337.71929824561,2337.71929824561,2192.98245614035,2240.37393434352,2276.57611036538,2204.86591097595,2124.7723132969,1954.44444444444,2095.70105850082,2202.76865321445,2207.13073005093
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.699604743083,63.3333333333333,62.4626963879381,63.9460154241645,65.0100437197211,60.8731895719343,56.232427366448,58.3964646464646,62.0260021668472,65.7733897508228,69.1244239631336,70.1028517999065,66.5727261668221,73.2217573221757,68.0825163398693,76.023821591485,75.4934667778705,75.034761636954,65.4762962040584,76.9493694183224,80.2770986145069,74.6268656716418,80.4049681723513,81.5380631796996,80.2563438632833,81.2903225806452,78.7815344137043,81.3222209552269,85.7740585774059,81.6696914700544,88.9730282368902,90.6290135924745,87.7862595419847,87.6998597475456,87.6577840112202,90.2787627978468,91.3518067397483,97.3170239105961,97.3592707583855,94.2180336220071,99.7975122938964,98.8616055030053,100.024384287652,98.9103381662056,97.8947368421053,98.3979178716021,97.5801881079462,97.5801881079462,95.8548556957955,97.9552089983716,99.8146431881372,100.257129499766
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",7,99.8136346356859,100.981240981241,96.1543997563479,94.0608465608466,91.2847907923774,90.8285334514843,87.4298911250412,85.8388314272847,86.8611516894873,87.8661087866109,87.3804971319312,83.0564784053156,81.7137809187279,77.4403470715835,75.2303926204523,73.9357729648992,72.3699924693119,72.1327242125511,72.6072607260726,73.4323432343234,73.1799163179916,72.6710791585834,73.3148295003965,70.9560172301278,71.4285714285714,73.4927752864973,74.9591057797165,79.1860147500683,81.4257977144553,83.2249674902471,78.8299647527451,83.0134227568987,83.3333333333333,85.6190854153723,89.936191672781,93.0663035035426,101.137800252844,105.452240067625,102.282195029753,105.962897526502,107.319818932195,109.245639840303,109.901781000806,110.4734408375,110.916907290075,114.820542275724,115.277130880298,114.962666666667,114.225728849746,113.729032886903,119.768452640057,122.248981255094,122.034073735289,118.074280807213,117.37240730546,117.920540997464,118.174001629992,121.820714984715,117.202835332606,121.911374310803,118.205836625839,119.047401848659,118.256663544455,119.390103567319,120.327394159554,120.945208502644,121.578259462599,121.133275513154,120.280654861343,120.809677256733,120.355834641549,118.892560955479,120.967535314023,126.409606039427,126.438434982739,126.501389864451,126.988033658316,126.923076923077,128.104777301375,130.332496863237,126.923076923077,126.603426661095,127.538970240907,126.188966391883,126.885338039535,127.621042366083,129.781331683333,131.177241097012,130.367631296892,134.205796297903,135.715576000572,138.367231777001,135.961927906035
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.238696995226,148.776393674353,152.521735881019,157.257090167141,161.740196078431,161.955241460542,161.552159484643,172.743846855059,173.938761308281,168.64221724635,168.447000821693,170.261066969353,169.887855867213,165.401509741132,165.251292824822,170.399221032132,175.346687211094,174.838945341037,175.210674157303,187.162162162162,185.23279031826,184.232987138153,188.985068299592,189.256980596309,182.017465293327,184.738126419361,184.732510288066,190.137935418256,189.494380798546,190.301003344482,196.498749553412,195.680153194046,195.862676056338,207.923420362302,199.76329787234,204.285714285714,205.317261904762,206.776263785917,208.18978619921,208.18978619921,207.746478873239,216.698841698842,220.109554777389,219.69696969697,220.351239669421,223.867205024675,217.976710334789
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",9,153.493475724799,169.594715229423,151.652485526413,143.298969072165,131.789137380192,132.555673382821,130.67681081714,130.467204876309,133.423557468079,134.597792562154,134.597792562154,134.608049501634,132.735063465114,137.300044361279,136.351240796291,131.461232604374,133.756967670011,134.276340846621,131.937015631419,133.624215980365,133.55629877369,130.737943056363,129.306875479577,126.222847044754,127.832461747046,129.390018484288,128.574219462818,127.620841180163,129.516760992599,136.679206765821,136.679206765821,136.426195561681,135.73532744165,128.15497951426,132.064728412609,127.620841180163,129.064830638663,129.437678154962,133.536818008394,141.673931996513,138.938580799046,136.312486474789,138.356630825063,142.832080200501,150.107411385607,146.574991658325,149.983316649983,148.676610901254,149.949298401825,152.282115112265,150.317572335921,147.263522173802,144.936160681922,146.669931439765,146.193614362004,145.722213658085,146.233382570162,141.823708206687,144.816357825015,156.452540321304,172.027248426317,180.868238703683,170.060451797646,159.266037700591,159.641995361759,162.757826210526,161.290322580645,157.119476268412,158.765510658606,162.491803612002,171.257946445772,161.290322580645,160.976823450467,166.990920881971,172.555447254157,159.730363423212,158.910329171396,171.543465066865,179.460030419172,167.250716788786,164.453657307331,171.403042902039,174.462365591398,173.379567884769,172.199170124481,173.11081231737,179.801641300527,175.160122528544,180.114500921003,168.061183526942,168.061183526942,177.832295691144,184.328409133525
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.60349127182,319.62782757149,369.785082174463,334.986901009054,370.092016355385,386.59793814433,371.645689859891,374.926757424687,385.861274368115,364.855102994462,345.025850575094,333.910462527826,337.783977680351,345.596432552954,360.027496133356,352.458116437209,359.045611061972,342.433910185392,350.363252870869,366.108786610879,345.911949685535,346.246178169939,369.407604314614,365.408038976857,389.946924758039,373.516168645108,375.308040113889,397.310244778646,413.435458830224,396.552439383071
