"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.4832193747064,88.5809312638581,88.3592017738359,88.7311446317657,90.72375127421,90.8164210916505,92.2163588390501,95.5555555555556,94.093748802269,94.7637335526316,97.0426859961744,97.1861471861472,97.1861471861472,102.558186869992,97.8165938864629,102.757441139996,107.244523153614,102.859866539561,102.205882352941,101.64206887382,104.712041884817,107.573149741824,108.131641086187,109.355625455872,114.251207729469,115.316358024691,117.433010239347,119.214678899083,116.305572894992,119.214678899083,118.076657458564,116.869106894809,111.972489316239,119.752794694678,127.760747251443,120.072115384615,124.05929304447,123.23296602431,122.685185185185,140.444724720333,124.72885032538,124.790895750925,130.260521042084,130.104166666667,144.329896907216,146.79626791428,164.468446953249
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.4733606557377,61.0588235294118,69.534632034632,66.547131147541,64.6766169154229,62.4,60.6060606060606,64.2857142857143,62.9411764705882,65.3193793911007,59.4494047619048,60.3476821192053,61.965478223444,70.3463203463203,82.5228134740321,76.8,70.3341259679288,70.2247191011236,69.6100554030964,75.0349402253376,82.2799141903702,86.1651507898516
"Upper West Side","New York","NY","New York","New York",3,1100.36832412523,1037.84220214648,1085.4198254313,1108.69702037367,1110.44537554314,1100,1119.96251171509,1133.3939908056,1118.5499795421,1104.41767068273,1108.95912832697,1124.06015037594,1167.49467707594,1105.58027437894,1216.22969210953,1283.87096774194,1318.67145421903,1291.50253235791,1287.17983760752,1229.50819672131,1228.43056696795,1277.08978328173,1294.80927297986,1301.33037694013,1295.42395693136,1286.54970760234,1293.62214199759,1251.559254517,1250,1253.68943020992,1248.69383490073,1227.17995001388,1196.66666666667,1189.38307030129,1225.37308438734,1248.74421735393,1244.48348884918,1249.39729990357,1266.28075253256,1267.0805583209,1270.75351213282,1314.40829121241,1345.67132008841,1381.90954773869,1426.42642642643,1441.21365360303,1468.86016451234,1466.66666666667,1500.36416605972,1508.87298020645,1495.86250795672,1474.793845535,1524.90421455939,1487.71021992238,1517.22391084093,1500,1567.37588652482,1567.59348034516,1581.56545234293,1576.59753700509,1573.86363636364,1578.29030632933,1594.14334286551,1617.33416770964,1615.38461538462,1654.77271901457,1714.14682318405,1727.0056531043,1749.23780487805,1765.6050955414,1817.18061674009,1860.24764474527,1907.21649484536,1922.07532051282,1882.48095756257,1880.23450586265,1866.04032802232,1861.96623634558,1861.96623634558,1873.47418505197,1861.35371179039,1869.08082383901,1876.86196623635,1876.95111369489,1861.96623634558,1873.81404174573,1870.46517777535,1870.46517777535,1859.81956974323,1850,1853.96499320283,1854.44366689993,1859.50413223141
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,285.66256583671,283.599763173475,282.608695652174,279.921249394609,279.542566709022,278.675085966923,272.779187817259,264.586160108548,272.074829931973,266.434010152284,258.671328671329,256.938892061679,245.098039215686,243.266666666667,239.495798319328,241.016555876082,244.698856741394,241.480409791194,244.114002478315,243.888888888889,242.600194080543,236.637931034483,228.103263777421,224.532033134109,224.336793540946,221.346324180691,226.515151515152,220.787594013795,224.563953488372,227.873401307512,227.502527805865,228.24427480916,230.690223508603,230.179028132992,235.991379310345,247.519294377067,260.942760942761,261.140392908481,270.296296296296,289.983164983165,296.34703196347,304.030273359972,306.128512215228,317.01140035078,321.781533670229,320.851626170111,321.875501042168,318.495778971604,310.936383130808,312.131114185725,319.797890319804,322.497059969425,328.498293515358,325.617697313514,321.616871704745,326.631259484067,325.943000838223,329.239103048627,333,337.188612099644,343.841236249062,351.257588898526,344.943067649029,342.741935483871,339.428999615025,345.827172571734,345.246648277632,351.426427030142,354.317998385795,355.192488894871,349.455584476793,345.629758728799,345.753899480069,351.415094339623,358.027041218167,362.627986348123,369.533331776384,366.55688492694,377.939529675252,377.46806039489,375.484871993794,374.456272474884,370.553359683794,366.236947080032,366.804733727811,362.645348837209,364.57699330493,375.56304283241,386.290322580645,380.290430181735,376.31421744325,389.325567136726,395.922037814709
"Upper East Side","New York","NY","New York","New York",5,1169.10569105691,1111.11111111111,1094.44444444444,1125.21326712503,1100.37130497477,1059.32203389831,1041.66666666667,1050,1046.07721046077,1025.07105735242,1017.46890484377,1020.83333333333,1026.08818357467,966.666666666667,1058.17104682675,1093.54838709677,1111.11111111111,1120,1118.14930286293,1048.14814814815,1088.04702859177,1082.67716535433,1096.36904761905,1127.49003984064,1118.43317441673,1138.17663817664,1136.60714285714,1155.47445255474,1117.27642276423,1127.41935483871,1145.03816793893,1140.96916299559,1085.8938547486,1081.07922613235,1167.57523358816,1197.36378669118,1191.23505976096,1201.13326749681,1177.34604105572,1201.11731843575,1198.34710743802,1212.85714285714,1232.26244343891,1275.14291996482,1308.45141700405,1394.75906043651,1536.34301577629,1558.51543942993,1510.86956521739,1479.56329609057,1461.65077621924,1395.83333333333,1398.98024219248,1305.96819110093,1431.33997785161,1357.26795096322,1453.39652448657,1453.48837209302,1481.27925117005,1500,1500,1514.85019847521,1544.11764705882,1568.43483955468,1591.19897959184,1571.20226219605,1580.60789193032,1567.94230405556,1619.73687035568,1641.24747361329,1643.83561643836,1648.33276039876,1772.33462675536,1727.6664481693,1656.39445300462,1670.68031306442,1662.19839142091,1618.85245901639,1648.96755162242,1656.03059279652,1650.30960163704,1635.24590163934,1650,1643.46246973366,1608.23594880356,1621.45172319685,1597.46251441753,1622.41887905605,1598.25327510917,1621.74303683738,1636.98630136986,1640.86687306502,1635.85295488186
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1572001536634,56.4681724845996,56.8893528183716,56.1167227833894,58.4545197196005,59.2709568162574,59.2713801862828,61.0367892976589,58.5284280936455,61.0367892976589,61.5294433079524,61.0558539322171,60.1755801444598,59.5903165735568,59.6180846614289,59.5903165735568,60.5214152700186,60.4333593807708,59.8708487084871,60.1851851851852,60.0818842636587,60.3080082135524,60.3080082135524,60.4633686552712,61.088295687885,61.8056391611086,62.7385011975805,64.5771144278607,64.1399416909621,64.2458100558659,64.2300194931774,66.6495550992471,66.8386783284742,66.7868956324096,67.0391061452514,68.1511824442303,66.735112936345,68.4805406553619,68.8367129135539,69.4379724552138,69.3703308431163,69.1519105312209,74.4047619047619,75.4310344827586,79.065112239682,82.939296657645,80.5585392051558,84.3253968253968
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.2335456475584,90.3075949013881,90.2335456475584,89.4359892569382,86.11260614759,88.3575883575884,89.238578680203,89.5569620253165,90.260334903192,91.3604651162791,91.1427343078246,91.0715123042606,91.9252707548121,92.8381962864722,93.186372745491,94.1366325981711,92.8641251221896,94.9775051124744,93.4003059822655,96.401028277635,97.3443109413374,98.9839119390347,99.4786235662148,100.095653744336,100.335852225021,100.858363858364,100.335852225021,100.083402835696,104.27435387674,105.879299993828,105.886479105485,104.763781996721,104.511533242877,104.463040446304,105.769230769231,106.990186294079,106.485776128633,107.466063348416,109.846703874077,110.789980732177,114.064044339036,114.832535885167,117.691067920061,119.170984455959,122.914837576822,122.524690441956,125.407851690294,132.073514170407,136.847507331378
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.432989690722,119.125077848617,127.265917602996,125.485200602512,128.823529411765,134.730538922156,127.265917602996,127.750605860322,131.081081081081,131.064734088928,134,136.520947176685,135.245901639344,134,134.578384215176,131.081081081081,131.081081081081,137.68170169144,136.977549700436,139.260912698413,127.705627705628,136.090387374462,136.313770878722,147.916666666667,158.415147265077,157.710758345914,162.296045766249,158.415147265077,151.598360655738,154.180357794816,154.581901489118,155.807365439093,146.680642907058,147.058823529412,153.131021194605,153.283723655722,156.495468277946,153.131021194605,158.705882352941,161.22038989006,156.602209944751,163.529411764706,176.269996033845,173.165343237705,177.412786862402,169.825092707046,167.015050167224
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.2564005119943,80.0619834710744,86.5633074935401,89.7009966777409,95.9498553519769,98.1895248509696,92.2847591215019,91.4962325080732,90.3294367693943,89.2607258188528,93.1098696461825,91.5605095541401,90.1442307692308,93.75,95.1184012971749,101.382742520054,101.190476190476,103.112203112203,102.631578947368,102.786974158484,100,98.2747933884297,102.375102375102,99.8975409836066,102.10687732342,98.8940628637951,102.890014868708,105.095541401274,104.31654676259,107.123321340007,110.036719706242,112.862575972632,109.492044063647,115.119004808141,114.391821288373,115.280937161636,115.215163934426,117.706237424547,120.623742454728,122.092405735528,124.236444749485,122.230215827338,127.208480565371,119.047619047619,125,125.590290932783,126.403905623049
"Washington Heights","New York","NY","New York","New York",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601.361573373676,653.511054691632,589.763779527559,583.833846374114,583.833846374114,586.492890995261,586.25,584.061135371179,584,585.717592592593,596.662030598053,603.213772386286,601.46373918829,613.846153846154,616.33428300095,619.663145918854,632.794457274827,618.828932261768,622.042341220423,627.839523281596,632.794457274827,644.21618182708,636.264080100125,649,648.524590163934,635.585479171588,630.526315789474,627.138157894737,640.096618357488,651.304347826087,653.830728220041,661.434977578475,653.830728220041,657.777777777778,664.102564102564,665.432098765432,680.030257186082,704.154002026342
