"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Upper West Side","New York","NY","New York","New York",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1612.7497621313,1651.90960750628,1785.71428571429,1834.28209993675,1832.52566535299,1804.79353161998,1700.07158196135,1780.289822474,1808.19386725927,1810.11234826082,1579.26829268293,1688.33222877341,1741.36886735312,1760.17601760176,1737.90931405933,1737.90931405933,1762.97357926221,1734.44976076555,1713.60255047821,1616.75279040926,1540.31454907605,1540.31454907605,1573.37484772297,1573.37484772297,1580.90493018944,1498.05240793201,1490.47665035625,1494.37008309125,1498.05240793201
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",2,124.435223605348,127.551020408163,130.208333333333,131.217176293603,127.954114196998,129.26934716818,129.399585921325,129.26934716818,126.14621559633,125.974025974026,126.296797474064,123.286491932278,124.641491395794,124.641491395794,127.707297221841,126.548406082755,125.850957218882,125.786163522013,124.14089347079,121.0931708074,121.786197564276,121.718538565629,120,117.623762376238,120,118.368962787015,124.845316165494,124.384006641684,127.687767812428,128.129830355514,128.360312183842,127.411738763065,133.752620545073,133.752620545073,133.346029622611,133.876050420168,144.432773109244,152.410923385748,152.346990625519,166.032350142721,167.951334208591,173.052211978309,179.501304487059,179.576771653543,180.175353141744,185.866281516081,185.594343791427,188.672325132381,183.234069303437,183.391003460208,184.399038461538,184.256816182938,185.861260467847,186.034115138593,181.678661520741,188.869150766465,190.093959731544,191.785509440122,196.194225721785,194.803310732393,192.632282899458,194.723677603343,189.469680452856,191.223404255319,193.396226415094,197.797644174042,202.494458870392,206.496519721578,203.134996801024,201.020408163265,205.305927342256,205.269607843137,203.448726317911,201.777578388966,204.090513489991,206.916027080993,217.155200258398,219.102164887307,218.717379958246,222.48243559719,219.445722495047,216.108598301801,222.176241570386,222.48243559719,230.369889682025,231.448412698413,237.231267839204,240.461847389558,242.34693877551,240.704500978474,243.184634448575,244.666306889728,244.666306889728
"Upper East Side","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1749.89049496277,1815.64107637515,1778.4070149799,1749.89049496277,1685.44600938967,1769.47104715946,1940.1073579923,1877.17013888889,1866.93822131704,1890.67725752508,1821.24767472761,1728.02586291233,1751.40345146842,1713.1903266357,1676.85502827012,1662.87878787879,1676.80608365019,1673.69715947215,1670.58823529412,1652.13946117274,1761.87801088993,1774.88431960811,1776.96078431373,1795.97701149425,1797.45066816536,1750.94816687737,1979.16666666667
"East New York","New York","NY","New York","Kings",4,207.8125,207.78436634349,199.806855190404,200.490196078431,199.5,197.579051383399,199.5,197.5395256917,197.307692307692,191.964285714286,190.058479532164,187.908496732026,186.071238702818,181.552162476367,177.910052910053,172.596153846154,168.860463948584,167.35073908692,168.016194331984,167.455405897343,168.366421314535,167.812293456709,166.346153846154,167.973124300112,172.122270458804,171.087585271694,172.836647512475,175.26455026455,173.347778981582,176.792943266542,176.512798064522,172.959183673469,179.699842022117,180.434083601286,191.826923076923,193.68932038835,193.719660194175,195.162639405204,200.178787878788,202.802359882006,207.755102040816,209.920634920635,206.25,208.637096774194,207.916666666667,210.4,214.29739929765,214.156920077973,215.803452855246,212.308921755725,215.803452855246,218.75,217.933723196881,218.927845528455,225,237.8123259866,227.775693219767,230.729952730104,227.965179542982,229.295977011494,238.382816014395,239.620893429487,238.070539419087,240.131578947368,240.740740740741,250.629194630872,254.177880537613,258.562091503268,258.888888888889,266.203125,267.137811309874,266,260.416666666667,266.666666666667,269.20679447389,277.350427350427,287.698412698413,297.790055248619,316.746794871795,318.573440438871,320.670811584948,322.882710013783,322.99698535745,325.093163415532,332.873015873016,323.777696243815,327.669902912621,326.224779766979,327.525427646787,327.669902912621,326.224779766979,325,317.019400352734
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,118.397887323944,125.8532152299,119.660027472527,120.412844036697,120.086260012323,116.843971631206,113.333333333333,120.152243589744,119.720303191403,122.059134791239,123.233298837494,120.388953184055,123.598908579653,115.740740740741,114.723972801103,111.775946943799,114.232230833934,114.625703158806,115.384615384615,114.479166666667,113.520375351869,113.281854340133,116.686114352392,119.025217425094,119.128658951668,113.636363636364,116.558517847061,116.221113951275,122.232705900079,120.552263396357,121.150729335494,123.535001583782,120.977538566836,120.608523239186,124.304697156984,131.215984258561,140.752864157119,146.295521138552,150.493023255814,153.378142458101,153.125,157.192796598328,155.44178991278,157.1367884452,159.019616168478,166.118593476995,165.983520216922,167.224080267559,168.224042354356,171.032357473035,171.496178736518,180.837563451777,181.647486371896,186.060047037102,186.87707641196,186.204800102951,184.86096807415,189.558706371251,189.614935822637,186.588055019924,182.739752024291,186.586673558439,188.338926174497,191.520348375738,197.091465748182,202.347260982928,201.285997245371,200.148030647179,200.344591714142,198.278541474758,195.3125,195.596797671033,196.456692913386,206.589958158996,201.207513416816,208.700117370892,216.148765135263,222.166666666667,221.70057381325,226.805555555556,226.695829137294,230.654761904762,233.420138888889,234.901960784314,235.824378718495,234.115347018573,234.430082256169,234.763226669668,238.21668119832,236.880784710424,237.059620596206,242.38475103156,242.130750605327
"Astoria","New York","NY","New York","Queens",6,,,,,,448.49537037037,436.577626918536,425.348701667956,421.374184191443,419.086127123564,424.755381604697,434.479333109074,421.374184191443,433.639872571947,432.627272528685,432.213930348259,427.182121531437,406.62644053055,410.867579908676,404.946893418468,397.835734031718,403.025084346738,406.121661936986,405.206286836935,405.380921196245,405.417295554336,398.125,416.316701137539,413.133402275078,412.690438511276,423.805147058824,406.147091108672,406.220156895968,429.927931288584,463.333333333333,479.162019772786,463.333333333333,466.426767676768,459.166666666667,432.899891774892,443.939393939394,436.875,422.528517110266,428.482587064677,420.258620689655,440.276365476514,448.369565217391,448.957509881423,450.558213716108,469.910649796213,484.059097978227,481.005694332876,496.632996632997,500.600720865038,529.661016949153,528.885272579333,515.649780763131,500.587274125336,472.222222222222,517.047930283224,536.492374727669,562.5,573.735199138859,577.046170998001,587.797619047619,580.357142857143,600.05005005005,612.55005005005,584.615384615385,575.022803283673,565.47619047619,573.122529644269,573.729508196721,631.362357832946,608.690280065898,636.574074074074,658.34248079034,660.443325200824,655.097166321096,651.851851851852,636.768228253752,631.438289601555,650.544754390908,656.730769230769,639.869909849135,662.431941923775,662.431941923775,679.332729468599,666.296296296296,660.135711077386,655.288461538462,647.482014388489,649.80732177264
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,287.734984476691,276.825366187018,282.815963361952,289.639192320424,327.039784221173,324.679594086615,320.55299628151,322.319403952057,315.257352941176,312.5,318.014705882353,312.989045383412,313.267870989314,328.88198757764,323.314532577343,320.862139080927,335.694444444444,317.747077577046,315.375595327722,314.213197969543,312.322544009086,314.546599496222,319.62782757149,321.903054089412,319.069997526589,330.038033316161,341.932304583797,339.622641509434,358.064516129032,377.839592025962,374.742640942926,370.905587668593,363.490675990676,366.108786610879,370.905587668593,371.16264076454,367.588932806324,375.842133927274,365.727871250914,373.205107909226,376.313200942436,367.588932806324,389.920309305475,416.666666666667,422.679859018511,439.824070371851,420.90997915581,433.595411055989,435.396634615385,439.824070371851,426.136363636364
"Williamsburg","New York","NY","New York","Kings",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1150.32679738562,1125.78616352201,1126.42585551331,1147.01903744697,1155.40540540541,1174.93472584856,1180.20644528801,1162.16216216216,1173.91304347826,1183.04825368537,1125.59241706161,1120.84990449896,1121.25162972621,1155.40540540541,1145.84110406565,1126.27599081972,1103.2181737372,1062.5,1142.85714285714,1170.56856187291,1158.38729927972,1103.30073349633,1079.72972972973,1052.37927872861,981.430520751961
"Bedford Stuyvesant","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374.338624338624,373.225411659991,388.888888888889,388.996973627324,407.96681327469,416.867954911433,422.50233426704,433.333333333333,431.111111111111,432.5,432.5,439.904761904762,446.428571428571,462.962962962963,475.714285714286,472.702702702703,474.308300395257,492.424242424242,485.133495145631,489.609522313011,501.279761904762,506.198500749625,493.621193415638,494.166121738344,500,512.82991202346,528.822207856893,537.847222222222,546.127562642369,546.127562642369,558.943089430894,560.897435897436,569.238046095631,561.47872009941,567.900326797386,570.401415976489,558.894230769231,571.088550479413,578.240740740741,586.491442542787,583.020809023726,578.594054580897,581.395348837209
"Flatbush","New York","NY","New York","Kings",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,282.668172690763,291.25,291.642699115044,285.050320906732,291.25,276.082046159351,278.716015625,274.332061068702,293.074400723654,298.868457370681,295.738106343284,281.006377524218,300.054862351766,298.507462686567,315.713875323183,344.387755102041,334.970836685438,331.305309734513,331.305309734513,358.048511576626,375.608465608466,392.557651991614,386.735026041667,390.13671875,390.13671875,392.557651991614,393.77921453708,401.209677419355,390.13671875,379.419157402345,380.083618396047,384.621212121212,385.909090909091,383.333333333333,383.198924731183,384.134615384615,384.447674418605,404.473837209302,417.362876861606,428.090773147961,402.645759609967,390.625,397.177419354839,401.282207629769,399.978832951945,393.68419578853,406.740267286461
