"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76000,78900,84700,82750,80000,90000,89900,96900,95000,97000,1e+05,99900,99900,99000,99000,1e+05,99000,105000,110000,110000,108200,113400,113300,117200,119900,119000,124925,125000,132900,129894,126000,129444,134800,129900,128000,139638.5,140000,139999.5,134900,130000,129000,137000,149450,145000,147900,154950,159900,161500,160000,159950,159900,159900,170000,170000,180000
"Upper West Side","New York","NY","New York","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2405000,2500000,2380000,2385000,2472500,2600000,2535000,2397500,2395000,2370000,2360000,2375000,2365000,2370000,2360000,2395000,2417500,2495000,2417500
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,471500,449972,439000,449900,449000,469000,488000,488000,489999,499000,499450,499000,499000,487000,487000,499000,517000,525000,514500,504999.5,514000,519000,539000,534975,537000,599000,599900,550000,547500,581950,547500,530000,529000,535000,550000,575000,584250,608500,624999,659950,675000,675000,682000,675000,682500,682500,669975
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,269000,259900,259900,265000,269950,274900,275000,279999.5,294900,299000,295000,289000,295000,299000,299900,310000,3e+05,318000,320000,310000,315000,315000,319400,318900,319800,315000,319900,329000,329900,339000,330000,349900,359000,359000,355000,359950,359950,353750,369000,369900,381450,384000,395000,389000,399000,406000,4e+05
"Upper East Side","New York","NY","New York","New York",5,,,,,,,,,,,,,,,,1295000,1350000,1395000,1349000,1299000,1300000,1350000,1400000,1400000,1300000,1312500,1349000,1360000,1325000,1399000,1399000,1399000,1400000,1395000,1425000,1495000,1400000,1400000,1400000,1395000,1375000,1299000,1295000,1365000,1395000,1495000,1695000,1797000,1837500,1797000,1850000,1597500,1535000,1649000,1762500,1750000,1800000,1949750,1897000,1949750,1897500,1895000,1875000,1962500,1875000,1800000,1900000,1895000,2e+06,1995000,1962500,1975000,2e+06,2085000,1910000,1985000,1950000,1895000,1890000,1912500,1837000,1850000,1897500,1895000,1982500,2085000,1995000,2100000,1995000,1999500,1999500,2112500,2195000
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64949.5,66500,64900,67777,65000,65500,66450,65000,65000,66000,66700,67993.5,65000,65000,65450,70000,70000,67900,69900,69999,69400,69000,70000,69900,72000,72500,74900,76900,78500,76000,75900,76900,79500,79250,77493,79250,83250,81000,79700,82000,87450,87450,89900,89900,89975,94950,95000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88000,93900,91500,94900,95000,94900,90000,92000,95000,95000,99500,99900,98000,99900,99700,99000,99500,99500,99900,99900,102500,102500,109450,110000,110000,108950,110000,110000,110000,110000,115850,120000,125000,120000,117450,120000,125000,125000,124995,126800,125000,125000,129900,131000,143800,146000,149999,150000,162450,155000,158500
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221950,224000,224450,224900,229000,230000,240000,240000,246697,250000,255000,249950,255000,229000,259900,257500,268900,251000,257500,265500,269000,274900,279000,279900,284500,295495,299000,299000,297495,299000,297495,299000,299000,299000,299900,3e+05,305000,310000,325000,335000,335000,335000,340000,335000,335000,340000,339900
"Van Nuys","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,254000,249000,251950,270000,285500,259000,259000,258000,269900,279000,271900,234499.5,259000,276750,289000,280000,299000,297450,299000,307450,317000,331200,312450,295000,281950,284995,287900,282500,282500,279999,284500,296450,279475,275000,277000,287000,319000,339000,337000,332499.5,328000,319975,328500,349000,337200
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,,,,,,,,,,,,,103000,105000,103500,99900,98950,99500,99500,99950,107750,99900,102000,105000,102450,99700,99900,109900,109900,108500,108000,106000,110000,118500,114900,114900,109900,109900,99000,110000,109950,110000,113000,119900,125000,129000,124450,121500,121000,139950,136988,120000,125000,123700,132500,130000,126500,125000,129450,132450,136900,149000,149900,149900,152450,157950,148900,149900,165000,160000,160000,160000,164000,164000,163000,165000,172460.5,195450,179900,177450,173745,183500
