"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,199900,209450,202450,212000,247500,240800,227050,220000,225000,235750,239000,235000,248499.5,259900,265000,289000,289999,280000,265000,265000,269900,272500,268750,275000,288944,299450,299949.5,292450,297000,289000,3e+05,308000,324900,325000,324900,325000,330000,329949.5,325000,322500,320000,310000,320000,329900,314888,308900,329900,329999,339450,339000,335000,344888,337000,337000,337000,338840,350000,359950,377000,384394,385000,378994,387000
"Upper West Side","New York","NY","New York","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10297000,10750000,9475000,9200000,10700000,1.1e+07,10475000,10475000,10300000,9875000,9850000,10500000,11115000,10500000,11230000,11900000,11365000,10997500,10450000,10450000,10450000,10400000,10722500,10995000,10350000,1e+07,10450000,10400000,10400000,10450000,10500000,10797500,10475000,10475000,10500000,10450000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439900,399900,382900,426950,425000,429900,429000,439450,423000,445000,457000,450000,450000,419500,445000,468000,470000,514950,549500,550000,559500,580000,569000,550000,554500,567000,575000,537500,562000,549999.5,550000,572499.5,525000,559499.5,549999.5,595000,564500,564500,569000,597000,639900,649000,649000,650000,650000,650000,650000
"Upper East Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14497500,13250000,12500000,12900000,12500000,13200000,13250000,14495000,13900000,13500000,13500000,13500000,13500000,13500000,13200000,13862500,13500000,12775000,13387500,13500000,12900000,12500000,11950000,12175000,12500000,12995000,14500000,13500000,13800000,12800000,12997500,13500000,12497500,12500000,1.4e+07,14100000,13050000,12900000,12750000,12250000,13274500,1.5e+07
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000,175000,175000,181950,187500,189900,189900,179000,187500,189950,2e+05,2e+05,209000,210000,209000,209500,209500,205000,212500,199950,205000,209000,210000,222500,235000,227500,220000,225000,220000,220000,224000,220000,225000,225000,229000,228888,226944,235000,255000,249499.5,244000,255000,252500,257000,262400,252000,257000,264900,265000,267500,266000,269950,279894
"East New York","New York","NY","New York","Kings",6,459000,449999.5,450000,449000,435000,420000,427000,4e+05,4e+05,399000,379900,375000,370000,375000,360000,349000,349000,349900,360000,375000,387500,377000,389000,377000,399000,399000,419000,419500,439999,449000,454500,450000,459000,459000,479000,479000,479000,479000,479000,499000,499000,499000,499999,499000,499000,499000,499000,499000,5e+05,519000,525000,525000,525000,525000,525000,529000,539000,539000,550000,559999,589999,584500,580000,589000,6e+05,625000,625000,649999,634999,650000,650000,649000,649000,649000,695000,699000,672000,675000,685000,699000,699999,739000,749000,748999,742499.5,742499.5,739499.5,745000,749000,749000,749000,749000,749000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376990,382245,375000,374500,370000,384990,417944,416888,412500,410000,402500,419000,444500,425000,440000,414435,417990,419000,410250,399000,399450,399450,415000,399900,399900,399900,399000,399450,415000,424950,419900,415500,424950,429000,429990,415332,420000,429000,420000,427325.5,424495,419500,439000,439880,453950,470500,475000,458000
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,394900,379500,387000,394000,410000,399900,410000,410000,419500,4e+05,410000,405000,399997,385000,399995,407000,410435.5,412444,420000,435000,450000,459999,465000,480000,475000,462499.5,455000,472500,470000,477000,480000,476950,469000,474449.5,489500,492450,497000,499000,499990,5e+05,517499.5,529499.5,544000,544500,522499.5,550000,560000
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,910000,799950,777900,765900,742000,735000,730000,789900,849900,790000,769950,789900,792500,795000,750000,799450,869900,749000,741000,748206,769000,749000,690000,724000,794450,789900,782450,705000,699949.5,719950,794700
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1565000,1400000,1500000,1499500,1400000,1450000,1400000,1472500,1495000,1599499.5,1549999,1750000,1500000,1750000,1550000,1662450,1675000,1524950,1425000
