"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85000,80500,82499.5,80000,82000,84000,83500,85000,84000,84950,88450,89900,89450,99000,94400,1e+05,109000,104200,104400,95000,109450,109900,107888,109900,115000,119450,119437.5,120000,118000,119000,115000,115900,109900,119700,125000,122000,119900,119900,118760,127000,124500,125000,125000,124500,134900,139000,149850
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59900,69450,69000,65000,59600,67800,66000,67000,64000,63000,64250,64000,62900,62000,61000,65000,66449.5,69000,65000,65000,65300,72000,75000,70000,69900,75000,70000,70000,74900,76000
"Upper West Side","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2350000,2275000,2298500,2195000,2155000,2175000,2250000,2195000,2150000,2175000,2175000,2075000,2195000,2200000,2270000,2225000,2250000,2200000,2200000,2249500
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,350000,349950,357950,349900,359000,360000,351500,337500,339450,329900,329000,320000,307000,315000,315000,308950,305000,309900,306950,299500,3e+05,299250,289950,284000,273500,263200,265500,267000,279000,283000,299000,299000,299000,302499.5,319000,319000,325000,324000,339900,375000,379000,382497.5,378000,399000,398500,399450,418750,419000,398000,414875,413900,425000,449000,438000,429000,430500,439000,439900,449000,449500,449000,468000,463000,449000,449000,452000,459000,449000,458500,449950,449950,469000,468500,452475,469000,464999.5,462500,469450,469999,469949.5,475000,479475,499000,499000,515000,509999,519000,517000,519000,515000,515000,529000,529997.5
"Upper East Side","New York","NY","New York","New York",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1700000,1695000,1595000,1790000,1600000,1770000,1800000,1800000,1900000,1895000,1895000,1950000,1975000,1995000,1895000,1895000,1925000,1999000,2100000,1997000,2e+06,2324500,2270000,2100000,2150000,2050000,1999500,1995000,1995000,1950000,1980000,2e+06,1995000,1950000,2125000,1996250,2100000,1999499.5,2e+06,1995000,1995000,2075000
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59900,59900,59993.5,62000,62250,62500,61987,64900,64900,64900,62450,59900,59900,59900,63900,62700,62500,64000,62687.5,62875,60000,62687.5,63000,64000,65000,65000,64000,63999,64900,66000,66900,68944,68844,68000,67000,69700,65900,66250,69500,65000,73600,74900,78950,83190,82880,85000
"East New York","New York","NY","New York","Kings",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263500,264275,268025,267000,282600,285000,299000,297450,289900,290000,286965,284970,297827.5,297827.5,299000,299000,299000,296655,288999,299000,299499.5,332112,349000,324000,310800,307500,324625,320250,304500,320000,320250,317850,317850,320000,320000,320000,320000,320000,320000,319999
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85000,84100,84900,82500,84888,80000,82290,84888,84900,85000,85000,85000,87500,88500,88750,89998.5,89900,88999,90000,90000,92000,94900,95000,94900,95000,99000,99000,98500,97450,99999,1e+05,1e+05,1e+05,99900,99900,102000,102750,107650,108000,110000,110000,113000,115000,118650,119950,120000,124900,125000,129900,132000
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135000,136975,139900,137700,135000,135000,134949.5,139900,140750,144900,140000,149500,149700,149150,149000,150000,149250,159900,155900,154900,142500,154900,159900,166950,168925,164000,179900,167900,162500,164000,164900,169450,164950,157900,164900,162500,160000,161000,170000,174900,170000,174900,179000,180540,192450,185000,176350
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96000,99950,99950,99900,88000,88900,95000,89900,103950,99500,98750,1e+05,112500,108900,99475,106500,109933.5,110000,109867,110000,119750,120000,119900,117450,120000,117500,116900,120950,129000,131950,124950,134800,126000,139900,139900,125000,119900,124900,145000,134900
