"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",1,250000,259900,253500,264400,250000,250000,258950,260000,249900,249000,249900,240000,248000,239450,249000,250000,249000,241000,245500,249000,245000,249000,249900,240000,259000,254900,260000,260000,255900,259650,260000,269995,269950,270800,289900,299950,317000,304900,319950,335000,349000,350000,359900,364900,374777.5,375000,387000,385900,377000,374900,389450,389000,389000,389900,399000,399000,412450,399999,422500,410000,399499.5,399999,407500,414000,420000,427250,419000,435000,425000,432500,450000,450000,449999,449999,462500,474950,474950,480000,464500,484900,489000,479500,481999.5,480000,495000,499900,5e+05,535000,539000,527000,538500,547000,550000
"East New York","New York","NY","New York","Kings",2,449999,447000,439000,439000,429000,425000,429000,419000,419000,415000,399999,399000,399000,399000,399000,382500,379500,379900,375000,375000,379000,379000,379000,379000,389000,398875.5,399000,399000,399999,419000,425000,427000,438950,439000,449990,459000,459000,460000,465000,475000,485000,489000,489000,489000,495000,499000,499000,499000,499000,499000,499000,499000,499000,499000,5e+05,525000,519000,5e+05,525000,529000,539000,549000,559000,568000,575000,580000,595000,599000,595000,599000,599000,599999,599000,599000,629000,639000,639999,649000,649999,654500,659000,669999,699000,699000,699897.5,698999.5,699000,699000,699995,719000,722000,720000,699999
"Southeast Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,215500,235000,229000,232000,230000,229000,229900,230000,239000,237000,239000,229000,225000,219900,215000,210000,219500,220000,229450,220000,222900,229500,235500,229900,234900,225000,229950,234000,249000,246360.5,246360.5,249900,239900,249000,264900,259000,272000,289900,299900,299900,3e+05,304900,312450,335000,330000,335000,339000,329000,325000,344900,349000,349000,349999.5,358800,358900,385000,385000,385000,380000,379900,375000,389900,390000,399000,399000,397000,399500,399900,4e+05,399949.5,409999,429000,415000,420000,419000,420000,425000,429000,429900,430000,439000,435000,452500,459000,459900,459900,460000,475000,479000,479000,479000,489900,498998
"Astoria","New York","NY","New York","Queens",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1288000,1299999.5,1300000,1389000,1339000,1375000,1399499.5,1388500,1262500,1400000,1450000,1450000,1475000,1450000,1367500,1399000,1395000,1399499.5,1499000,1589000,1500000,1525000,1499000,1590000,1590000,1550000,1550000,1499999.5,1499500
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,750000,817250,729000,749000,797750,782750,735000,790000,796500,890000,925000,965000,965000,957500,950000,972500,949000,969500,992450,999450,998000,997000,999000,1075000,1100000,1e+06,1122500,1199500,1199000,1247500,1250000,1247500,1267500,1295000,1250000,1350000,1250000,1197500,1200000,1287450,1299900,1350000,1200000,1398500,1398000,1399000,1399000,1399000,1349000
"Bedford Stuyvesant","New York","NY","New York","Kings",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999000,999000,1e+06,999999,999000,1089000,1100000,1100000,1175000,1199000,1200000,1249000,1250000,1250000,1250000,1290000,1292500,1300000,1350000,1370000,1350000,1389000,1390000,1399000,1399000,1399000,1399000,1449500,1475000,1400000,1427000,1350000,1350000,1350000,1350000,1399000,1442000,1499000,1500000,1499000,1500000
"Flatbush","New York","NY","New York","Kings",7,582500,555000,580000,549000,549000,549000,549000,544000,549000,529000,525000,525000,509500,499999,499999,499999,499000,499000,499000,525000,529000,529000,515000,499000,499000,499000,499000,507499.5,519000,499000,519000,514000,525000,527000,534000,539000,549000,549000,565000,599000,599000,599000,599000,625000,629000,654000,649000,649000,644000,629000,649000,650000,650000,667000,699000,699000,699000,699000,699000,699000,749000,794000,745000,747000,779000,799000,799999,849000,849999.5,885000,849000,849000,849000,899499.5,999000,849000,9e+05,994500,850000,859500,950000,949000,950000,9e+05,950000,974500,950000,999000,1099000,1179000,1100000,999000,998000
"Crown Heights","New York","NY","New York","Kings",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,999000,999000,999000,1024500,1199000,1200000,1200000,1200000,1200000,1299000,1300000,1300000,1375486,1300000,1300000,1375000,1350000,1350000,1325000,1257500,1212500,1200000,1300000,1349000,1372500,1385000,1350000,1397500
"Jamaica","New York","NY","New York","Queens",9,437000,449000,445000,435000,429000,424900,4e+05,425000,419000,410000,402500,410000,405000,399000,399000,399000,399000,395000,389000,399000,389999,399000,382500,375000,389000,389000,389000,394900,399000,398000,399000,399000,409500,410000,419000,415000,425000,429000,429000,430000,439000,439000,465000,469000,465000,465000,469000,469000,469000,474000,470000,465000,469999.5,469000,479000,489499.5,479000,489999,529900,525000,519000,519000,525000,527000,549000,589000,534000,549450,569000,599000,589999,599000,622000,639000,649000,639000,629000,639000,599999,599999,624000,629000,629000,659000,692500,699000,650000,649997.5,650000,650000,650000,669000,680000
"Williamsbridge","New York","NY","New York","Bronx",10,465000,475000,475000,469000,460000,450000,450000,450000,450000,449995,450000,449000,449000,429000,435000,425000,432500,429000,429000,429000,424995,425000,429000,424945,419000,419000,415000,429000,430000,440000,445000,447000,439000,429000,425000,439000,449000,450000,459000,450000,450000,475000,475000,492500,499000,499000,490000,489000,489000,479000,499000,495000,495000,492499.5,489999.5,485000,489000,489000,489000,479000,479990,475000,479900,485000,485000,495000,529000,549000,549000,549000,525000,519000,509900,530000,549000,549000,539000,540000,555000,569000,569000,569000,579000,599000,599000,599000,589000,585000,589000,589900,599000,589900,582000
