"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,234900,229900,239625,238000,238975,239000,235000,229900,239900,234900,220500,209900,199900,205000,224900,225000,229500,229000,224500,219500,210000,217000,210000,202450,205000,214900,217000,214700,219900,224900,224900,199900,204945,209950,229000,219900,225000,235000,249500,250000,259900,264500,262000,269000,253900,250000,260000,269900,264900,275000,284500,292000,299999,299000,299900,299900,299900,309900,299250,303750,319500,325000,349700,350000,359700,364900,349000,337000,349000,350000,360000,349900,349900,353500,364900,380000,380000,379900,385900,379900,380000,386000,382000,369000,388900,399000,399900,410000,399900,399900,399000,399700,398900
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,168500,169000,169000,164990,165000,169000,171450,170000,179900,179950,184900,185000,189000,185000,189000,194947,199000,199000,199750,199900,204900,205000,205000,209900,210000,214950,209000,209925,209000,205950,212000,214900,222500,228900,230000,233000,230000,229250,229900,230000,230000,236150,239900,244900,245000,255000,256888,256750
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e+05,105000,105000,109900,110000,111300,114900,117900,119500,115000,115000,115000,112700,107000,114900,117700,119900,124500,125000,128215,129000,130000,130000,132000,134250,135000,139900,140000,140000,143000,145000,148316,149900,150000,154000,154900,152000,154900,152500,154700,157000,159900,159900,163020,165000,167500,169000
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9997500,1e+07,9947000,9225000,9697500,10225000,9747500,10995000,11700000,10995000,10800000,9250000,9250000,9800000,1e+07
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,935000,999000,1024500,969000,969000,997500,999000,999000,959000,959000,985000,969000,949000,1049000,999000,1079000,1199000,1199000,1199000,1129000,1099000,1075000,1049999,1096750,1099000,1199000,1289000,1279000,1297000,1299000,1375000,1344000,1370643,1362500,1298000,1297750,1299000,1298000,1225000,1274450,1299000,1250000,1275000,1297000,1249000,1250000,1295000
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,279900,285000,269000,279900,285000,299000,295999,299000,309500,305000,299000,299900,299000,280000,305000,310000,310000,325000,328500,325000,327000,325000,329000,329450,335000,335000,339950,339900,349000,350000,350000,359900,370000,369000,375000,379000,380000,379900,383500,390000,399900,4e+05,419000,419900,427000,430000,439000
"Upper East Side","New York","NY","New York","New York",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13500000,12800000,12950000,14750000,13475000,14500000,14900000,14450000,15488000,16950000,15990000,15990000,15990000,15488000,1.5e+07,14875000,14750000,1.5e+07,14790000,14895000,1.5e+07,15925000
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119990,124900,120000,124900,128000,129000,129900,130000,135000,136990,137900,139900,134000,135000,139000,139900,139995,140000,146500,146000,149000,149900,149900,149900,149900,150000,150000,151500,154850,157900,159900,160000,162000,164900,164900,165000,167500,169000,170000,175000,179000,180000,185000,188500,195000,194000,199900
"East New York","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,359000,375000,379000,369300,429000,439000,459500,399999,399000,427000,465000,4e+05,450000,439999,429000,425000,427000,435000,419000,435000,457000,459000,449500,450000,449000,489000,479000,459000,459000,459000,459000,492000,489000,480000,475000,489000,499000,525000,579500,549000,584000,582000,550000,550000,569000,569000,549000
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220000,220000,219000,211900,220000,223880,224000,236000,239500,239950,240000,245000,245000,245000,250000,259400,259200,269000,269880,265000,269945,269950,272990,275396.5,275000,275000,277945,276140,279900,276880,280000,285000,289000,289650,289900,289000,289925,290995,295000,299900,299990,304000,307475,318000,319900,319990,327490
