"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,0.938566552901024,0.962730996380263,0.977542932628798,0.983741526350317,0.9979035639413,1.07940446650124,1.06967441654347,0.977542932628798,0.904898218829516,0.880413542376733,0.950230414746544,0.891094453540729,0.873650793650794,0.903307888040712,0.885582492900043,0.953703703703704,1,1.04826546003017,0.908408408408408,0.968052738336714,0.921875,0.950089126559715,1.01239669421488,1.03180914512922,1.02409638554217,0.994568417333961,0.971450617283951,0.962797619047619,0.992216696805304,0.992216696805304,0.940850424892978,1.08940197263265,1.15384615384615,1.19108180248077,1.29032258064516,1.1437908496732,1.15256982791634,1.16666666666667,1.1691399964241,1.11666666666667,1.16806722689076,1.03719008264463,1.02272727272727,1.14086214989829,1.18737151248164,1.27909482758621,1.14097189877348,0.997747187790164,1.03839135317238,1.02394366197183,1.15657311669129,1.17474302496329,1.15818181818182,1.15737746743655,1.26488095238095,1.2432703003337,1.14080601468091,1.11413043478261,1.17780711506392,1.15625,1.20724346076459,1.33802816901408,1.20457394041242,1.21734123687986,1.23042505592841,1.28171091445428,1.21722678117345,1.28067484662577,1.28550074738416,1.28525651619822,1.33602826201467,1.28575448891842,1.37458667926311,1.35889690813508,1.40625,1.436917631506,1.43624161073825,1.46153846153846,1.70254602825382,1.66600060639178
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,0.953018664510478,0.963035019455253,0.949519230769231,0.934278350515464,0.941898790642347,0.92253136933988,0.883624853458382,0.866429151384495,0.875398089171975,0.873860182370821,0.883928571428571,0.915,0.901442307692308,0.904292582417582,0.921985815602837,0.903954802259887,0.921985815602837,0.924482338611449,0.880952380952381,0.873860182370821,0.840220385674931,0.904166666666667,0.947435897435897,0.967948717948718,0.998991935483871,0.99290780141844,1,0.995,0.985815602836879,0.995983935742972,0.987179487179487,0.974025974025974,0.974025974025974,0.973154362416107,0.943752193752194,0.947732588357588,0.914502164502164,0.964010599617921,0.966613247863248,0.966494845360825,0.9375,0.984741784037559,0.968192436449251,1,0.962235228539576,1.00190839694656,1.06382978723404,1.09753521126761,1.26201923076923,1.14741035856574,1.10294117647059,1.10180615870509,1.07863849765258,1.05516431924883,1.07,1.10453776291803,1.16865869853918,1.14875936329588,1.17275280898876,1.24852941176471,1.1,1.26046552532833,1.15,1.07920571173583,1.19019001831502,1.25714285714286,1.25714285714286,1.39086859688196,1.3680812870616,1.33518930957684,1.31578947368421,1.3375,1.29166666666667,1.33518930957684,1.2920004300844
"Upper West Side","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.08396502792273,5.06719611548462,5.05993150684932,5.05443234836703,5.01606792373023,4.98307692307692,4.99324324324324,4.99244141669447,5.06229508196721,5.1219512195122,5.00690582196846,5.02225519287834,5.12640779390414,5.12477718360071,5.14096185737977,5.09715994020927,5.06656804733728,5.04545454545455,4.99324324324324,5.00623033034236,5.06675567423231,5.06452537809976,5.04484304932735,5,4.59053173602354,5,5,4.92167107652631,4.91978609625668,4.92220650636492,4.91822638146168,4.99617397567222,5.02743484224966,5,5.02155172413793,5,5,5,4.99359795134443
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.99375,2.13928571428571,2.0551282051282,2.07417582417582,2.13571428571429,2.07767232767233,2.13965751053148,2.11875,2.11875,2.1989010989011,2.33870967741935,2.35164835164835,2.37155297532656,2.45903010033445,2.38640429102809,2.46153846153846,2.3125,2.32273838630807,2.49006622516556,2.20715765247411,2.17857142857143,1.99285714285714,2.25135623869801,2.29054054054054,2.4375,2.36875,2.47776795944922,2.45590391581853,2.42285714285714,2.53220647912511,2.65714285714286,2.59866666666667
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.31291759465479,1.24879807692308,1.26459143968872,1.22680252370188,1.25669763371996,1.2346408839779,1.11764705882353,1.12290502793296,1.18629173989455,1.14400538358008,1.125,1.11685924369748,1.22916712122865,1.27798626597636,1.22129186602871,1.2730303030303,1.27652549273176,1.27688172043011,1.33518930957684,1.33518930957684,1.28859060402685
"Astoria","New York","NY","New York","Queens",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.8669790343075,3,3.08181818181818,2.8,2.98888888888889,3,2.99166666666667,2.92153846153846,2.83464566929134,2.98507462686567,2.93333333333333,2.85805046287893,2.85571428571429
"North Mountain","Phoenix","AZ","Phoenix","Maricopa",7,,,,,,,,,,,,,,,,,,,,,0.800763358778626,0.751506024096386,0.674718196457327,0.671768707482993,0.75,0.727142857142857,0.712857142857143,0.705714285714286,0.790988624313121,0.792892156862745,0.811764705882353,0.830882352941177,0.831481481481481,0.801217038539554,0.771960784313726,0.794117647058823,0.8304,0.831666666666667,0.837837837837838,0.815261482492042,0.824159021406728,0.862068965517241,0.861248761149653,0.872689938398357,0.840978593272171,0.836627140974967,0.832196452933151,0.832107843137255,0.824159021406728,0.824159021406728,0.857142857142857,0.91991341991342,0.904837861745133,0.911858974358974,0.911858974358974,0.888745148771022,0.890119047619048,0.868571428571429,0.949393440451182,0.975622206811527,0.938178505112144,0.939613835887366,0.929542645241038,0.923104655953852,0.937621832358674,0.931914179763376,0.981481481481482,1,0.97979682829204,0.98644578313253,0.984370836417469,1,1,1.04166666666667,1.04453995843567,1.04453995843567,1.04477611940298,1.03420695205996,0.993091537132988,1.04142857142857,0.974520460358056,1.01461799579269,0.952277461190804,0.99312242090784,0.994497936726272,1.03576341127923,1.04827430972389,1.0949263502455,1.09615503558787,1.10951760104302,1.11983114357539,1.10759493670886
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",8,,,,,,,,,,,,,1.06245278564684,1.07753820637365,1.01881331403763,1.01425438596491,1.00991501416431,0.987403640316337,0.987640449438202,1.011517273846,0.992857142857143,0.972027972027972,0.954782608695652,0.95573499776086,0.971666666666667,0.97247534127673,0.972789115646258,0.976486614546316,1.00695652173913,1.00898000045897,0.988169062009907,1.00833333333333,1.00769230769231,1.01866251944012,1.04955323647773,1.08205599241908,1.03596153846154,1.03333333333333,1.04166666666667,1.04797619047619,1.06308709998263,1.05473965287049,1.06153846153846,1.13207547169811,1.11558441558442,1.11486486486486,1.12342111673007,1.12047596006344,1.09051146253842,1.09150355871886,1.09203073349415,1.09744460994228,1.1178247734139,1.11817780881326,1.12162162162162,1.15151515151515,1.15764871205259,1.15903675970048,1.14812082755626,1.14284274193548,1.16923076923077,1.12652322496515,1.14618144815767,1.15151515151515,1.15940446650124,1.1875,1.18300653594771,1.17603550295858,1.2032546705998,1.19562243502052,1.22526636225266,1.22861586314152,1.26219108369061,1.29848484848485,1.28125,1.28426339285714,1.28440366972477,1.25751325337896,1.33592644978784,1.44025974025974,1.34097421203438,1.30426777048244,1.28571428571429,1.31180698401879,1.33480825958702,1.35977337110482,1.3489932885906,1.36391912908243,1.36170486737059,1.36130916327767,1.3702487244898,1.37896825396825
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",9,,,,,,,,,,,,,,,,,,,,,,,,2.30450403657868,2.27992747784045,2.30698876904259,2.13882900986482,2.23076923076923,2.29720622038083,2.14251777634131,2.19176470588235,2.17921568627451,2.41797432239658,2.50698324022346,2.40969696969697,2.32751314598301,2.46022128556375,2.5,2.37333333333333,2.45098039215686,2.40252897787144,2.49680306905371,2.45358974358974,2.39,2.4215404965405,2.26666666666667,2.52613240418118,2.49509774845344,2.45538428626118,2.4338817794028,2.44123048668503,2.42142857142857,2.40252897787144,2.53787878787879,2.56827272727273,2.57594936708861,2.59197138175268,2.53247730007658,2.67789535361224,2.55477855477855,2.63415404040404,2.63866666666667,2.42734159779614,2.54166666666667,2.55365961199295,2.4415889096241,2.52666666666667,2.52666666666667,2.55212643678161,2.60714285714286,2.56428571428571,2.60769230769231,2.71929824561404,2.88311688311688,2.92534317534318,2.76868686868687,2.92876712328767,2.94506820799008,3.0062893081761,3.21945363122289,2.93656207366985,3.00341064120055,2.82954545454545,3.05845864661654,3.0126213592233,3.0188679245283,3.11097867832075,3.21380243572395,3.24791418355185,3.25134408602151,3.16066066066066,3.16738486399138
"Harlem","New York","NY","New York","New York",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.81512605042017,2.81896046462063,2.84113712374582,2.81896046462063,2.83627717391304,2.81929347826087,2.81929347826087,2.85433395847641,2.8561259069689,2.93624161073825,2.84039975772259,2.84479301423027,2.85899094437257,3.03022108172128,2.92749641662685,2.92372333548804,2.91987179487179,2.93220295040315,2.90791316526611,2.89915966386555,2.97818791946309,2.875,2.88888888888889,2.89402427637722,2.88888888888889,2.89402427637722,2.92642140468227,2.94835921719262,2.91775615688659,2.83627717391304,3.06666666666667,3.00128040973111,3.00295826208011,3.09364548494983,2.98909395973154,3.04101838755304,3.12382743568311,3.05555555555556,3.09450171821306
"East Harlem","New York","NY","New York","New York",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.78578121917538,4.98533724340176,4.79054054054054,4.94081081081081,4.74953035995637,4.89347826086957,4.95495495495495,4.98533724340176,4.94081081081081,5.096011816839,5.1698670605613,5.22737811340753,5.1698670605613,5.24642289348172,5.19563008130081,5.1763969449148,5.24642289348172,5.29309955602378,5.24642289348172,5.52558782849239,5.0983414788893,4.92028985507246,4.92347826086957,4.9093466691908,4.51298701298701,4.89840348330914,4.66666666666667,4.86666666666667,4.94830132939439
"North Scottsdale","Scottsdale","AZ","Phoenix","Maricopa",12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5352644836272,1.58129496402878,1.46772228989038,1.55298416565164,1.59517426273458,1.55766793409379,1.4745308310992,1.49352885009701,1.42554357660881,1.45100502512563,1.40487859282391,1.38461538461538,1.49006622516556,1.50760233918129,1.61235836986902,1.59804440222913,1.5587044534413,1.54836683417085,1.55493998692322,1.58723958333333,1.59622641509434,1.51234567901235
"Corona","New York","NY","New York","Queens",13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.17857142857143,2.16482136029899,2.19359331476323,2.20897615708275,2.21059071377022,2.21765440399577,2.2883107839236,2.3109243697479,2.28208969285849,2.3180416530577,2.26337874454313,2.29166666666667,2.29452054794521,2.41527506521084,2.33128834355828,2.37394957983193,2.44444444444444,2.47899159663866,2.4528994682198,2.36033410578716,2.39130434782609,2.65287954455091,2.39495798319328,2.38780848811274,2.35547355473555,2.36534885356315,2.40053050397878,2.44397759103641,2.51392757660167,2.45098039215686,2.49692496924969,2.4859943977591,2.55417690561674,2.48948106591865
"Koreatown","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.07752873563218,1.93659420289855,1.96284991066111,2.01485864210752,1.85,1.875,1.89393939393939,1.87452380952381,1.8969696969697,1.86,1.84,1.90909090909091,1.78571428571429,1.77777777777778,2.08395802098951,1.859375,1.87377622377622,1.99642857142857,1.99583333333333,1.9875,2.03125,2.08395802098951,2.16346153846154,2.13245192307692,2.19,2.19268077601411,2.23557692307692,2.375,2.32371794871795,2.28927326707112,2.375,2.65818965517241,2.75,2.825,2.93329664162998,2.60689655172414,2.60869565217391,2.66666666666667,2.73851590106007,2.63636363636364,2.60330578512397,2.81295787545788,3.18181818181818,3.03776846131215,2.86461461461461,2.98181818181818,3,2.93246913580247,2.77264492753623,2.92393649931338
