"RegionName","City","State","Metro","CountyName","SizeRank","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Upper West Side","New York","NY","New York","New York",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.09939245565952,5.10285453894477,5.01647071802022,5,4.99291242280857,4.94897959183673,4.96445497630332,4.96445497630332,5.07662835249042,5.11627906976744,4.88888888888889,4.94117647058824,4.99324324324324,4.99523273273273,4.99258160237389,4.95454545454545,4.95361342127904,4.99412162162162,5,5.01446480231437,5,5.00186706497386,4.99375,4.82575757575758,4.73030303030303,4.75409836065574,4.88888888888889,4.86486486486486,4.7796493902439,4.75299401197605,4.75149700598802,4.79,4.79735318444996,4.77075588599752,4.815,4.77555970149254,4.8,4.70588235294118,4.71910112359551
"Astoria","New York","NY","New York","Queens",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.66666666666667,2.57142857142857,2.70588235294118,2.66666666666667,2.56696428571429,2.77777777777778,2.85714285714286,2.85,2.875,2.8,2.85714285714286,2.8,2.82352941176471,2.75
"Hollywood","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,,,,,,,,,,,,,,,,,,,,,,,1.99375,2.09239130434783,1.871875,1.85714285714286,1.82608695652174,2.035,1.80818448413756,1.98237885462555,2.098,2.395,2.33333333333333,2.26376811594203,2.13571428571429,2.22830336200156,2.09821428571429,2.18181818181818,2.22776769509982,2.2676446513219,2.38885202388852,2.33333333333333,2.39579457364341,2.33653959437852,2.27857142857143,2.38617243867244,2.031041062023,2.15424242424242,2.13571428571429,2.21428571428571,2.27954267360049,2.17291666666667,2.18968392630241,2.10769230769231,2.19375,2.30560549973559,2.37435261707989,2.39833333333333,2.325,2.29588709677419,2.3075,2.4,2.5625,2.66666666666667,2.52551020408163,2.58333333333333,2.58216594827586,2.46972206625491,2.58064516129032,2.578125,2.578125,2.69375,2.56972628066378,2.58023897058824,2.55474452554745,2.56428571428571,2.59259259259259,2.56742742906034,2.60714285714286,2.69565217391304,2.71136363636364
"East Harlem","New York","NY","New York","New York",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.69798657718121,4.68232662192394,4.8,4.85871807255018,4.78088492578588,5.096011816839,5.1698670605613,5.1698670605613,5.24997797162746,4.58928571428571,4.18706293706294,4.10588235294118,4.08406404879909,3.86370597243492,3.8,3.87755102040816,3.99375,4.1010101010101
"Corona","New York","NY","New York","Queens",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.15750294811321,2.15660232843137,2.3593570608496,2.26166888248413,2.12150433944069,2.2939729397294,2.40053050397878,2.38007380073801,2.33639494833525,2.35361653272101,2.40818915801615,2.28301886792453,2.5,2.45125348189415
"Murray Hill","New York","NY","New York","Queens",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87142857142857,1.91298727128083,1.92857142857143,1.91893965223321,1.92919799498747,1.95,1.95326086956522,1.90465393794749,1.95,2.125,2.07142857142857,2.17767621560498,2.16512702078522,2.15,2.09871447902571,2.10555555555556,1.95813375092115,1.97784810126582,2.13675213675214,2.20804093567252,2.20512820512821,2.0975,2.01431980906921,2.04020207165903,2.04347826086957,2.04446640316206,2.04347826086957,2.08217987346354,2.04096989966555,1.98275862068966,2.18181818181818,2,2.09882583170254,2.03586167051832,2.04545454545455,2.29115384615385,1.99137931034483,2.15397254977769,2.13961038961039,2.21111111111111,2.19230769230769,2.27236448566724,2.35714285714286,2.39,2.21689365401333,2.21052631578947
"Forest Hills","New York","NY","New York","Queens",7,,,,,,,,,,,,,,,,,,1.984375,2.12487899322362,2.39010220422005,2.26136363636364,2.43333333333333,2.36133720930233,2.32383720930233,2.32754854368932,2.25409836065574,2.16666666666667,2.25368413871075,2.3975,2.33009708737864,2.295,2.30909090909091,2.23076923076923,2.21463815789474,2.2289156626506,2.24360632183908,2.25,2.26315789473684,2.2582139057513,2.31316725978648,2.34375,2.33333333333333,2.33333333333333,2.4196558915537,2.45776309579991,2.4,2.38636363636364,2.40454545454545,2.3975,2.41788321167883,2.43478260869565,2.43181818181818,2.40625,2.47058823529412,2.46547619047619,2.39444444444444,2.3448275862069,2.3448275862069,2.30372807017544,2.40384615384615,2.3035102739726,2.32916666666667,2.28571428571429,2.34105392156863,2.35357142857143,2.31372549019608,2.32843137254902,2.38266666666667,2.36931818181818,2.40909090909091,2.44166666666667,2.4,2.37294117647059,2.40442708333333,2.43303571428571,2.46428571428571,2.42857142857143,2.49375,2.46794871794872,2.45454545454545,2.45454545454545
"Jackson Heights","New York","NY","New York","Queens",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.25228310502283,2.29166666666667,2.35714285714286,2.29910714285714,2.39583333333333,2.4,2.375,2.25,2.40442307692308,2.5,2.39904295051354,2.425,2.45123106060606,2.45454545454545,2.47751436781609,2.43824404761905
"Gramercy","New York","NY","New York","New York",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.99545454545455,5.07142857142857,5.0251256281407,5.01504513540622,4.78785714285714,4.72487667371388,4.76190476190476,4.73840078973346,4.88835634925372,4.91666666666667,4.91071428571429,4.95277797429548,4.91071428571429,4.88899803536346,4.9875,4.87525252525253,5.16618642846852,4.94886363636364,4.97058823529412,5.12472547584187,5.12445095168375,5.14285714285714,5.12445095168375,5.16047794117647,5.15504807692308,5.10107142857143,5.09668835754641,5.10431547619048
"Bay Ridge","New York","NY","New York","Kings",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,2,2.11904761904762,1.9375,2.05,2.19677419354839,2.32456140350877,2.30625,2.29583333333333,2.30789473684211,2.346875,2.26875,2.26666666666667,2.39642857142857
"Roxbury","Boston","MA","Boston","Suffolk",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73214285714286,1.65746753246753,1.71428571428571,1.75651538523991,1.63636363636364,1.5,1.5,1.65384615384615,1.66666666666667,1.8332083958021,1.88235294117647,1.84,1.69047619047619,1.83666666666667,2.05128205128205,1.8,1.51086956521739,1.52173913043478,1.390625,1.56368960468521,1.63216991341991,1.75,1.875,1.94444444444444,1.79583333333333,1.78869047619048,1.875,1.8,1.67832167832168
