"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,950,850,900,895,882.5,825,795,795,795,825,795,750,750,795,775,750,775,772,775,750,750,750,775,795,770,750,750,790,795,795,795,795,800,800,835,825,825,850,850,825,850,875,900,900,900,875,925,950,950,927.5,995,995,900,927,925,929.5,945,969,997.5,930,955,995,980,1002.5,955,955,1007.5,1000,1000,1050,1100,1036.5,1050,1126.5,1150,1150,1105
"Upper West Side","New York","NY","New York","New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4495,4500,4500,4500,4400,4412.5,4450,4485,4500,4370,4322.5,4300,4400,4501,4501,4500,4500,4500,4500,4500,4500,4500,4337.5,3995,4325,4400,4400,4300,4250,4200,4250,4250,4200,4200,4200,4195,4176,4332
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,,,,,2047.5,1995,2000,2100,2100,2100,2100,1962.5,1850,1797.5,1750,1795,1775,1775,1797.5,1880,1822,1849,1762.5,1850,1892,1857.5,1895,1827.5,1782.5,1865,1895,1950,1950,1897,1850,1922.5,1895,1950,1850,1850,1897,1850,1962.5,2150,2250,2195,2137,2195,2195,2250,2200,1997,2250,2272.5,2095,2185,2245,2200,2212.5,2236,2200,2295,2200,2200,2363,2297.5,2350,2222.5,2200,2250,2376,2200,2272,2295,2375,2300,2385,2350,2325,2300,2400,2395,2412.5,2485,2485
"Upper East Side","New York","NY","New York","New York",4,,,,,,2697.5,3000,3200,3000,2900,2950,3000,2995,3000,3300,3200,3200,3300,3200,3195,3195,3100,3200,3200,3197,3262.5,3300,3350,3295,3225,3200,3150,3095,3050,2900,2999.5,3200,3200,3199,3200,3295,3300,3399,3395,3300,3250,3450,3500,3495,3595,3695,3780,3600,3800,3745,3695,3395,3475,3450,3595,3600,3500,3495,3500,3550,3650,3695,3750,3525,3395,3500,3300,3500,3495,3495,3500,3395,3450,3300,3299.5,3252.5,3300,3300,3450,3495
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",5,,,,,,,,,,662.5,675,697,650,650,650,650,650,660,650,650,650,650,650,650,625,627.5,650,650,650,650,650,650,650,650,650,650,600,600,600,625,650,650,650,650,675,665,650,654.5,650,650,650,650,650,650,650,675,650,675,650,675,695,675,695,675,700,700,700,695,700,750,725,695,750,726,700,740,750,795,800,800,800,800,800,795,835
"East New York","New York","NY","New York","Kings",6,,,,,,,,,,,1400,1375,1375,1400,1400,1400,1400,1375,1400,1405,1488,1450,1400,1400,1400,1400,1400,1400,1400,1400,1400,1450,1450,1500,1400,1500,1500,1500,1500,1500,1495,1500,1500,1500,1500,1500,1500,1507,1550,1507,1500,1500,1550,1550,1600,1600,1600,1600,1650,1600,1600,1600,1600,1650,1600,1625,1699,1700,1662.5,1675,1750,1800,1770,1699,1750,1850,1875,1800,1800,1800,1850,1825,1850,1799,1799
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1010,1000,1000,1050,995,980,1065,1000,960,950,1050,1037,1110,1077.5,1065,1078.5,1095,1099.5,1091.5
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927,919,949,909,935,936.5,947,885,895,880,894.5,885,902.5,910,944,912.5,900,910,885,905,905,905,1016,975,975,1002,952.5,963,964,951,950,995,953,958,932,960.5,1008,1046,1069,1043.5,1096,1135,1061.5,1111
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,953.5,922,883,960,952,960.5,953,943,983,962,965,859.5,876,941,951.5,949,962,986,1036,1003,982,986.5
"Washington Heights","New York","NY","New York","New York",10,,,,,,1550,1650,1695,1650,1695,1750,1700,1695,1650,1640,1650,1650,1650,1680,1650,1700,1795,1750,1800,1800,1800,1750,1795,1795,1795,1800,1800,1850,1850,1895,1875,1850,1850,1850,1850,1850,1875,1875,1895,1900,1950,1895,1950,1995,2000,1975,1995,2000,1975,1995,1995,1950,1995,2000,2043,2050,2000,2000,1997.5,2000,2000,2000,2000,2000,1995,1995,2000,2000,2000,2000,2000,2050,2095,2095,2125,2195,2200,2200,2199,2157.5
