"RegionName","City","State","Metro","CountyName","SizeRank","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,,,,,,,,1150,1150,1100,1100,1100,1100,1100,1100,1095,1095,1100,1117.5,1100,1097,1075,1045,1050,1050,1050,1050,1095,1098.5,1100,1100,1100,1100,1125,1125,1100,1100,1100,1100,1100,1100,1125,1100,1150,1125,1125,1100,1100,1100,1145,1106.5,1150,1170,1195,1195,1200,1200,1195,1150,1200,1200,1200,1200,1247.5,1217,1235,1250,1250,1250,1200,1200,1265,1195,1250,1250,1252.5,1295,1299,1300,1325,1300,1300
"Upper West Side","New York","NY","New York","New York",2,,,,,,,,,,,,,,,,5075,5516,5095,5295,5500,5800,5950,6000,5997.5,5497.5,5462.5,5699,5700,5530,5700,6097.5,6047.5,6195,6000,5960,6000,5800,5500,5500,5296,4995,5500,5500,5200,5497,5499,5522.5,5700,5700,5295.5,5600,6350,6500,6600,6595,6500,6750,6595,6500,6500,6900,6500,6400,6500,6500,6400,6425,6295,6400,6200,6350,6350,6200,6300,6075,5647.5,5375,6200,6000,5895,5997.5,5900,6150,6100,6000,5900,5695,5995,5862.5,5800
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3987.5,3899,3950,4050,3537.5,3747.5,3422.5,3600,4150,3992.5,3800,3772.5,3650,3662.5
"Upper East Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,4500,4395,4295,4300,4395,4232.5,4495,4300,4400,4500,4495,4495,4250,4450,4495,4300,4495,4575,4595,4600,4650,4650,4695,4595,4500,4400,4495,4500,4895,4895,4795,4945,5000,5115,5300,5200,5000,5500,5750,6000,6000,6000,6395,6500,5595,5500,5980,5900,5425,5500,5547.5,5500,5347.5,5400,5500,5900,5995,5995,5995,6040,6000,5500,5197.5,4995,5129,5697.5,5597.5,5600,5500,5995,5995,5565,5600,5591,5595,5500,6200
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",5,,,,,,,,,,,,,,,,925,900,925,925,900,895,899,900,895,900,925,900,900,900,900,900,900,895,895,899,900,900,900,900,900,900,899,895,899,899,899,900,900,905,950,925,925,925,950,950,950,942.5,925,950,950,950,950,950,950,950,950,985,975,950,950,985,995,975,975,997.5,1025,975,999,975,1000,995,995,999,1050,1050,1050,1100,1072.5,1066,1097
"East New York","New York","NY","New York","Kings",6,,,,,,,,,,,,,,,,,1625,1650,1625,1600,1625,1625,1625,1675,1800,1800,1744,1750,1700,1700,1700,1700,1700,1750,1800,1750,1750,1750,1800,1816.5,1800,1750,1850,1800,1797.5,1760,1800,1800,1800,1800,2037,1800,1800,1800,1800,1800,1800,1800,1800,1900,1900,1900,1900,1900,1999.5,2000,2000,1900,2000,2000,2000,2000,1925,2000,2000,2000,2000,2000,2000,2200,2100,2000,2174.5,2125,2200,2150,2200,2200,2200,2199
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,1180,1200,1225,1237.5,1207.5,1200,1200,1195,1162.5,1150,1177.5,1150,1125,1100,1100,1100,1125,1100,1100,1100,1100,1100,1125,1150,1150,1150,1150,1150,1150,1125,1142.5,1125,1150,1150,1150,1150,1175,1190,1188,1186.5,1180,1175,1195,1200,1195,1195,1200,1199,1200,1200,1200,1225,1200,1200,1235,1250,1200,1247,1250,1277.5,1250,1227,1250,1247.5,1250,1295,1250,1250,1275,1250,1250,1250,1299,1295,1300,1300,1300,1300,1325,1350,1350
"Washington Heights","New York","NY","New York","New York",8,,,,,,,,,,,,2195,2225,2200,2195,2250,2200,2200,2200,2200,2200,2250,2295,2295,2295,2300,2300,2300,2300,2250,2295,2295,2299,2295,2299,2325,2395,2400,2400,2462.5,2400,2400,2395,2390,2395,2395,2395,2395,2415,2500,2515,2400,2497,2500,2550,2495,2495,2550,2495,2400,2500,2500,2550,2550,2650,2700,2700,2635,2566,2600,2650,2600,2558,2500,2500,2500,2600,2550,2425,2595,2450,2640,2650,2606,2699,2699.5,2750,2800,2772.5,2700
"Astoria","New York","NY","New York","Queens",9,,,,,,,,,,,,,,,2225,2300,2400,2400,2400,2350,2400,2400,2495,2495,2500,2400,2400,2500,2600,2700,2600,2500,2600,2550,2550,2600,2600,2650,2600,2600,2695,2700,2800,2800,2700,2700,2700,2700,2800,2900,2900,2875,3000,3000,3000,2825,2800,2800,2800,2800,2900,2900,2850,2895,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3100,3000,2950,2950,3000,2999.5,3000,3000,3000,2980,2900,2862.5
"Far North","Dallas","TX","Dallas-Fort Worth","Dallas",10,,,,,,,,,,,,1500,1575,1500,1615,1597.5,1397.5,1500,1397.5,1376,1400,1281,1232.5,1349,1339,1382.5,1450,1400,1495,1495,1375,1300,1363,1405,1347.5,1409,1451.5,1451,1475,1475,1432.5,1542.5,1597.5,1650,1600,1642.5,1690,1697.5,1690,1692.5,1800,1775,1650,1600,1647.5,1620,1670,1745,1699,1650,1695,1700,1750,1729,1722,1695,1695,1722,1750,1795,1743,1734,1713,1729.5,1750,1750,1812.5,1875,1875,1750,1745.5,1875,1800,1821,1891,2000,2000,2000,1950,1925
