"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1350,1297.5,1350,1300,1350,1202,1300,1395,1400,1425,1400,1400,1325,1395,1350,1400,1395,1395,1395,1400,1600,1590,1450,1550,1362.5,1450,1450,1495,1450,1495,1495,1495,1500,1580,1600,1650,1650,1695,1650,1650
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,1150,1150,1100,1100,1095,1100,1100,1100,1095,1047.5,1050,1065,1050,1050,1050,1000,1000,1000,1000,1000,1018,1025,1050,1095,1095,1100,1100,1125,1150,1125,1150,1150,1150,1150,1125,1100,1150,1150,1175,1195,1195,1195,1200,1150,1200,1250,1250,1250,1250,1275,1250,1245,1245,1250,1250,1295,1297.5,1295,1250,1300,1195,1250,1245,1250,1300,1200,1250,1295,1300,1350,1300,1350,1350,1350,1350
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,885,875,885,937.5,895,875,850,875,850,850,825,850,850,850,850,850,845,825,820,800,817.5,800,825,850,850,850,850,850,875,875,850,850,850,850,850,850,850,850,850,845,850,850,850,850,850,850,850,850,875,875,875,895,875,875,880,895,895,895,899,897,895,900,925,912.5,900,900,907.5,925,915,950,950,950,950,968.5,975,902.5,957.5,950,925,899,975,987.5,1000,1000,1050,1050,1055,1067.5,1050
"Upper West Side","New York","NY","New York","New York",4,2900,2800,2900,2900,3050,3250,3450,3500,3600,3695,3500,3500,2962.5,3200,3200,3200,3100,3200,3370,3500,3600,3551.5,3465,3264.5,3395,3200,3200,3302.5,3400,3365,3400,3400,3442.5,3400,3303.5,3300,3300,3300,3295,3299,3250,3200,3250,3495,3500,3500,3500,3500,3500,3530,3595,3512.5,3680,3600,3599,3600,3700,3650,3600,3680,3595,3595,3600,3649,3700,3698.5,3680,3700,3695,3670,3680,3696,3695,3700,3649,3649,3582.5,3500,3500,3500,3500,3597,3500,3510,3515,3500,3595,3600,3600,3600,3600,3550
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3200,3200,3075,3000,3150,2997.5,2995,3050,3000,3100,3000,3097.5,2990,3000,3500,3250,2875,2992.5,3100,3200,3687.5,4000,4150,4050,3695,3600,3849.5,3500,3447.5,3200,3372.5,3100,3300,3500,3895,3600,3600,3675,3600
"Upper East Side","New York","NY","New York","New York",6,,,,,,,,,,,,,,2500,2595,2595,2615,2700,2800,2895,2950,2900,2900,2790,2795,2700,2700,2750,2700,2700,2750,2795,2800,2800,2800,2800,2800,2750,2795,2700,2600,2500,2600,2800,2995,3100,3100,3065,3050,3095,3170,3100,3150,3085,3200,3195,3176,3100,3150,3170,3150,3177,3182.5,3178.5,3200,3200,3200,3200,3200,3195,3195,3195,3200,3195,3195,3180,3062.5,3097.5,3000,2997,3050,3095,2980,3100,3177,3200,3200,3200,3201.5,3200,3145,3150
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,900,899,900,895,900,947.5,900,900,900,895,895,895,877.5,860,850,895,895,892.5,875,867.5,870,875,875,875,875,850,850,875,850,870,850,850,850,850,875,869,899.5,900,900,900,925,900,900,900,900,900,925,912.5,925,950,955,932,950,900,950,995,950,950,950,950,950,992.5,992.5,995,950,950,995,950,950,975,975,995,995,990,1025,997.5,995,1050,1050,1025,1050
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",8,,,,,,1097.5,1200,1225,1200,1200,1100,1187.5,1195,1100,1100,1227.5,1195,1175,1100,1100,1100,1100,1100,1095,1100,1100,1100,1100,1099,1100,1100,1100,1100,1150,1100,1150,1100,1150,1150,1100,1095,1067,1075,1050,1050,1095,1095,1125,1125,1150,1150,1100,1100,1125,1150,1150,1150,1195,1195,1197,1200,1199,1195,1190,1200,1200,1195,1150,1195,1200,1200,1200,1150,1100,1100,1200,1225,1137.5,1100,1150,1200,1200,1195,1245,1250,1275,1250,1212.5,1245,1250,1295,1295
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",9,1475,1550,1525,1495,1500,1625,1550,1395,1275,1250,1250,1200,1200,1200,1200,1200,1295,1250,1200,1200,1195,1225,1250,1225,1200,1250,1200,1200,1250,1212.5,1200,1200,1195,1200,1197.5,1200,1195,1195,1195,1195,1195,1195,1175,1195,1250,1250,1250,1275,1295,1300,1300,1350,1350,1304.5,1350,1309.5,1325,1350,1375,1450,1500,1497.5,1500,1495,1450,1450,1450,1450,1475,1475,1595,1550,1525,1500,1500,1450,1450,1475,1485,1425,1400,1432.5,1350,1495,1450,1500,1500,1500,1500,1525,1500,1500
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",10,,1150,1100,1100,1125,1100,1100,1012.5,1000,1099,1099.5,1175,1100,1122.5,1150,1100,1100,1150,1150,1112.5,1100,1095,1100,1095,1072.5,1099,1100,1125,1100,1099.5,1100,1100,1150,1125,1125,1150,1150,1150,1150,1100,1100,1100,1095,1100,1100,1119,1150,1150,1150,1150,1150,1195,1199,1199,1200,1200,1200,1195,1195,1195,1200,1225,1200,1237,1200,1200,1225,1250,1250,1245,1225,1275,1250,1250,1250,1225,1249.5,1225,1215,1250,1250,1200,1245,1290,1295,1300,1349,1350,1350,1350,1350,1350
