"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,703,700,725,650,650,650,695,695,700,795,725,700,700,679,595,690,650,700,750,635,617,650,675,700,753.5,782,797.5,850,800,795,800,812.5,795,800,825,895,901,850,895,895,885,825,915,908,908,990,1000,1000,915,950,945,1000,975,975,985,967.5,985,967.5,962.5,950,915,1000,1050,1000,1000,950,1000,992.5,1000,1050,1050,1000,1100,1092.5,1100,1200
"Upper West Side","New York","NY","New York","New York",2,,,,,,,,,,,,,,3200,3200,3200,3025,3205,3360,3504.5,3600,3500,3300,3100,3300,3050,3100,3250,3300,3250,3300,3300,3370,3350,3300,3299,3300,3300,3299,3295,3227,3200,3250,3500,3540,3670,3700,3600,3650,3700,3750,3650,3850,3750,3695,3700,3800,3700,3700,3750,3677.5,3697.5,3700,3750,3762.5,3795,3750,3800,3795,3775,3775,3790,3772.5,3795,3750,3742.5,3600,3600,3552.5,3510,3540,3650,3555,3649,3650,3600,3700,3750,3750,3700,3680,3600
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2100,2175,2300,2250,2297.5,2395,2400,2450,2450,2350,2347.5,2495,2400,2400,2340,2400,2495,2500,2625,2425,2350,2296.5,2300,2500,2595,2600,2500,2499,2700,2395,2550,2595,2537.5,2900,2600,2750,2500,2647.5,2500,2500,2650,2700,2750,2698,2722.5,2800
"Upper East Side","New York","NY","New York","New York",4,,,,,,,,,,,,,,2550,2595,2595,2600,2695,2800,2800,2900,2750,2700,2600,2695,2650,2650,2695,2695,2695,2700,2712.5,2795,2800,2885,2800,2800,2750,2795,2700,2600,2495,2600,2800,3000,3200,3200,3150,3125,3197.5,3200,3150,3200,3195,3250,3250,3200,3190,3200,3200,3200,3205,3250,3250,3300,3300,3295,3295,3295,3295,3250,3250,3295,3295,3250,3200,3100,3150,3095,3000,3150,3150,3000,3200,3202.5,3300,3300,3300,3300,3300,3200,3200
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",5,,,,,,,,,,,,,,,,,,,650,650,650,625,650,627,650,650,650,650,655,655,695,650,650,650,650,697.5,650,695,700,700,695,695,690,650,650,650,650,650,650,650,675,695,695,675,657.5,650,650,675,700,700,742.5,700,695,675,685,725,735,750,711.5,712.5,725,750,750,740,695,700,750,700,750,742.5,800,775,795,785,800,850,850,795,795,825,800,800
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,800,800,795,750,795,795,795,750,765,750,750,750,750,750,750,770,775,750,785,785,795,795,825,850,895,850,860,850,847.5,825,850,850,800,795,795,795,795,795,795,795,800,800,800,799,800,800,800,800,825,800,825,850,850,850,850,850,850,825,850,850,850,850,850,850,875,900,850,895,900,977.5,995,950,1000,1100,1099,1050,995,975,975,975,995
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1125,1124,1150,1145,1150,1175,1200,1295,1250,1250,1250,1250,1112,1145,1134.5,1100,1100,1150,1134.5,1075,1200,1195,1195,1195,1200,1200,1200,1200,1200
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",8,,,,,,,,,,,,,,,,,762.5,775,772.5,795,825,822.5,775,747.5,750,747.5,761,775,762.5,775,777.5,795.5,799,799,799.5,795.5,800,834.5,880.5,795,830,800,800,797,825,825,849,849,850,850,850,850,850,825,850,875,860,872.5,872.5,882.5,850,850,850,850,850,850,897.5,850,885,950,860,850,850,895,900,885,875,925,900,895,850,860,860,975,925,1022,1047,995,995,960,1095,1095
"Washington Heights","New York","NY","New York","New York",9,,,,,,,,,,,,,,1350,1350,1350,1350,1450,1450,1600,1400,1495,1497.5,1550,1500,1500,1495,1495,1550,1550,1600,1625,1595,1600,1650,1564,1650,1695,1695,1750,1750,1786,1750,1675,1750,1675,1662.5,1645,1625,1645,1675,1772.5,1800,1675,1675,1675,1675,1687.5,1725,1797.5,1772.5,1675,1675,1750,1750,1795,1800,1795,1800,1772.5,1675,1675,1795,1750,1650,1650,1675,1662.5,1675,1650,1650,1662.5,1675,1800,1850,1712.5,1750,1750,1850,1825,1772.5,1795
"Astoria","New York","NY","New York","Queens",10,,,,,,,,,,,,,,,,,,,,,,,1700,1700,1700,1800,1795,1805,1875,1950,2100,2000,2100,2070,2100,2100,2050,2050,2097,2100,2000,2025,2100,2200,2100,2100,2100,2100,2100,2100,2100,2100,2150,2250,2250,2250,2250,2200,2175,2300,2215,2300,2150,2150,2200,2312.5,2312.5,2300,2300,2275,2275,2262.5,2300,2350,2307,2175,2400,2200,2150,2300,2300,2250,2100,2195,2150,2150,2100,2150,2300,2325,2175,2125
