"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Paradise","Las Vegas","NV","Las Vegas","Clark",1,,,,,,,,,682.5,665,650,707.5,700,689.5,725,847.5,799,895,862.5,800,750,725,710,725,716,700,667.5,660,700,695,695,700,725,725,700,685,685,700,710,737,750,755,795,850,850,825,850,900,904.5,909.5,922,899,900,875,850,850,900,900,995,950,875,950,925,950,950,950,950,900,900,910,899,905,950,960,919,915,1000,995,1095,985,985,1007.5,989,1048.5,1150,1149,1077.5,1025,1075,1044,1076,1013
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",2,,,,,,,,,,,,,,,,,625,650,650,661.5,600,592.5,599.5,625,654.5,728.5,649.5,649,625,625,639,639,612.5,589,589,599,610,650,698,695,725,653.5,655,667,667,677,725,715,700,700,715,788,750,750,765,775,762.5,750,769.5,757.5,750,767.5,750,750,747.5,750,777.5,777.5,755,847.5,750,670,695,760,785,787,805,769,795,830,785.5,805,750,780,786,800,831.5,829,825,826.5,815,788
"Upper West Side","New York","NY","New York","New York",3,,,,,,,,,,,,,2700,2800,2950,2995,2925,3091,3100,3250,3250,3200,3197.5,3092.5,3100,3010,3045,3140,3152.5,3100,3200,3200,3299,3300,3200,3200,3200,3200,3200,3200,3300,3250,3272.5,3387.5,3400,3300,3313,3300,3300,3300,3300,3300,3400,3427,3450,3495,3495,3477.5,3445,3442.5,3450,3465,3495,3450,3495,3500,3507.5,3552.5,3535,3530,3500,3500,3500,3500,3500,3495,3450,3240,3399,3400,3450,3430,3350,3390,3400,3370,3390,3400,3400,3445,3450,3450
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",4,,,,,,,,,,,,1695,1747.5,1825,2050,1850,1922.5,2195,1987.5,1800,1600,1495,1579,1575,1550,1495,1575,1595,1499,1575,1595,1650,1615,1580,1570,1565,1625,1625,1670,1600,1675,1575,1625,1625,1750,1575,1575,1612.5,1600,1672.5,1725,1799,1795,1850,1995,1895,1850,1837,1849,1975,1900,1945,1895,1997.5,1998,1985,1995,1925,2042.5,1995,1995,2049,2022,2012.5,2095,2066.5,2067.5,1999,1900,1895,1975,1902.5,1906,2056.5,1995,1999.5,2095,2070,2090,2147.5,2100,2100
"Upper East Side","New York","NY","New York","New York",5,,,,,,,,,,,,,2295,2400,2500,2495,2500,2500,2575,2600,2600,2600,2550,2525,2550,2532,2560,2600,2600,2625,2650,2650,2700,2700,2750,2700,2695,2695,2699,2695,2695,2600,2675,2750,2795,2750,2750,2700,2700,2750,2750,2750,2950,2800,2800,2800,2800,2800,2850,2825,2895,2900,2900,2800,2895,2895,2950,2950,2895,2887.5,2875,2875,2899,2900,2900,2860,2800,2800,2800,2800,2800,2800,2750,2800,2850,2850,2835,2850,2850,2850,2850,2895
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",6,,,,,,,,,,,,,,,,,647.5,600,610.5,625,628,599,600,600,650,620,599,625,646,625,612.5,595,600,625,625,639,640,650,650,625,650,650,650,675,660,650,695,750,750,750,750,750,700,675,650,650,650,650,650,650,650,650,650,650,650,625,650,650,650,650,650,654.5,675.5,675,675,700,750,775,750,795,750,743,750,750,800,800,800,795,800,800,795,825
"East New York","New York","NY","New York","Kings",7,,,,,,,,,,,,,,,,1600,1600,1491.5,1470,1470,1450,1450,1500,1500,1483,1400,1450,1500,1500,1488,1460,1500,1500,1500,1500,1500,1500,1550,1550,1550,1550,1600,1545,1500,1500,1500,1500,1500,1545,1550,1550,1600,1700,1600,1600,1650,1650,1600,1600,1650,1695,1775,1724.5,1775,1749,1800,1800,1750,1700,1800,1800,1800,1850,1900,1895,1800,1800,1800,1900,1900,1800,1900,1995,1813,1956,2000,2000,2050,2000,2000,2000,1975
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1139,985,1002,1000,1050,1149,1100,1055,1100,1079,1069.5,1000,1165,1149,1150,1147,1100,1080,1097,1100,1090
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",9,,,,,,,,1050,997,995,1000,1000,990,980,995,1000,995,995,995,999.5,945,854,850,865,850,817.5,822.5,795,810,830,810,807.5,820,827,827,805,795,825,841,850,850,850,850,850,829,800,879,995,960,960,955,950,950,925,940,925,915,903,925,942,935,950,1000,995,976.5,1000,995,995,1000,952.5,1070,1090.5,1075,1042,1033,995,1033.5,975,995,996,975,995,947.5,1017,1025,1053.5,1095,1082,1139,1123.5,1070,1195
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,,,,,,,,,,,,,,700,775,795,799,777,779.5,700,700,675,695,701,725,725,725,739.5,750,783,750,727.5,747.5,746,778,786.5,788,777,799,752.5,770,788,795,797,799,795,795,800,796,795,797,783,800,829,825,857.5,880,885,891,879,859,840,890,861,889,868.5,900,990.5,910,900,884,929,909,900,895,926,969,940,954,897.5,905,956.5,945,942,959,954,985,959,938,948
