"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth","Dallas",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1245,1200,1250,1195,1200,1197.5,1150,995,995,995,1050,1100,1200,1276,1275.5,1295,1312.5,1350,1475,1350,1262.5,1250,1300,1497.5,1525,1495,1550,1500,1495,1350,1495,1530,1595,1600,1597.5,1590,1500,1500,1550,1550,1451.5,1400,1472.5,1500,1695,1675,1600,1672.5,1600,1600,1550,1697.5,1500,1625,1600,1600,1600,1700,1750,1800,1797,1800,1799,1750
"Paradise","Las Vegas","NV","Las Vegas","Clark",2,,,,,,,,,,,,,,,,,,1150,1200,1195,1167.5,1150,1195,1195,1195,1150,1195,1195,1195,1150,1150,1125,1100,1100,1095,1096.5,1100,1150,1150,1150,1195,1175,1195,1195,1195,1195,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1200,1235,1275,1250,1295,1295,1295,1300,1275,1275,1295,1295,1300,1300,1300,1300,1300,1250,1300,1277,1275,1295,1225,1275,1295,1317.5,1350,1306,1350,1375,1395,1395
"Maryvale","Phoenix","AZ","Phoenix","Maricopa",3,,,,,,895,950,895,875,875,899,850,850,850,850,850,850,850,850,850,850,830,800,825,825,850,850,875,888.5,875,895,895,895,875,875,850,850,850,850,850,850,850,850,865,850,875,850,850,850,850,872.5,877.5,895,887,900,895,895,895,900,899,898,900,915,922,925,931.5,935,925,925,947.5,950,950,975,975,975,965,990,995,950,990,960,964.5,950,995,999,1025,1049,1065,1083.5,1095,1095,1095
"Upper West Side","New York","NY","New York","New York",4,,,,,,,,,,,,,2800,3000,3095,3097.5,3200,3200,3375,3500,3425,3695,3695,3719,3555,3497.5,3450,3500,3550,3595,3600,3600,3596,3450,3395,3300,3255,3299,3200,3400.5,3450,3350,3250,3300,3295,3239,3250,3217,3135,3100,3130,3250,3200,3206,3300,3350,3350,3400,3400,3350,3295,3295,3295,3300,3350,3350,3400,3400,3350,3300,3385,3359,3350,3400,3350,3359,3354.5,3350,3400,3325,3350,3412.5,3350,3300,3300,3239,3239,3235,3217,3295,3300,3297.5
"Sherman Oaks","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4797.5,5200,5500,5500,5250,4500,4675,4600,4772.5,4695,4350,4322.5,4500,4795,4795,4750,4795,4995,5000,4875
"Upper East Side","New York","NY","New York","New York",6,,,,,,,,,,,,,,,,,,,,,,,,,,3095,3095,3095,2850,2835,2897.5,2937.5,2900,2850,2700,2650,2675,2795,2750,2950,2995,2950,2795,2795,2795,2850,2822.5,2850,2845,2847.5,2995,2995,3000,2895,3060,3000,3000,2995,2995,3000,2995,2995,2950,2995,2995,2995,2995,2995,2995,2995,2995,2995,2997.5,2995,3000,3000,2950,2972.5,2822.5,2850,2845,2950,2795,2850,2950,2872.5,2872.5,2950,2875,2950,2872.5,2847.5
"Sunrise Manor","Las Vegas","NV","Las Vegas","Clark",7,,,,,,,,,,,,950,950,950,925,950,995,950,950,950,922.5,900,900,900,900,900,947.5,950,900,900,925,950,925,900,900,900,900,920,950,949,945,945,950,950,925,950,945,950,950,950,950,995,975,950,950,960,985,995,995,990,1000,1000,1000,995,995,1000,1050,1000,1002.5,1000,1000,997,1025,1050,1050,1000,1050,1050,1050,1050,1050,1050,1050,1050,1050,1100,1100,1125,1145,1150,1100,1150
"Spring Valley","Las Vegas","NV","Las Vegas","Clark",8,,,,,,1150,1250,1295,1250,1295,1195,1275,1299,1295,1250,1300,1295,1295,1275,1250,1250,1250,1250,1200,1200,1200,1249,1200,1225,1200,1200,1200,1200,1200,1197,1200,1195,1197.5,1200,1200,1195,1195,1200,1200,1200,1250,1250,1250,1250,1250,1250,1250,1250,1250,1275,1275,1262.5,1275,1295,1300,1300,1300,1350,1325,1345,1320,1350,1325,1300,1325,1300,1320,1350,1380,1350,1325,1367.5,1300,1300,1300,1315,1337,1320,1350,1375,1450,1400,1395,1400,1475,1475,1450
"Paradise Valley","Phoenix","AZ","Phoenix","Maricopa",9,,1625,1662.5,1525,1750,1675,1575,1550,1450,1400,1400,1450,1395,1450,1395,1400,1422.5,1400,1395,1350,1300,1395,1395,1395,1395,1395,1350,1400,1400,1350,1345,1295,1295,1299,1295,1349,1300,1295,1350,1395,1375,1400,1350,1400,1444.5,1395,1445,1425,1400,1400,1449,1500,1500,1500,1500,1497.5,1500,1550,1600,1692.5,1700,1695,1600,1595,1595,1550,1500,1540,1550,1600,1700,1695,1650,1650,1650,1600,1595,1695,1600,1612.5,1495,1595,1550,1600,1695,1800,1850,1800,1795,1800,1750,1700
"Deer Valley","Phoenix","AZ","Phoenix","Maricopa",10,,,1150,1125,1172.5,1175,1149.5,1050,1049,1150,1185,1262.5,1200,1200,1200,1195,1195,1200,1195,1159.5,1100,1100,1150,1150,1147.5,1175,1195,1195,1185,1150,1197,1200,1200,1197,1195,1199,1200,1200,1195,1195,1195,1195,1150,1175,1150,1175,1195,1195,1195,1179,1195,1200,1250,1247.5,1250,1225,1235,1200,1200,1200,1250,1250,1250,1250,1250,1250,1275,1295,1295,1275,1295,1300,1295,1295,1275,1295,1295,1275,1295,1295,1295,1250,1295,1300,1365,1350,1395,1397,1400,1395,1375,1375
"Washington Heights","New York","NY","New York","New York",11,,,,,,,,,,,,,,,,,,,,,,1500,1500,1523,1525,1550,1600,1650,1597.5,1625,1575,1595,1595,1584,1562.5,1600,1600,1600,1650,1600,1700,1700,1675,1675,1675,1650,1695,1675,1675,1695,1700,1700,1687.5,1700,1700,1700,1700,1675,1675,1675,1700,1700,1700,1687.5,1675,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1700,1687.5,1700,1700,1675,1700,1700,1675,1700,1700,1700,1700,1700,1700,1700,1675,1675
"Astoria","New York","NY","New York","Queens",12,,,,,,,,,,,,,,,,,,,,,,1625,1750,1850,1850,1802.5,1800,1800,1800,1900,1975,2125,2200,2200,2200,2200,2200,2200,2200,2300,2400,2275,2300,2275,2395,2500,2350,2375,2385,2375,2275,2200,2235,2199,2210,2200,2300,2425,2400,2500,2472.5,2500,2400,2500,2500,2500,2400,2400,2300,2300,2300,2400,2500,2400,2325,2400,2425,2300,2500,2595,2350,2500,2400,2400,2272.5,2500,2500,2400,2300,2350,2497.5,2425
