"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,1782,0.00848896434634975,0.0253164556962025,0.0354445090063916,57050
2017-09-30,"Paradise","NV","Las Vegas","Clark","Las Vegas",1,1237,0.0032441200324412,0.0155993431855501,0.0291181364392679,61870
2017-09-30,"Maryvale","AZ","Phoenix","Maricopa","Phoenix",2,1083,0.0112044817927171,0.0353728489483748,0.0413461538461538,49156
2017-09-30,"Upper West Side","NY","New York","New York","New York",3,3895,0.00828371731814652,0.0296061326989162,-0.00281618023553507,71051
2017-09-30,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4,3628,0.00276395798783858,0.00526461623718482,0.0271800679501699,19605
2017-09-30,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",5,2415,0.00374064837905237,0.0172704296545914,0.110855565777369,34570
2017-09-30,"Upper East Side","NY","New York","New York","New York",6,3535,0.0011328235627301,0.0111556064073227,-0.00841514726507714,82606
2017-09-30,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",7,1135,0.00799289520426288,0.0225225225225225,0.0509259259259259,43549
2017-09-30,"East New York","NY","New York","Kings","New York",8,2200,0.00136549840691853,-0.00632339656729901,-0.00271985494106981,20236
2017-09-30,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",9,1261,0.00718849840255591,0.0152979066022544,0.0293877551020408,64681
2017-09-30,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",10,2333,-0.00213857998289136,0.00690548122572292,0.134727626459144,25505
2017-09-30,"Paradise Valley","AZ","Phoenix","Maricopa","Phoenix",11,1582,0.00317057704502219,0.0108626198083067,0.0401051939513478,60501
2017-09-30,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",12,1338,0.00299850074962519,0.0151745068285281,0.0404354587869362,53047
2017-09-30,"Washington Heights","NY","New York","New York","New York",13,2681,0.00336826347305389,0.0166856276071293,0.00789473684210526,14868
2017-09-30,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",14,2721,0.00368867576540022,0.0122767857142857,0.0453323088743757,13888
2017-09-30,"Astoria","NY","New York","Queens","New York",15,2304,-0.00130039011703511,0.00392156862745098,-0.012853470437018,26547
2017-09-30,"North Mountain","AZ","Phoenix","Maricopa","Phoenix",16,1237,0.00487408610885459,0.0206270627062706,0.0438818565400844,49662
2017-09-30,"Far North","TX","Dallas-Fort Worth","Dallas","Dallas",17,2255,0.00356030262572319,0.00624721106648818,0.0208239022181983,31372
2017-09-30,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",18,2900,0.00103555402140145,0.00869565217391304,0.023288637967537,11828
2017-09-30,"Williamsburg","NY","New York","Kings","New York",19,2949,-0.0016926201760325,-0.00203045685279188,0.0232477446217904,23863
2017-09-30,"Bedford Stuyvesant","NY","New York","Kings","New York",20,2485,0.00444624090541633,0.00893219650832318,0.00893219650832318,26320
2017-09-30,"East Side","TX","El Paso","El Paso","El Paso",21,1018,0.00394477317554241,0.0139442231075697,-0.00391389432485323,39741
2017-09-30,"Camelback East","AZ","Phoenix","Maricopa","Phoenix",22,1434,0.00209643605870021,0.00843881856540084,0.0413943355119826,48124
2017-09-30,"Alhambra","AZ","Phoenix","Maricopa","Phoenix",23,1166,0.00690846286701209,0.0246045694200351,0.0466786355475763,34383
2017-09-30,"Flatbush","NY","New York","Kings","New York",24,2190,0.0101476014760148,0.0152990264255911,0.0101476014760148,15017
2017-09-30,"Crown Heights","NY","New York","Kings","New York",25,2394,0.00672834314550042,0.00970054829185998,-0.00540091400083091,16425
2017-09-30,"Southeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",26,1174,0.00772532188841202,0.023539668700959,0.0800367985280589,30648
2017-09-30,"Jamaica","NY","New York","Queens","New York",27,2173,0,0.00741770978210477,0.00555298472929199,22464
