"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,1865,0.00430802369413032,0.0180131004366812,0.0247252747252747,52251
2017-09-30,"Paradise","NV","Las Vegas","Clark","Las Vegas",1,1250,0.00563153660498793,0.00969305331179321,0.0237510237510237,57470
2017-09-30,"Maryvale","AZ","Phoenix","Maricopa","Phoenix",2,1082,0.0102707749766573,0.0354066985645933,0.041385948026949,47687
2017-09-30,"Upper West Side","NY","New York","New York","New York",3,4213,0.0127403846153846,0.0376847290640394,0.0384520581710624,39067
2017-09-30,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4,3822,0.00420388859695218,0.00924214417744917,0.0205607476635514,17194
2017-09-30,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",5,2459,0.00613747954173486,0.0254378648874062,0.111161319475825,22323
2017-09-30,"Upper East Side","NY","New York","New York","New York",6,4073,0.012680258577822,0.0392957387088543,0.0306174089068826,39468
2017-09-30,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",7,1138,0.00707964601769911,0.0197132616487455,0.0507848568790397,40751
2017-09-30,"East New York","NY","New York","Kings","New York",8,2215,0.00453514739229025,-0.00850492390331244,0.0183908045977011,5601
2017-09-30,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",9,1264,0.00797448165869218,0.0152610441767068,0.0318367346938776,61719
2017-09-30,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",10,2397,-0.000417014178482068,0.0161085205595591,0.158530691155147,13669
2017-09-30,"Paradise Valley","AZ","Phoenix","Maricopa","Phoenix",11,1620,0.00433973961562306,0.0137672090112641,0.0458360232408005,57869
2017-09-30,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",12,1339,0.00224550898203593,0.0136260408781226,0.0395962732919255,51392
2017-09-30,"Washington Heights","NY","New York","New York","New York",13,2884,0.00698324022346369,0.0285306704707561,0.0270655270655271,4265
2017-09-30,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",14,2755,0.00181818181818182,0.00841874084919473,0.0400151000377501,11508
2017-09-30,"Astoria","NY","New York","Queens","New York",15,2325,0.00086095566078347,0.00823937554206418,0,5131
2017-09-30,"North Mountain","AZ","Phoenix","Maricopa","Phoenix",16,1242,0.00404203718674212,0.0205423171733772,0.0445752733389403,46817
2017-09-30,"Far North","TX","Dallas-Fort Worth","Dallas","Dallas",17,2305,-0.000433651344319167,-0.00216450216450216,0.00919439579684764,28901
2017-09-30,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",18,3122,0.00128287363694676,0.000641025641025641,-0.00888888888888889,5515
2017-09-30,"Williamsburg","NY","New York","Kings","New York",19,3070,-0.00227494312642184,-0.00615085788280997,0.0517300445357999,8629
2017-09-30,"Bedford Stuyvesant","NY","New York","Kings","New York",20,2724,0.00257637099742363,0.0141474311243485,0.0318181818181818,3566
2017-09-30,"East Side","TX","El Paso","El Paso","El Paso",21,1027,0.000974658869395711,0.0128205128205128,-0.000972762645914397,36839
2017-09-30,"Camelback East","AZ","Phoenix","Maricopa","Phoenix",22,1486,0.00269905533063428,0.0129516019086571,0.0486944248412138,43546
2017-09-30,"Alhambra","AZ","Phoenix","Maricopa","Phoenix",23,1167,0.0077720207253886,0.0245829675153644,0.0475763016157989,32037
2017-09-30,"Flatbush","NY","New York","Kings","New York",24,2322,0.00563014291901256,0.00129366106080207,0.0297117516629712,4448
2017-09-30,"Crown Heights","NY","New York","Kings","New York",25,2516,0.00278995615783181,0.00882117080994387,0.0124748490945674,2853
2017-09-30,"Southeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",26,1176,0.00598802395209581,0.0226086956521739,0.0798898071625344,29711
2017-09-30,"Jamaica","NY","New York","Queens","New York",27,2236,0,0.0149795733091239,0.026158788435062,9789
2017-09-30,"Harlem","NY","New York","New York","New York",28,3268,0.00245398773006135,0.0130192188468692,0.0120780427376897,5844
2017-09-30,"Roosevelt","CA","Fresno","Fresno","Fresno",29,1169,0.0138768430182134,0.0317740511915269,0.0656335460346399,24706
2017-09-30,"Williamsbridge","NY","New York","Bronx","New York",30,1839,0.017146017699115,0.0478632478632479,0.0285234899328859,2668
2017-09-30,"East Harlem","NY","New York","New York","New York",31,3248,0.00432900432900433,0.0169067000626174,0.0118380062305296,3013
2017-09-30,"Bushwick","NY","New York","Kings","New York",32,2452,-0.00608025942440211,-0.0120870265914585,-0.00969305331179321,896
2017-09-30,"North Scottsdale","AZ","Phoenix","Maricopa","Scottsdale",33,2650,-0.00150715900527506,-0.00150715900527506,0.0168841135840368,57418
2017-09-30,"East Flatbush","NY","New York","Kings","New York",34,2229,0.00677506775067751,-0.00668449197860963,0.0136425648021828,5527
2017-09-30,"Enterprise","NV","Las Vegas","Clark","Las Vegas",35,1348,0.00372300819061802,0.00747384155455904,0.0425367362722351,50105
2017-09-30,"East San Jose","CA","San Jose","Santa Clara","San Jose",36,3191,0.00440667296191375,0.0101297879075657,0.0310177705977383,19729
2017-09-30,"South Mountain","AZ","Phoenix","Maricopa","Phoenix",37,1180,0.00596760443307758,0.0207612456747405,0.0350877192982456,30197
2017-09-30,"East Memphis-Colonial-Yorkshire","TN","Memphis","Shelby","Memphis",38,946,0,0,0.0150214592274678,38951
2017-09-30,"Corona","NY","New York","Queens","New York",39,2155,-0.00369856680536292,-0.00965073529411765,-0.0388046387154326,2597
2017-09-30,"Sunset Park","NY","New York","Kings","New York",40,2229,0.00360198108959928,0.00586642599277978,-0.00134408602150538,1661
2017-09-30,"South Side","TX","Corpus Christi","Nueces","Corpus Christi",41,1526,0.00131233595800525,-0.0045662100456621,-0.0230473751600512,28688
2017-09-30,"North Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",42,2718,0.00554938956714761,0.0126676602086438,0.0210368144252442,8199
2017-09-30,"Alief","TX","Houston","Harris","Houston",43,1287,-0.00232558139534884,-0.01076095311299,-0.0198019801980198,21330
2017-09-30,"Borough Park","NY","New York","Kings","New York",44,2455,0.00122349102773246,0.000407497962510187,0.046908315565032,3222
2017-09-30,"Elmhurst","NY","New York","Queens","New York",45,2150,-0.00232018561484919,-0.00875979714153988,-0.0315315315315315,5955
2017-09-30,"Bullard","CA","Fresno","Fresno","Fresno",46,1448,0.00277008310249307,0.00905923344947735,0.0394831299353912,29402
2017-09-30,"Mid City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",47,3374,0.000593119810201661,-0.000888362451880367,0.0510903426791277,9982
2017-09-30,"Bensonhurst","NY","New York","Kings","New York",48,2396,0.0092670598146588,0.0226205719163466,0.0462882096069869,3512
2017-09-30,"Central City","TX","Corpus Christi","Nueces","Corpus Christi",49,1079,0.000927643784786642,0.000927643784786642,-0.0442869796279894,26532
2017-09-30,"Northeast","TX","El Paso","El Paso","El Paso",50,898,-0.00111234705228031,-0.00443458980044346,-0.0260303687635575,24184
2017-09-30,"Southwest Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",51,1362,0.00590841949778434,0.0164179104477612,0.0607476635514019,20937
