"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"Northeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",0,1266,0.00396510705789056,0.0144230769230769,0.0301057770545159,10927
2017-09-30,"Maryvale","AZ","Phoenix","Maricopa","Phoenix",1,924,0.00873362445414847,0.0289532293986637,0.0596330275229358,4737
2017-09-30,"Upper West Side","NY","New York","New York","New York",2,3883,0.00804776739356179,0.0286092715231788,-0.00231243576567318,67705
2017-09-30,"Sherman Oaks","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",3,2621,0.00421455938697318,0.0158914728682171,0.0404922588328702,7124
2017-09-30,"South Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",4,2257,0.000443262411347518,0.000886917960088692,0.0835333653384542,10726
2017-09-30,"Upper East Side","NY","New York","New York","New York",5,3521,0.000852757248436612,0.0100401606425703,-0.00956399437412096,78367
2017-09-30,"Sunrise Manor","NV","Las Vegas","Clark","Las Vegas",6,819,0.0111111111111111,0.0250312891113892,0.0406607369758577,7463
2017-09-30,"East New York","NY","New York","Kings","New York",7,2189,0.00228937728937729,-0.0045475216007276,-0.00545206724216265,15613
2017-09-30,"Spring Valley","NV","Las Vegas","Clark","Las Vegas",8,914,0.0110619469026549,0.0189520624303233,0.0351075877689694,22356
2017-09-30,"Southeast Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",9,2228,0,0.00450856627592426,0.0969965534219596,10441
2017-09-30,"Paradise Valley","AZ","Phoenix","Maricopa","Phoenix",10,1206,0.00332778702163062,0.00920502092050209,0.0185810810810811,11291
2017-09-30,"Deer Valley","AZ","Phoenix","Maricopa","Phoenix",11,1111,0.00725294650951949,0.0173992673992674,0.0662188099808061,5250
2017-09-30,"Washington Heights","NY","New York","New York","New York",12,2657,0.00150772710139465,0.0145093547155403,0.00415721844293273,14090
2017-09-30,"Van Nuys","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",13,2247,0.00357302367128182,0.019047619047619,0.0624113475177305,4309
2017-09-30,"Astoria","NY","New York","Queens","New York",14,2290,-0.00087260034904014,0.00526777875329236,-0.0175890175890176,23777
2017-09-30,"North Mountain","AZ","Phoenix","Maricopa","Phoenix",15,1103,0.00546946216955333,0.0203515263644773,0.0595581171950048,10871
2017-09-30,"Far North","TX","Dallas-Fort Worth","Dallas","Dallas",16,1371,0.00292611558156547,0.00219298245614035,0.0261976047904192,8906
2017-09-30,"Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",17,2776,-0.00215672178289001,-0.00107952500899604,0.0270070292267851,8548
2017-09-30,"Williamsburg","NY","New York","Kings","New York",18,2947,-0.00203183203521842,-0.0023696682464455,0.0225537820957668,22839
2017-09-30,"Bedford Stuyvesant","NY","New York","Kings","New York",19,2483,0.00444983818770227,0.00812017864393017,0.00852965069049553,24309
2017-09-30,"East Side","TX","El Paso","El Paso","El Paso",20,872,0.00460829493087558,0.0104287369640788,-0.021324354657688,2913
2017-09-30,"Camelback East","AZ","Phoenix","Maricopa","Phoenix",21,1188,0.00253164556962025,0.0102040816326531,0.0179948586118252,19990
2017-09-30,"Alhambra","AZ","Phoenix","Maricopa","Phoenix",22,1042,0.00676328502415459,0.0276134122287968,0.0525252525252525,9172
2017-09-30,"Flatbush","NY","New York","Kings","New York",23,2151,0.0103334899013621,0.0184659090909091,0.0122352941176471,12438
2017-09-30,"Crown Heights","NY","New York","Kings","New York",24,2382,0.00718816067653277,0.0106067034365719,-0.00667222685571309,14652
2017-09-30,"Southeast Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",25,1021,0.0149105367793241,0.0281973816717019,0.0804232804232804,1183
2017-09-30,"Jamaica","NY","New York","Queens","New York",26,2125,0.000942063118228921,0.0056791292001893,0.0056791292001893,10918
2017-09-30,"Harlem","NY","New York","New York","New York",27,3008,0.00367033700367034,0.0134770889487871,0.00703046534984935,15112
2017-09-30,"Roosevelt","CA","Fresno","Fresno","Fresno",28,806,0.0100250626566416,0.0151133501259446,0.0280612244897959,2493
2017-09-30,"Williamsbridge","NY","New York","Bronx","New York",29,1791,-0.00278396436525612,0.00674536256323777,0.0158820192853091,9074
2017-09-30,"East Harlem","NY","New York","New York","New York",30,3006,0.00066577896138482,0.0100806451612903,0.0117805452709525,9278
2017-09-30,"Bushwick","NY","New York","Kings","New York",31,2461,0.00162800162800163,0.00244399185336049,-0.00485240598463405,14291
2017-09-30,"North Scottsdale","AZ","Phoenix","Maricopa","Scottsdale",32,1460,-0.000684462696783025,-0.00409276944065484,0.00412654745529574,19250
2017-09-30,"East Flatbush","NY","New York","Kings","New York",33,2135,0.00897920604914934,0.00850259801606046,0.040448343079922,10521
2017-09-30,"Enterprise","NV","Las Vegas","Clark","Las Vegas",34,1122,0.0117222723174031,0.0218579234972678,0.0126353790613718,8524
2017-09-30,"East San Jose","CA","San Jose","Santa Clara","San Jose",35,2652,0.0091324200913242,0.0295031055900621,0.0153139356814701,2495
2017-09-30,"South Mountain","AZ","Phoenix","Maricopa","Phoenix",36,1140,0.00617828773168579,0.021505376344086,0.0187667560321716,3776
2017-09-30,"East Memphis-Colonial-Yorkshire","TN","Memphis","Shelby","Memphis",37,969,-0.00205973223480947,-0.00205973223480947,-0.00308641975308642,5210
2017-09-30,"Corona","NY","New York","Queens","New York",38,2303,-0.0013009540329575,0.0109745390693591,0.0194776449756529,8868
2017-09-30,"Sunset Park","NY","New York","Kings","New York",39,2264,-0.00088261253309797,-0.00395952485701716,0.0120697362539115,8854
2017-09-30,"South Side","TX","Corpus Christi","Nueces","Corpus Christi",40,1216,-0.00977198697068404,-0.012987012987013,-0.0264211369095276,2143
2017-09-30,"North Hollywood","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",41,2570,0.000389256520046711,0.01220953131154,0.0379644588045234,4910
2017-09-30,"Alief","TX","Houston","Harris","Houston",42,1049,-0.00190294957183635,-0.00944287063267233,0.0135265700483092,3350
2017-09-30,"Borough Park","NY","New York","Kings","New York",43,2275,0.00132042253521127,-0.00698384984722828,0.00663716814159292,8881
2017-09-30,"Elmhurst","NY","New York","Queens","New York",44,2184,-0.00182815356489945,-0.00319488817891374,-0.021505376344086,10907
2017-09-30,"Bullard","CA","Fresno","Fresno","Fresno",45,1236,0.0114566284779051,0.0377833753148615,0.10455764075067,3724
2017-09-30,"Mid City","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",46,2811,-0.00248403122782115,0.000355871886120996,0.0236707938820102,8063
2017-09-30,"Bensonhurst","NY","New York","Kings","New York",47,2176,-0.00229252636405319,-0.0127041742286751,0.00740740740740741,10523
2017-09-30,"Central City","TX","Corpus Christi","Nueces","Corpus Christi",48,1178,-0.0175145954962469,-0.024026512013256,-0.103500761035008,1718
2017-09-30,"Northeast","TX","El Paso","El Paso","El Paso",49,780,0.00645161290322581,0,-0.0464547677261614,1162
2017-09-30,"Southwest Dallas","TX","Dallas-Fort Worth","Dallas","Dallas",50,1122,-0.00177935943060498,0.0284142988084326,0.129909365558912,850
2017-09-30,"Koreatown","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",51,2563,0.00156311059007425,0.00667714061272584,0.0368122977346278,3808
2017-09-30,"Westlake","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",52,2537,0.00118389897395422,0.0119664938173115,0.0754557015684612,3114
2017-09-30,"West San Jose","CA","San Jose","Santa Clara","San Jose",53,3120,0.00289296046287367,0.00840336134453781,-0.00351325455126158,6396
