"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"California","State","California","All Homes",138708,137713,138143,138155,136449,135985,136663,138025,141164,144835,148133,150247,150875,154432,159536,159590,156807,156109,156461,154339,150068,146805,144718,141254,136086,128895,118742,109570,103525,97322,90434,85130,80819,76398,73229,71941,71672,71196,70074,69091,67959,65773,64689,66192,68056,69151,70193,71419,72526,73982,76391,79332,81962,84017,84662,84060,84148,84714,83943,82222,80661,78654,77212,77788,79097,79776,79839,79589,79052,77996,76235,73541,71175,71040,72789,74769,76055,77840,79947,79684,77238,74552,71997,70078,69034,67694,65779,64487,63707,61920,59521,58212,57874
"Texas","State","Texas","All Homes",159773,160666,163144,163828,160691,158520,160405,165176,168704,168733,169550,171116,171475,170932,171009,172444,173568,175461,172626,161769,153306,151076,149454,146192,142590,139444,135057,130481,128430,126161,122439,120057,118921,117412,115465,113937,113425,113871,114238,113710,112187,109005,106295,105592,104605,102924,101564,100527,99518,98607,98157,98190,98012,97527,97376,97645,97726,97134,96044,95120,94502,93481,91750,90291,89433,88383,88584,90235,91571,92135,91884,90955,89252,88080,88268,88270,88250,89362,90871,91952,92771,93291,93306,93702,94559,94379,93289,92965,93981,95368,97337,99225,98995
"New York","State","New York","All Homes",97981,99407,101397,99444,94810,92468,90997,89631,90019,91349,93189,95123,96089,97022,99988,104739,108887,112469,116943,119696,118964,118523,119646,119304,117040,114950,112336,109302,107664,105334,101793,99365,98316,96805,94129,92116,91787,91975,91414,89759,87201,84489,82663,81936,81645,81568,81741,81841,81865,81542,80767,80730,81415,82203,82976,83397,83353,82688,81559,80642,80231,79549,79365,80758,82896,84733,85254,84481,83382,82399,81112,79471,78133,77284,77037,76981,76263,75215,74106,73061,72640,72318,71964,72312,72450,71051,68173,65341,63636,62329,61292,60892,60901
"Florida","State","Florida","All Homes",232783,231900,237499,242383,242732,244476,246273,248171,252745,256098,258284,260598,260196,259715,259981,255892,248827,248834,253082,250229,243732,240395,236755,229167,222015,215124,202635,189969,184243,179712,174355,171330,167450,162130,157648,154189,153610,156295,157978,156218,153069,148102,142431,141313,143855,146916,150105,152236,152547,153095,156373,161231,164865,166176,165055,163033,161532,159465,156748,155096,153987,148907,141463,140123,142326,142241,142467,143035,141639,138801,136626,135568,134566,135463,139557,143986,145864,145924,146131,146164,144865,142510,140677,140942,142623,143115,142269,141031,139266,137599,136223,134331,131476
"Illinois","State","Illinois","All Homes",83269,84458,86413,86809,85221,84748,85308,84966,84367,83989,84753,86605,87688,88898,90553,90559,89533,89173,89386,89304,88936,88698,88053,86866,85529,83486,80850,78998,78129,76767,74323,70796,66512,63823,62820,62027,61849,61635,60671,59763,58263,55715,54272,54754,55710,56224,56407,56554,56437,55907,55402,55847,57552,59247,60136,60884,61810,62146,61602,61044,60846,60696,60817,61381,62065,62294,61856,61582,61894,62011,61215,59842,58646,57896,57563,57481,57563,58222,58797,58426,58084,58058,57862,57343,56524,55697,54703,53481,52459,51840,51634,52198,53149
"Pennsylvania","State","Pennsylvania","All Homes",66785,68532,71994,73535,72010,70782,70837,71608,72794,73713,75148,77059,78226,79323,80608,81072,81086,82399,84440,84303,82664,81709,81013,79948,78684,77280,75288,72925,71415,69849,67307,65842,65815,65751,65152,64745,65628,66792,67129,67197,67109,66350,65418,65185,65297,65349,65592,65897,65540,64336,64103,66108,67941,68203,68334,68536,68236,67696,67115,66499,65758,64691,63017,61766,62454,64095,65136,65157,64721,64242,63403,62443,61871,61754,61873,61602,60690,59834,59159,58447,57822,57399,57055,56812,56688,55973,54415,52889,51811,50851,50179,49998,50111
"Ohio","State","Ohio","All Homes",56817,58141,61580,65458,66532,66169,66495,66972,67249,67036,67413,68309,68421,70085,73113,73637,72337,71604,71059,69832,68657,68087,67172,65928,65188,64110,62043,59965,58673,57564,56143,54900,54130,53998,54020,54028,54834,55743,55599,55157,55050,54546,53519,52790,52517,52362,52420,52639,52251,50982,50039,50426,51211,51654,52151,52449,52335,52029,51524,51148,50947,50136,48841,48248,48920,49965,50295,50053,49835,49709,49259,48552,47899,46977,45757,44697,44078,43824,44078,44784,44923,44228,43393,43052,42993,42362,41081,39569,38121,37154,36785,36711,36791
"Michigan","State","Michigan","All Homes",84310,85359,86423,85288,82290,80591,80160,78922,78184,78821,79554,80102,80704,81070,81270,80966,79718,78516,77650,76188,74688,74039,73278,72022,71015,70094,68848,67764,67281,66398,64607,62929,61800,60799,59938,59422,59108,58972,58885,58868,58464,56593,54633,54333,54695,55026,55598,55951,55488,54576,53946,54160,55485,57439,58875,59336,58925,57997,57504,57302,56648,55593,54749,54501,54712,55168,56015,57022,57224,56342,54957,53608,52442,51615,51231,50893,50502,50449,50307,49766,49273,48704,47756,46818,46344,45789,44631,43524,42631,41507,40517,39930,39582
"Georgia","State","Georgia","All Homes",93684,93860,94603,95112,94500,94485,94597,93841,94161,95071,95676,96254,96622,98509,101170,101509,99799,98447,97928,96421,91342,87377,89221,89561,86957,84666,80872,76467,73400,70534,66380,62026,59204,57424,55665,54824,54850,54546,53847,53294,52797,51602,51302,53200,55649,56990,56609,55998,55913,55517,55160,55622,56659,57501,58016,58424,59272,59825,59148,58765,58720,58461,59403,61006,61696,62190,63116,63626,63987,63676,61702,59635,58051,56575,55734,55930,57168,58319,58455,58084,58095,57998,57021,56258,56019,55072,53294,51651,50583,49964,49730,49594,49292
"North Carolina","State","North Carolina","All Homes",90531,91331,92744,93735,93512,93481,92985,92445,93537,94482,94702,95081,95349,96258,98560,100204,100424,101120,102040,100838,97885,96300,95928,94826,93562,92703,90972,88506,86534,83750,79860,77618,77720,78083,77868,77529,77525,77758,77918,78154,77925,76746,75897,76002,76226,76511,76646,76293,75513,74267,73702,74591,75513,75872,76070,75715,74428,72705,71278,70180,69016,67867,65560,62452,61330,61509,62085,62670,62400,61534,60683,60356,60098,59371,58934,59247,59303,59258,59233,58664,57977,57228,56194,55563,55234,54034,52250,50471,48759,47967,47959,47993,48009
