"RegionName","RegionType","StateFullName","DataTypeDescription","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"California","State","California","All Homes",132184,130330,135450,136714,133184,137400,140883,142678,146646,150326,151136,148532,141476,146420,159842,156466,154597,156527,162392,160583,155466,151144,149044,138304,127562,124431,114572,104896,102556,99416,94320,90755,87442,81004,76463,67992,62867,64685,65690,65496,67195,67876,68086,73620,74114,75351,73070,68404,62308,66838,70782,76134,80589,86960,90896,90501,90772,90947,88237,77384,71557,70800,71106,73653,78518,82401,85805,86760,86302,84038,80222,69632,59916,62972,66771,71312,74928,80017,87070,87798,84116,80827,75531,65309,58976,59922,59616,59878,63490,65104,65128,65508,65382
"Texas","State","Texas","All Homes",149251,152864,160506,166115,161844,161656,168769,169851,177344,166922,170109,165296,160818,164966,165605,174827,173204,181330,185546,165444,156095,152752,149614,140494,131432,133021,132747,128253,130817,131784,129630,126128,124284,118847,115339,107665,102747,106562,111568,112580,114673,113826,112604,113610,109379,105008,101052,95356,88466,91862,93754,97388,99193,102290,104708,105209,103055,99479,96178,89232,84330,86424,88177,87829,91476,92222,95342,98654,96484,95382,91636,86286,78451,80306,84547,86706,88420,93944,98187,100159,98037,96334,93420,87878,84728,87512,88959,90420,94851,99790,103638,109113,104094
"New York","State","New York","All Homes",87151,89492,98435,100370,93968,98896,97557,95350,95508,95040,93311,90769,85386,87556,94312,104400,110776,117491,123712,128437,123696,121675,120840,115048,106046,105717,108803,106120,110651,111060,108318,105290,104348,101283,94440,86374,81192,83284,86364,88584,88863,90076,88898,88870,87360,85684,82308,77034,71113,73280,74412,78693,83292,87656,90297,89952,90032,86706,82628,74929,70386,70568,72696,78886,84238,91175,92240,91478,89266,86940,82004,74301,67754,68414,70785,75310,77782,80887,81064,79389,78864,76999,72207,67388,62830,62574,62479,62100,65710,67632,68100,67325,67300
"Florida","State","Florida","All Homes",238136,231816,247868,244894,236317,240037,243486,240636,250353,255770,259040,267836,259986,266278,268052,259542,240974,241346,254446,245106,239022,237986,242860,231314,222814,223995,211136,185844,181730,176134,168489,167860,164304,159730,160903,156664,153344,163252,166352,156679,149906,146018,135553,136696,139729,145361,152652,156329,153080,159114,161916,162625,162737,163479,161619,158170,157808,158075,158532,157243,155578,158440,143850,139664,142936,137258,139186,139394,137942,136844,137848,138827,134355,141150,145462,145757,145046,142300,142652,142450,140931,140472,142021,142478,143780,150516,147572,142694,137502,134861,132463,131072,126820
"Illinois","State","Illinois","All Homes",74954,77768,84044,87638,85884,87963,91653,90294,88539,85721,83714,82726,79832,81530,89155,89728,91122,92438,95142,95181,92796,91002,88214,82000,77968,77307,77559,77848,79773,81218,79321,77866,69458,65786,63074,57038,53952,55630,57084,58660,60549,58885,58915,60818,60188,59059,56387,52212,48774,49215,51714,53611,59180,63272,65487,66686,66718,65338,61882,56361,53213,53826,56960,59641,63422,66405,66947,67414,66767,65360,61804,55331,50742,51019,53626,55604,58668,61554,64910,64001,63162,61232,58377,53242,48497,49085,50758,51498,53396,55562,56542,58061,58616
"Pennsylvania","State","Pennsylvania","All Homes",58768,60800,68464,73726,71546,74130,75410,76039,77702,77098,76118,74918,70454,72286,76910,79411,81440,84809,90679,89368,86746,85373,82714,77048,71228,70527,71408,70494,71748,74272,71306,70263,70698,69420,67078,61012,58348,60503,62466,64962,67793,70086,69680,70286,69927,69246,66980,63410,58488,57877,57851,63920,69088,71454,73090,73887,72972,71657,68855,63569,58818,58108,58536,57667,63131,67453,70514,70198,69477,68452,65156,59483,54609,55270,56737,59228,60751,63390,63882,63567,62600,61412,58938,53710,49942,49738,49338,49520,52456,54034,54918,54955,55078
"Ohio","State","Ohio","All Homes",48882,51050,56992,66426,67624,68703,71706,71390,72253,69526,67694,66208,60576,62012,71394,72522,73144,74263,76503,74375,73016,70888,68706,62120,58510,57715,58380,58278,59332,60938,60490,59944,58264,56974,55262,50630,47937,50102,51568,53272,55463,57802,57664,57776,57042,55582,53328,50062,46221,45035,45292,48232,51469,54112,56588,57682,56986,55486,52822,48117,45164,44503,44408,45507,48451,53064,54467,55302,54352,53420,50642,45769,42026,41500,41265,42206,43344,46569,47524,50574,49743,48002,44485,40309,37381,36957,36696,36980,37431,39396,40835,41843,41686
"Michigan","State","Michigan","All Homes",77498,78876,82109,82419,80198,82147,86660,85128,83980,82640,81134,76988,74698,74501,76143,77532,78116,80678,83404,83259,80456,78102,75005,68904,64763,63600,63622,63218,65946,69390,69752,69936,68222,64973,61052,56927,52440,52427,53048,54382,57431,59586,58789,62162,61242,59443,56842,53980,48847,47879,47351,49202,53412,60414,64587,67007,66559,61939,59154,54832,50353,48574,48190,49459,52836,57874,61034,65262,64654,61164,56396,51198,45743,44576,44610,46020,48324,53195,55926,57388,56788,53424,49570,44014,39878,39063,37991,38016,41116,43903,45879,47683,47138
"Georgia","State","Georgia","All Homes",88370,90622,93469,97598,95186,97483,98816,95056,95212,93633,95367,95711,90314,94688,101553,102982,101354,100692,102028,98868,95057,79504,93733,87652,81326,81909,80284,76458,74951,74190,69792,63853,60202,56447,55767,52950,49946,50829,52579,53439,54624,54765,53069,56599,56886,57447,56779,54482,50767,51774,52965,55528,57948,60720,61176,61376,60766,60613,59207,57252,53974,53776,57118,61388,62811,64794,66714,66675,65790,64840,61956,58174,52986,52152,53419,54960,58286,61687,61773,61062,60122,58901,57569,54536,51182,51183,50809,50844,51529,52706,52998,52783,51752
"North Carolina","State","North Carolina","All Homes",82174,86258,90050,95810,94577,98945,97246,94475,96644,96211,94218,91933,87610,89995,96862,101400,101961,105809,106426,105489,99312,97621,96281,91484,85614,87478,89674,87622,89416,88702,83462,79852,81016,79617,78072,73945,70109,72410,75708,77772,80545,80834,79316,80018,78914,78449,76840,73132,68539,68910,70516,74165,77566,79708,80289,79714,77907,74286,71505,66861,62339,61994,65078,59055,64048,64472,66344,66802,65781,63780,60324,57590,53058,54528,55441,58960,60441,63026,63360,62704,61212,59747,56077,52374,48770,49079,49331,49668,49632,51360,52070,51844,51754
