"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,289900,286990,280000,285000,299000,305000,310000,316500,319000,315000,310000,309000,299900,289900,296000,3e+05,314900,319000,325000,329000,329000,335000,339000,335900,329900,325000,325000,330000,339900,349000,350000,355000,359900,359900,364900,364000,358650,349000,349000,358000,369000,378000,380000,384000,385000,385000,389000
"Texas",2,105000,106000,109900,109900,109000,108000,109000,106000,119000,114900,112000,109000,105000,109000,109000,109000,110000,112000,109900,107000,99900,89000,103900,1e+05,99900,105000,105000,105000,105000,105000,105000,105000,99900,101515,110000,114000,114500,117500,119900,119900,120000,121900,123500,120500,123000,125000,120000,119900,116900,119900,124900,127000,130000,129900,129500,130000,132000,129900,129900,132000,135000,139900,142500,149900,150000,154000,157000,159000,160000,161000,159900,160000,162500,165000,169900,171500,175900,179000,179000,179900,179900,179995,179900,179900,178000,180000,189700,195000,198000,199000,195000,193245,187000
"New York",3,249000,244990,250000,249000,249900,249000,244900,235000,239000,239000,235000,230000,229900,219900,235000,229000,225000,224000,224000,219999,219000,214900,215000,214900,213000,215000,219000,222000,220950,219000,211500,209900,212000,212000,225000,225000,227500,229000,229000,225000,219900,209000,199900,199900,199900,199000,212000,214900,218900,220000,220000,218000,219000,227900,215000,219000,219900,219999,219000,219000,225000,221000,219997,218000,217000,217000,215000,210000,210000,215000,218000,219700,235000,235500,224900,239000,225000,225000,216857,215000,217250,219400,224900,225000,229900,235000,239000,238000,232000,229000,227000,220000,224000
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129900,129900,129900,130000,130000,134900,134900,129999,134900,135000,138000,139500,139900,139900,140000,145000,142500,140000,145500,145500,148500,152000,156900,159000,165000,168900,169000,169990,171000,174900,174900,174900,174900,174900,179000,179900,179900,183500,188000,189000,189900,192900,197000,195900,198000,199000,199900
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1e+05,1e+05,102500,105000,109900,112900,115000,114900,114900,115000,114900,109900,109900,107250,114900,119900,125000,129000,129900,129900,128700,126000,124900,120000,119125,119900,123000,129900,134900,139900,139900,139900,137500,135900,133000,129900,129900,129000,130000,135000,139900,144000,142900,140000,139900,139900,138000,134900,130000,129900,135000,140000,145000,149900,152000,150000,149900,149900
"Pennsylvania",6,129900,130000,137797,137900,137800,136900,137900,134900,137300,135000,132900,129900,129900,129900,129900,129000,129000,128900,129000,125000,123900,120000,124900,120000,121500,122000,122920,122500,123900,121000,124900,119900,119900,119900,124900,124900,124900,124900,125000,129000,129500,129900,127000,125000,125000,124900,124900,124900,124900,124900,128700,129900,129900,129900,129000,125000,124900,124900,124500,120000,120000,124900,127900,129500,129500,129900,128500,125000,125000,124900,124500,120000,119900,120000,125000,127900,129000,127900,125000,124900,124900,124900,124800,120000,122500,124995,129900,130000,135000,135000,135000,135000,134900
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79900,79500,79900,79900,80000,84200,84500,83900,80000,80000,81900,79900,79900,79900,79900,82500,84900,85000,86450,85000,84900,84000,82000,79900,79500,79900,79900,80000,84500,84900,84900,84900,84900,84900,82500,80000,79900,79900,79900,84500,85900,89000,87900,87900,85000,85000,85900,85000,83000,83000,84900,89000,89900,92900,93000,92500,93500,92900
"Michigan",8,84900,83900,83000,84900,79900,79900,79000,79000,84900,82900,79900,75000,73900,73900,70000,74500,75000,76900,75000,75000,74900,70000,70000,69900,65900,65000,69000,69900,70000,70900,72550,70000,70000,72500,84900,84500,84900,83900,85000,89900,93700,98500,98000,98900,99900,99000,94900,94900,92900,95000,98000,99900,109000,109000,106999.5,109000,109900,103700,99000,94900,99000,1e+05,109000,114800,115000,115000,116900,115000,114500,112000,112500,110000,110000,110000,115000,119000,119990,120000,119900,120000,120000,122694,124000,120000,122500,124900,125900,130000,130000,134900,131050,132500,133000
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110000,109900,114000,114000,115000,118500,119500,120000,119900,120000,119999,119900,113500,110000,116000,116000,121700,120000,123999,120000,122900,122000,120000,118000,115900,118500,119925,124990,125000,127580,127950,125000,126250,125000,125000,124999,124500,120000,125000,129900,132000,135000,135000,138900,137500,138000,139900,139000,135000,139000,142000,149000,150000,155000,155000,159900,160000,164900
"North Carolina",10,124900,124900,124900,125000,123900,123900,122000,119000,119900,119900,117500,114900,110000,110000,111900,112000,114900,115000,118000,117900,115000,110000,115000,115000,118000,115000,116500,115000,112500,112000,113575,114900,110000,112500,119900,119900,119000,119900,119900,121505,123000,124900,124900,122500,125000,125000,120000,120000,119000,119000,119900,121000,124900,124975,124900,124900,124500,124500,121700,119500,119900,120000,124000,125000,129900,129900,130000,129900,129900,130450,135000,135000,137500,135000,139000,139900,142500,144950,144900,144900,145000,147000,146950,146000,145000,145000,148900,149900,152000,152900,154000,155000,159900
