"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,729000,725000,698888,699900,729000,749983.5,775000,770000,759900,749000,749650,725000,699000,649000,688000,725000,749900,765000,795000,799000,789970,789000,779000,769000,769900,760000,765500,799000,822000,840000,849950,850000,849000,829690,828000,824900,824900,8e+05,830000,849900,885000,899900,899000,894999.5,895000,888000,888999.5
"Texas",2,369000,369000,368900,369053.5,369000,369700,369000,369000,361990,356979,350000,345114.5,335000,338535,338900,349900,349990,342129,340194.5,333950,345000,339000,334950,329990,334900,335949,345000,349989.5,352000,359950,355000,350000,352415,352970,375000,380000,379000,389513.5,399000,4e+05,413030,411895,417500,411990,415990,416990,415990,424900,421202.5,429994.5,435900,449900,446939,447900,449900,453812,455000,456990,450000,457500,462990,469450,475000,479573,475000,475000,474999,469900,459900,469000,464514,452548.5,464900,469900,479000,485000,489900,479990,479000,477000,475000,465000,469950,460000,459900,465000,479500,488013,494900,495000,489900,479900,484900
"New York",3,515000,519000,529000,509000,499999,499000,495000,480000,499000,480000,469000,459000,449000,435000,450000,429000,428888,429990,449000,449000,445000,449000,449900,449000,450000,464948.5,469000,479000,479000,469000,460000,465000,469000,475000,515000,525000,525000,535400,529000,529000,529000,519000,519000,519000,519000,529000,539000,549000,549000,549500,549000,559000,565000,569999,559000,549995,550000,559000,549000,549000,549000,549000,550000,569900,579000,569000,569000,575000,570000,579000,575000,575000,599999,629000,630000,639900,635000,649000,599900,599000,599999,625000,605000,630000,650000,659000,640000,6e+05,569900,549000,510000,489000,489900
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,452450,475000,475000,485000,495000,475000,479000,480900,454990,459000,449900,469000,467000,460000,472840,469160,475000,459000,451990,459000,449900,449900,445000,439900,452990,454990,469900,464000,460995,464990,469800,470450,479000,471644,480009,492670,499000,495000,525000,529900,530900,527750,525000,515000,509000,521990,525000,524900,524900,545000,550000,550000,555250,550000,549992,547070,540606,542990
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,298000,289000,274900,289999.5,304900,320000,349900,355000,349000,339900,340000,339900,329900,309950,296000,309950,340000,349900,359900,359900,359900,359000,359900,359900,349900,334900,325000,349900,370000,385000,391934.5,394900,380000,369900,359900,350000,348989,329900,324000,349900,365000,379000,389000,395000,389900,375000,375000
"Pennsylvania",6,299900,299900,299900,299900,299000,295000,292000,284900,285000,279900,269900,254900,249000,249900,240000,249500,252755,249900,258250,249000,242388.5,249900,249900,240000,249000,249900,250000,259900,264900,257900,250000,249900,249000,246000,263900,259000,250000,264700,284900,285000,299900,309900,291500,279000,284000,279900,275800,275000,250000,260000,284500,299900,324900,319000,299900,292900,295000,289500,275000,274999,260000,265000,285000,299900,329999,325000,3e+05,299000,299900,290000,295000,284900,279900,286250,299900,319999,325000,334700,325000,309900,315000,315000,299900,299000,289000,299900,325000,339900,350000,354950,348189,329900,329900
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209600,207150,199500,207000,2e+05,221000,234700,234900,229900,225000,223950,220000,210000,199900,214900,220250,224900,229900,239900,249850,250000,246000,239700,229900,234500,225000,219700,228000,248000,255000,264900,265000,265000,250000,250000,244900,229900,225225,219950,229900,259000,278000,295000,290000,289900,285000,279945
"Michigan",8,299900,299000,295000,295900,289500,279900,276000,269900,295000,286000,279900,259900,249900,245000,249000,245000,249900,256400,250000,249900,249625,244875,245000,239900,234900,235000,239900,250000,257450,264500,269900,264900,259900,269900,289900,289900,289900,290000,297000,299900,315000,320000,309900,314900,326125,325000,315000,325000,319450,320000,329900,336750,349900,350000,350000,350000,349000,339250,339900,329950,329850,340000,359250,375000,395500,389450,391250,394950,398000,398000,398000,399000,399900,399900,399900,416200,424900,424900,424900,418999,399984,405000,410000,399900,399000,408900,429000,435000,445000,439900,429900,424000,430950
"Georgia",9,375900,378100,379900,379900,379000,369900,374900,374900,350000,345000,324900,3e+05,304000,299900,299900,299999,3e+05,299845,299000,285000,290000,291020,279000,270000,274900,279000,285000,290000,299900,299900,297900,295000,295000,294900,339900,339485,340000,349900,350000,365000,372950,375000,379000,369900,369000,360000,359900,359900,355000,365000,365000,379950,379900,373995,373492.5,375000,376000,375000,365000,369900,369900,378362,379900,379900,389900,395000,375900,374900,369058.5,375000,375000,365495,362900,382990,384115,394900,399000,390000,394253.5,395000,389900,389900,389900,384900,384000,389000,397250,399900,404450,408552.5,412999,405900,404995
"North Carolina",10,450000,450000,450000,449900,449000,449000,449000,444999,444900,430000,428000,405000,399000,395000,395000,389900,395300,390000,394900,389664,394900,382000,369900,370000,379900,387250,385000,394000,374000,375000,379900,379900,381675,389000,414900,414900,409000,413795,423692.5,435000,424900,450000,423157.5,419900,419900,419000,414950,389947.5,4e+05,415000,417000,425000,434950,436365,429000,425000,429900,434900,429900,435000,429000,437500,440350,452900,452900,457500,450000,454900,454800,459000,452900,459000,478900,499000,484000,495000,489999.5,475000,472999.5,474700,474900,485000,480000,474900,479000,480000,485000,489900,490000,484990,487500,489000,490995
"New Jersey",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,629000,624974.5,639950,640000,632450,648900,649000,639000,629900,639950,629000,599000,617000,630000,649900,659945,650000,695000,695000,699900,699000,699000,699900,7e+05,699000,699000,685000,689000,699000,695000,725499.5,749900,743495,749000,729450,739000,710000,725000,719945,737500,749000,744900,749000,734500,699000,699000,699000,699000,699000,709995,7e+05,724900,729000,729950,739000,749900,739900,719945
