"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,349950,347800,340000,349000,356000,365000,365000,372000,375000,375000,378000,375000,369000,350000,357000,369950,380000,389000,399000,399000,399900,399900,405000,403950,399900,399000,399000,405000,415000,420000,425000,435000,435000,435000,439000,435000,429500,420000,424900,430000,440000,449894,455000,459000,458000,459000,460000
"Texas",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173500,169000,175000,179000,179900,188900,189000,190000,189900,189000,189900,193700,199000,199000,199000,2e+05,208000,210000,215000,218000,225000,229000,229900,235000,237900,235000,235000,231000,225000,225000,229900,230000,229852.5,229000,225000,224900,224900
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,669000,595000,660000,595000,599000,599000,599000,629000,640000,660000,675000,689000,725000,725000,745000,750000,750000,745000,720000,735000
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,162000,169900,170000,171000,175000,175000,175000,175000,174833,174900,175000,179900,179900,180000,180000,180000,184500,182500,179900,180000,185000,188500,189000,195000,197900,198000,199000,197500,199000,199000,197500,199000,205000,210000,214990,225000,229500,229000,229900,229000,232000,232000,235000,235500,235000,239900,244900,245000,247000,249000,249000,249000,249900,249900,249900,249900,249900,254900
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,154900,150000,165000,179000,183500,189900,190000,189900,189000,189000,185000,184000,176500,174900,185000,190000,189900,194825,194900,191000,189000,186900,184900,179900,179000,182000,189900,199444,204900,2e+05,205000,2e+05,199900,2e+05,205000,204900,199900,207000,219000,224900,225000,225000,229000,225000,219900,220000
"Pennsylvania",6,189000,194300,195000,189900,189900,188082.5,187500,177900,179900,179000,171375,169900,175000,176785,171000,169900,169900,169900,165000,169900,169000,164900,164900,154990,155000,162950,153500,154000,158900,164500,159900,159900,159900,167000,184000,181900,185000,188900,189900,190000,195995,195500,189900,187500,187900,189900,189900,189000,184500,185000,187500,189900,189500,189900,185000,185000,189900,187000,186000,186000,186950,184900,189900,189900,184900,189000,189900,189900,189900,193000,195000,194900,191579,194700,193990,199000,199500,199000,198800,199000,198900,199000,199000,199215.5,199000,199900,209900,214900,210000,209900,212500,214900,215000
"Ohio",7,123110,120000,121999.5,122000,120000,120000,119876.5,119900,119000,116000,114750,110000,109000,109900,109900,110000,112900,112500,110900,110000,109900,109900,107900,105000,107900,107900,109900,109900,109500,109900,109900,105900,104900,104000,110000,109900,109900,109900,110000,114900,114900,115000,114900,115000,114900,118450,114900,115000,115000,119200,119900,119900,119900,119900,117900,117000,115000,117900,115000,112900,114900,115540,116900,117900,117500,118500,119900,119945,119900,119500,119900,119000,119900,123230,124900,126700,129000,125900,125900,127900,129900,129900,129900,129000,129900,132800,135900,137250,139900,139500,139900,142000,144900
"Michigan",8,115000,114900,113202.5,114900,114900,109900,109900,105000,106000,107000,1e+05,99900,99900,99900,104900,106900,115000,119000,119000,116900,115566,114900,110000,109900,109900,109900,112000,115000,119500,120000,121000,120000,120000,119900,125000,129500,129000,129000,129900,130950,138900,139900,139500,144900,149900,149900,145900,144900,148900,149900,152900,156850,159900,159900,159900,160000,164700,159900,151250,149000,149900,159000,159900,159900,167000,169900,169000,169000,168900,168000,169900,169000,167500,167500,169000,170000,179900,184900,185000,187950,189900,189500,189000,188500,186950,189900,195000,199900,2e+05,205000,2e+05,199900,205000
"Georgia",9,149900,149900,149900,149900,149999.5,148600,149500,144900,140500,139900,135000,130000,129900,129900,131612.5,132500,134900,134900,132500,130000,130000,128900,124000,122500,124900,124900,124900,124900,126900,124900,124000,124900,129900,133387.5,139900,139900,145000,149900,149900,150000,155000,156000,156000,155000,159875,159900,165000,149960.5,149900,150000,154949.5,158900,149900,155000,155000,154900,155000,158900,158700,154900,158650,164212.5,169900,169900,167900,169900,165000,185740,189000,190362.5,191500,190000,189000,190000,188900,189900,195007.5,194900,195000,189900,189000,185000,185000,186000,184900,179000,182500,189900,189900,192915,197000,199000,199900
"North Carolina",10,164999.5,160950,162000,164500,159900,159900,159900,152900,155900,149900,145000,144000,139900,139900,143900,145000,145046,149000,148250,146900,145000,147000,143400,139900,144900,139900,139000,139500,135000,135000,135000,139900,140000,146900,156900,159900,159900,165000,169900,173900,175900,188700,175327,171000,171900,172500,175000,170000,172500,165900,165900,174250,174000,164900,159900,160000,159980,159900,156700,154900,159900,164900,159900,164000,165000,165000,164900,167500,166900,169000,169900,174900,188644,189000,183000,188000,189000,189900,198500,195000,193000,199000,199900,2e+05,199900,197997.5,199000,199900,199600,199000,198000,195000,199900
