"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"California",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410000,407000,398000,399950,419000,433000,439950,448844,448000,439900,429999,425000,415000,389900,405000,424900,433000,440000,454900,464000,450000,459900,459900,459990,459053,450000,450000,460000,475000,489000,495000,499000,499000,495000,493900,493000,489000,476990,479000,489000,499900,519000,520000,515000,519000,515000,515000
"Texas",2,161390,163000,164500,164900,164900,164900,162300,163900,172500,169900,167900,163900,160000,159990,164900,165000,169000,169500,168900,165807,160000,159900,155990,154900,155000,156000,158900,159900,159950,162900,160000,159900,159000,159900,174900,175000,175000,179900,184900,188900,189900,192900,192900,190000,192801,195000,190000,193060,191950,198000,200995,210000,215900,214900,215000,219450,219000,218000,218000,224900,227750,234900,239900,245000,245000,245490,247500,249000,249700,249900,249990,255000,253990,245000,250000,254000,257000,259000,258995,255500,254900,259000,250000,250000,250000,256500,264990,270000,274900,275000,273997.5,270975,269900
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315000,314999,325000,329000,319990,319617.5,3e+05,299000,297000,295000,299000,299000,299000,299900,319000,315000,315000,314900,309900,299900,299000,299000,299900,299900,299000,299000,304000,309990,309990,305000,304900,299000,295000,289000,289500,289000,289000,289999,295400,299000,299900,3e+05,301445,289900,288600,284000,279900,285000,280000,290000,299000,3e+05,305000,299900,299000,299000,292900,297990
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209900,209990,208695,215000,216990,219900,218500,214990,222000,223990,224900,224000,221866,220000,225000,230000,229900,229900,234900,235757,237000,244900,249000,249900,251900,252000,254000,259000,260000,267290,265000,265000,265000,260000,265000,267000,269000,269900,275705,279900,283000,289000,289900,289900,289900,289500,290000
"Illinois",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159900,159900,155900,164900,170000,179900,186000,189900,189000,185000,182500,179900,175000,169900,169000,174995,185000,190000,2e+05,2e+05,199900,197500,194500,189900,189000,180000,179900,187000,199500,209000,211995,209900,206000,199900,199000,194900,189900,182000,179900,190000,204900,214900,219900,222000,219900,214900,212000
"Pennsylvania",6,168900,169900,172500,170000,169900,169900,169900,169900,169900,169000,165000,162900,159900,162900,164900,166900,169900,169900,169900,169900,165000,164000,159900,158900,159500,159000,159900,159900,159900,159900,155900,150000,149900,149900,164900,159900,159995,165000,169900,169900,179000,179900,175000,169900,170000,169900,168500,172000,165900,169000,170000,179900,180000,180000,179000,175000,175000,175000,170460,169000,169000,169900,175000,179900,185000,184000,179900,176450,179900,174900,174500,169900,165900,165000,174900,176500,179900,184876,179000,174900,175000,179000,174900,169900,169900,174000,187200,194900,195000,194450,192000,189900,189900
"Ohio",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124900,122730.5,120000,124900,129900,132000,135000,139900,138000,134900,134900,132000,129500,124900,127500,129999,134900,139750,139900,139900,139900,139900,139000,134900,134800,129900,129900,130000,135000,139992,145000,146841.5,146900,142900,140000,139900,139000,134900,134900,137900,144900,149900,155000,159500,158900,157500,154900
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119900,119000,114900,117900,120000,129900,134900,138000,138000,137000,134900,130000,125900,120000,122500,127000,129900,135000,139900,143000,144900,139980,139900,137500,134900,129900,129500,129500,134900,139900,147500,149900,149900,149900,149000,147900,144900,139900,139900,144900,149900,159800,164900,169000,169000,167000,165000
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179900,176000,174900,169900,175000,180044,187900,189900,195000,194900,189900,189700,187900,185000,179900,184900,189000,189900,193937,198000,199500,199900,199900,199900,199000,197600.5,198000,198175,196900,2e+05,209900,215000,218250,218165,214900,214900,214995,213900,209900,210000,215000,224900,231210,235000,239000,239900,239000,239900
"North Carolina",10,190000,189900,189900,189900,189000,187500,185000,182900,185000,179900,175000,169900,169000,167500,169900,174500,179000,179900,179900,178500,174900,169900,168000,165000,170000,170990,174800,172500,169900,169900,169000,168000,164900,165000,179990,180000,182500,185000,189000,192700,195000,199000,199000,198900,199000,199000,192990,196400,189900,192900,199000,199900,2e+05,202900,201900,201133.5,2e+05,199900,199900,199490,199500,200900,2e+05,209900,217500,219900,219900,219500,219000,219500,218990,215000,219500,219900,225000,229000,229900,229900,229900,229900,229900,229900,229900,229900,228500,230000,238900,248490,249900,250000,250000,249900,250000
