"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"California",1,2100,2100,2000,1995,1950,1950,2000,2000,1700,1695,1680,1746,1595,1600,1600,1650,1675,1650,1600,1600,1595,1547,1500,1500,1500,1500,1560,1525,1500,1525,1500,1550,1580,1561,1545,1525,1500,1550,1570,1549,1550,1510,1545,1540,1635,1640,1539,1695,1700,1645,1610,1680,1795,1800,1800,1800,1850,1895,1895,1912,1925,1950,1970,2000,2000,2025,2050,2090,2100,2100,2150,2150,2165,2195,2205,2200,2200,2195,2245,2190,2260,2126,2195,2150,2205,2295,2315,2350,2361,2360,2377,2355,2350
"Texas",2,,,999,1050,972.5,950,990,995,900,900,925,900,945,939,950,925,925,950,930,925,900,895,899,929,949,966,989,949.5,959.5,965,965,995,1005,899,999,1031,1031,995,1024,1042,1054,1050,1075,1040,1100,1128,1150,1140,1158,1110,1105,1150,1130,1135,1115,1119,1119,1125,1120,1115,1125,1126,1129,1169,1174,1190,1178,1189,1185,1179,1250,1248,1250,1246,1289,1265,1257,1253,1246,1240,1262,1200,1200,1166,1228,1250,1268,1300,1333,1347,1344,1330,1330
"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2525,2551,2500,2500,2500,2500,2500,2500,2550,2600,2590,2500,2500,2500,2500,2495,2450,2400,2450,2499,2500,2525,2550,2550,2550,2600,2650,2595,2400,2400,2350,2383,2400,2400,2450,2450,2450,2399
"Florida",4,,,,,,,,,,,,,,1350,1350,1350,1300,1300,1300,1295,1300,1250,1250,1250,1200,1250,1250,1250,1250,1250,1250,1250,1223,1200,1200,1200,1175,1200,1200,1200,1200,1225,1300,1300,1350,1350,1400,1400,1385,1350,1300,1300,1350,1350,1350,1350,1380,1375,1350,1350,1339,1370,1395,1375,1400,1410,1500,1500,1500,1500,1550,1550,1550,1595,1600,1550,1505,1500,1496,1500,1500,1500,1600,1469.5,1500,1500,1550,1555,1565,1575,1595,1600,1600
"Illinois",5,,,1345,1350,1350,1397.5,1397.5,1350,1350,1400,1395,1450,1425,1495,1500,1565,1585,1650,1600,1595,1600,1500,1450,1475,1475,1450,1425,1395,1407,1495,1450,1465,1465,1495,1420,1450,1425,1500,1494,1495,1563.5,1600,1636.5,1645,1620,1550,1550,1620,1500,1450,1500,1500,1580,1595,1650,1575,1645,1600,1550,1450,1460,1575,1500,1550,1575,1550,1550,1550,1595,1550,1599,1545,1500,1600,1545,1550,1595,1595,1595,1550,1500,1495,1450,1495,1500,1500,1500,1550,1590,1595,1595,1555,1550
"Pennsylvania",6,,,1212.5,1199.5,1200,1200,1300,1325,1200,1150,1150,1100,1060,1015,1039,1100,1095,1050,1050,1080,1050,1000,1045,1057.5,1100,1120,1150,1175,1195,1200,1175,1147,1100,1100,1055,1040,1019,1050,1086,1100,1163,1190,1100,1100,1100,1050,1050,1075,1050,1050,1050,1100,1175,1185,1150,1100,1100,1095,1075,1095,1095,1100,1159,1195,1200,1200,1190,1150,1100,1100,1150,1125,1195,1195,1200,1200,1250,1200,1200,1195,1144,1148,1100,1112.5,1144,1195,1200,1250,1250,1250,1250,1250,1250
"Ohio",7,,,,900,875,825,850,804.5,677,695,689,700,675,667.5,650,720,725,700,700,700,700,689,700,720,745,725.5,725,695,685,685,675,700,699,700,725,700,685,699,705,700,700,700,689.5,685,700,700,675,750,700,700,700,715,725,723,700,711.5,745,761,795,779.5,775,800,825,840,850,825,810,802.5,800,805,850,850,839.5,825,850,875,869,850,850,850,850,850,825,825,850,850,889,899,895,890,895,875,875
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,679,700,720,719,735,750,750,719,715,735,750,750,750,700,683,735,760,740,750.5,750,749.5,750,850,862.5,850,875,850,850,850,850,925,900,900,900,911,925,900,900,900,900,925,950,950,975,900,900,925,950,975,965,950,925,950,975,969.5,927,1010,990,975,995,1035,956.5,970,975,1000,1000,995,1000,1005,1000,1025
"Georgia",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1110,1100,1095,1112,1140,1051,1095,1075,1100,1121,1015,1050,1050,1119,1150,1185,1200,1249,1245,1250,1260,1260
"North Carolina",10,,800,800,800,800,799.5,825,800,825,825,800,825,750,775,775,775,750,765,767,765,750,750,750,750,750,775,795,795,785,775,780,800,795,795,791,775,777,800,825,829,825,800,806,795,775,775,755,775,780,775,775,795,800,800,800,800,795,799,799,800,800,800,825,850,850,850,850,850,850,850,944,925,930,925,995,985,995,978.5,996,1038,1065,975,975,950,1000,995,1000,1050,1100,1110,1139,1124,1116
"New Jersey",11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1712,1700,1750,1800,1790,1750,1750,1750,1700,1750,1750,1800,1885,1855,1850,1850,1850,1850,1750,1800,1795,1800,1750,1800,1800,1850,1900,1906.5,1920,1935,1900,1900
