"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"California",1,,,,,,,,,,,,,2750,2700,2800,2800,2900,2850,2900,2800,2925,2700,2750,2650,2695,2700,2550,2500,2500,2500,2500,2450,2350,2350,2300,2350,2350,2300,2300,2300,2395,2450,2400,2495,2450,2350,2450,2450,2400,2400,2400,2600,2600,2695,2650,2650,2650,2695,2600,2657,2700,2800,2800,2862.5,2995,2960,2995,2950,2900,2850,2800,2900,2990,3000,3000,3200,3000,3100,3000,3042.5,3000,3200,3000,3000,3200,3309.5,3400,3595,3600,3500,3500,3450
"Texas",2,,,,,,,,,,,,,,2100,2197.5,2200,2200,2197.5,2150,2100,2000,2000,2000,1995,1995,2000,2000,2000,2000,2050,2012.5,1995,1975,2000,1950,1950,2000,2000,2095,2000,2072.5,2100,2100,2033.5,2000,2000,2100,2000,1995,1995,2050,2295,2300,2300,2300,2400,2250,2250,2250,2295,2250,2290,2395,2450,2500,2495,2499.5,2500,2550,2500,2450,2495,2500,2500,2500,2482.5,2500,2500,2495,2600,2495,2442.5,2397,2400,2400,2495,2500,2500,2500,2500,2500,2500
"Florida",3,,,,,,,,,,,,,,,,,,3000,3000,3000,2995,2950,2950,2900,2800,3200,3000,3100,3270,3300,3250,3000,3000,3000,2950,2950,2900,2950,2900,2900,2700,2900,2800,2995,3000,3000,2995,2900,2900,2800,2835,3000,3000,3200,2800,2800,2750,2800,2800,2800,2750,2750,2850,2800,2800,2800,2800,2700,2700,2800,2900,2900,2800,2900,2880,2800,2800,2700,2800,2950,2800,3000,2800,2800,2800,2800,2950,2900,2950,3000,3100,3000
"Georgia",4,,,,,,,,,,,,,2000,1950,2000,2000,2000,2100,2000,2000,2000,1950,1995,1800,1850,1975,1950,1950,1950,1900,1850,1700,1750,1700,1650,1650,1600,1650,1700,1650,1695,1695,1628,1680,1650,1575,1600,1595,1547.5,1550,1600,1700,1700,1700,1700,1750,1790,1750,1750,1750,1750,1759,1750,1800,1895,1900,1895,1850,1850,1800,1795,1825,1864.5,1895,1929.5,1950,1900,1900,1900,1965,1950,1950,1895,1797,1800,1895,1995,1995,1995,2000,1995,1995
"North Carolina",5,,,,2495,2300,2195,1950,2000,2200,2150,2300,2199.5,1950,1850,1795,1790,1850,1900,1895,1850,1800,1692.5,1600,1850,1700,1700,1825,1900,1850,1800,1850,1895,1750,1724.5,1699.5,1800,1825,1800,1762.5,1750,1799.5,1800,1800,1800,1850,1800,1795,1750,1750,1782.5,1770,1800,1895,1850,1800,1800,1800,1800,1862.5,1925,1895,1885,1895,1837.5,1895,1850,1800,1795,1875,1835,1885,1897.5,1950,1995,2000,1900,1800,2000,1995,1965,1875,1900,1845,2000,1995,1999,2010,2000,2000,2050,1997,1995
"Virginia",6,2200,1995,2050,2200,2275,2400,2395,2300,2275,2200,2195,2100,2150,2200,2047.5,2195,2200,2200,2285,2200,2200,2200,2225,2297.5,2200,2250,2350,2400,2365.5,2400,2300,2200,2200,2195,2200,2195,2200,2250,2300,2300,2300,2377.5,2400,2300,2300,2250,2250,2200,2200,2200,2250,2400,2450,2500,2400,2400,2300,2300,2250,2200,2197.5,2200,2297.5,2395,2495,2495,2400,2400,2300,2300,2300,2250,2250,2250,2200,2325,2300,2400,2495,2400,2400,2375,2250,2395,2300,2362.5,2400,2495,2600,2500,2500,2500
"Washington",7,,,,,,,,,,,,,,1795,1800,1950,1995,1850,1795,1850,1850,1800,1795,1762.5,1695,1695,1750,1750,1772.5,1795,1795,1750,1695,1595,1650,1695,1785,1725,1800,1800,1800,1849,1849.5,1795,1795,1795,1800,1762.5,1700,1725,1749.5,1995,1897.5,1900,1995,1950,1915,1897.5,1895,1895,1950,1995,1999.5,2026,1995,1995,2145,2150,2162.5,2100,1962.5,2145,2000,2150,2097.5,2200,2185,2295,2245,2250,2195,2250,2200,2300,2495,2500,2499.5,2595,2700,2600,2600,2600
"Massachusetts",8,,,,,,,,,,,,,,,,,,,,,,,,,,,3800,3900,3800,3750,3600,3750,3600,3600,3700,3900,3900,3800,3800,3800,3800,3800,3700,3600,3700,3699.5,3900,4200,4100,4150,4200,4000,4000,3900,3850,3900,3900,3800,4000,4200,4200,4050,4000,4000,3850,3800,3800,3700,3500,3799,4100,4400,4400,4350,4200,4200,4000,4000,4000,4000,3825,3750,4000,4500,4500,4412.5,4400,4350,4300,4250,4200,4200
"Tennessee",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522.5,1695,1695,1595,1562.5,1550,1662.5,1550,1447.5,1595,1572.5,1470,1595
"Missouri",10,,,,,,,,,,,,,,,,997.5,850,852.5,875,850,850,800,800,875,900,985,940,950,995,995,997.5,1030,1045,997.5,970,1000,950,905,900,900,950,975,972.5,987.5,950,975,975,900,900,900,900,875,875,875,875,895,850,875,895,985,1050,1044.5,1100,1000,1015,1000,995,947.5,910,910,900,895,895,925,915,925,895,1000,1162.5,1100,1200,1075,1050,1120,1120,1100,1050,1007.5,1099.5,1100,1112.5,1072.5
"Minnesota",11,,,,,,,,,,,,,,,,,,,,,1625,1695,1695,1695,1600,1695,1795,1685,1725,1990,1795,1775,1695,1697.5,1800,1750,1800,1750,1800,1995,1892.5,1895,1800,1795,1925,2000,1950,1995,1950,1895,1870,1950,1950,1800,1800,1800,1795,1995,2010,1999.5,1800,2045,2000,2000,1950,1895,1900,1897.5,1995,2150,2100,2085,2125,2075,2097.5,2047.5,2095,1900,2000,1999.5,1800,1947.5,1995,2150,2250,2000,2000,1934.5,2000,2011,2000,1985
"Colorado",12,,,,,,,,,,,,,,,,1712.5,1800,1797.5,1837.5,1850,1737.5,1700,1685,1695,1700,1895,2050,1995,1950,1850,1800,1795,1800,1895,1850,2100,2097.5,1950,1950,1875,1800,1785.5,1800,1795,1750,2000,1950,2000,1995,1995,1995,1950,1995,1975,1950,1950,1950,1995,2000,2000,2150,2200,2195,2195,2195,2172.5,2250,2195,2137,2200,2300,2400,2372.5,2300,2295,2200,2300,2295,2495,2100,2195,2400,2235,2250,2395,2300,2350,2425,2350,2250,2299.5,2300
"Connecticut",13,,,,,,,,,,,,,,,,,,1550,1500,1400,1450,1500,1500,1562.5,1500,1600,1750,1983.5,2125,1900,1650,1550,1450,1350,1325,1350,1500,1550,1500,1500,1500,1600,1500,1400,1300,1250,1250,1250,1262.5,1275,1300,1300,1300,1400,1375,1300,1350,1300,1300,1350,1400,1400,1397.5,1350,1390,1450,1495,1395,1400,1350,1350,1350,1362.5,1400,1500,1500,1500,1600,1425,1362.5,1400,1350,1400,1395,1400,1500,1500,1575,1600,1600,1650,1600
"Kansas",14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1187.5,1150,1325,1450,1350,1300,1295,1300,1250,1200,1150,1175
"Utah",15,,,,,,,,,,,,,,,,,1495,1547.5,1500,1485,1397.5,1395,1295,1295,1395,1447.5,1600,1500,1375,1399.5,1472.5,1450,1510,1450,1500,1450,1495,1495,1500,1550,1500,1550,1550,1550,1500,1495,1450,1450,1400,1400,1412.5,1500,1550,1595,1575,1595,1575,1550,1525,1450,1495,1550,1550,1495,1495,1500,1617.5,1572.5,1595,1575,1495,1497.5,1595,1597.5,1449.5,1672.5,1650,1695,1695,1617.5,1600,1597,1600,1650,1695,1695,1675,1750,1795,1805,1825,1795
"Nevada",16,,,,,,1850,1995,1900,2047.5,2000,2000,1800,1797.5,1797.5,1800,1795,1850,1850,1850,1800,1895,1950,1947.5,1895,1799.5,1850,1750,1695,1745,1795,1790,1795,1700,1700,1695,1699.5,1695,1700,1725,1700,1700,1775,1795,1800,1795,1750,1745,1700,1750,1750,1750,1795,1795,1795,1800,1800,1795,1795,1800,1795,1795,1800,1815,1850,1995,1895,1895,1900,1850,1850,1880,1895,1900,1925,1900,1950,2000,1895,1995,1950,1950,1997.5,1895,1900,1995,2000,2100,2195,2100,2095,2095,2000
"Hawaii",17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2950,3212.5,3400,3200,3200,3000,3250,3000,3100,3000,3000,3000,2900,2600,2597.5,2825,2950,2500,2695,3000,2800,3000,2850,2700,2650,2682,2675,2687.5,2900,2950,2800,2800,2600,2762.5
