"RegionName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"California",1,,1500,1550,1500,1535,1597.5,1600,1500,1490,1495,1497,1250,1250,1295,1250,1275,1250,1250,1200,1195,1180,1175,1178.5,1250,1275,1275,1275,1275,1200,1150,1150,1125,1150,1150,1150,1150,1185,1200,1200,1200,1195,1197,1200,1225,1250,1275,1250,1250,1250,1250,1275,1350,1295,1350,1295,1295,1295,1295,1295,1350,1350,1389.5,1425,1425,1495,1450,1500,1475,1495,1650,1745,1800,1875,1925,1900,1995,1750,1800,1625,1695,1695,1650,1695,1772.5,1795,1825,1895,1895,1850,1850,1850,1850
"Texas",2,,825,850,850,885,807.5,850,850,850,875,850,850,850,853.5,853,855,850,828,825,817,800,795,775,875,950,950,917,960,875,800,795,795,785,795,795,800,795,800,825,850,865,915,945,1020,1018,1044,995,1085,1025,1021,1035,991,950,940,1000,999,1014,1019,1000,1011,995,950,995,950,900,895,895,895,900,925,900,900,925,950,950,950,955,975,995,995,950,950,949.5,975,950,975,980,995,995,989.5,975,960
"New York",3,,,,,,,,,,,,,,,,,,,,,,,2500,2595,2600,2600,2650,2658,2700,2725,2725,2700,2700,2700,2700,2695,2750,2750,2775,2800,2850,2808,2800,2850,2895,2795,2750,2700,2750,2795,2800,2850,2850,2500,2500,2500,2500,2500,2495,2495,2500,2500,2600,2625,2600,2550,2600,2595,2575,2500,2500,2500,2500,2500,2500,2550,2595,2595,2600,2600,2695,2600,2450,2500,2495,2454,2500,2500,2500,2550,2595,2500
"Florida",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,1500,1499,1500,1550,1450,1400,1400,1450,1500,1450,1500,1450,1500,1500,1400,1400,1400,1400,1400,1395,1400,1450,1500,1550,1550,1650,1550,1580,1550,1500,1500,1550,1675,1650,1577.5,1600,1585,1600,1600,1650,1625,1600,1650,1650
"Illinois",5,,1300,1300,1300,1212,1197.5,1200,1295,1360,1363.5,1363.5,1330,1340,1350,1415,1425,1483,1450,1415,1405,1400,1395,1395,1300,1265,1300,1375,1475,1500,1495,1499,1415,1448,1435,1450,1458,1524.5,1495,1500,1595,1575,1557,1595,1550,1500,1525,1600,1550,1495,1499,1500,1490,1510,1645,1590,1600,1615,1650,1499,1561,1750,1567,1574,1631,1611,1662,1595,1793,1862,2030,1800,1665,1800,1517.5,1450,1500,1500,1450,1455,1430,1400,1425,1455,1400,1407.5,1400,1450,1450,1455,1475,1499,1500
"Pennsylvania",6,837.5,875,895,900,872.5,850,850,845,850,900,850,809.5,799,822.5,800,825,805,800,825,850,800,800,825,875,895,875,850,875,850,857.5,850,825,795,800,800,825,850,895,923,950,950,950,950,925,900,950,939.5,900,900,900,940,975,975,950,900,907.5,910,950,945,950,950,995,1000,1002.5,1000,1050,995,995,975,1005,995,995,995,1000,1050,1075,1000,995,925,900,895,895,900,900,950,975,1000,1000,1000,1000,977.5,975
"Ohio",7,,,,,,,,750,775,800,750,650,650,609.5,647.5,625,625,600,625,640,650,600,585,600,629.5,619,599,600,600,595,591,595,595,595,575,565,567,585,595,582.5,575,575,585,595,595,599,600,580,595,595,600,599,595,599,599,600,625,600,600,600,600,636,650,650,636,615,620,625,615,636,650,650,650,675,690,700,675,650,700,635,695,650,695,675,695,700,715,703,695,699,695,700
"Michigan",8,,,,,,,,,,,,700,697.5,675,690,677.5,750,700,700,660,625,600,600,625,625,629.5,639,630,600,615,600,620,605,625,600,600,640,625,625,650,645,625,641.5,650,695,700,675,675,700,700,700,750,750,725,750,750,750,730,705,725,725,725,725,725,745,750,737.5,750,775,775,775,750,750,800,805,750,795,850,800,775,795,850,795,750,790,800,825,800,799,775,779.5,825
"North Carolina",9,575,615,612.5,675,600,600,637.5,662.5,650,625,700,690,680,675,695,675,675,675,675,675,672,650,660,654.5,700,735,730,725,700,676.5,685,695,695,695,650,687.5,695,700,735,745,725,695,700,700,750,725,717.5,720,725,725,749,750,750,750,750,735,725,725,728,719,735,725,750,700,725,725,722.5,700,695,700,725,726,737,750,800,800,800,800,760,795,740,750,741,700,775,772,795,795,800,795,775,750
"New Jersey",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1475,1500,1500,1550,1595,1600,1600,1595,1512.5,1500,1595,1600,1600,1650,1750,1650,1650,1650,1650,1600,1650,1650,1700,1600,1650,1650,1700,1700,1700,1700,1700,1662.5,1650
