"RegionName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"California",1,,,,,,,,,,1595,1595,1600,1495,1500,1550,1650,1650,1675,1650,1656,1600,1500,1400,1400,1425,1433,1480,1465,1456,1477,1475,1500,1530,1495,1472,1450,1429,1457,1495,1480,1495,1490,1495,1500,1600,1600,1500,1645,1650,1600,1595,1625,1750,1750,1758,1795,1810,1850,1850,1850,1860,1895,1895,1915,1928,1950,1952,1995,2000,2000,2000,2005,2065,2099,2110,2100,2100,2095,2136,2045,2116,2014,2050,2000,2100,2175,2200,2200,2200,2200,2221,2200,2200
"Texas",2,,950,950,950,975,1050,950,895,860,899,900,895,889,895,899,897,900,900,885,750,770.5,793,800,825,845,898,919,890,900,900,900,909,929,925,930,950,998,950,973,969,974,979,1009.5,975,1074,1090,1110,1099,1134,1085,1079,1100,1100,1100,1099,1095,1093,1099,1100,1099,1099,1100,1095,1130,1125,1140,1134,1144,1150,1146,1195,1184,1196,1190,1221,1205,1200,1200,1190,1190,1203,1152,1145,1125,1183,1200,1201.5,1225,1245,1243,1240,1245,1240
"New York",3,,1825,1850,2087.5,2000,2200,2000,1900,1900,2100,2000,2200,2000,1955,2300,2450,2495,2460,2550,2600,2599,2500,2450,2400,2400,2500,2500,2550,2600,2625,2650,2695,2700,2700,2700,2695,2650,2714,2700,2750,2800,2825,2795,2795,2800,2850,2750,2750,2700,2700,2750,2750,2800,2895,2450,2400,2450,2400,2400,2400,2400,2400,2450,2500,2500,2500,2495,2500,2500,2475,2400,2400,2400,2400,2400,2495,2500,2500,2510,2500,2550,2600,2550,2350,2400,2350,2350,2400,2400,2450,2450,2443,2400
"Florida",4,,,,,,,,,,,,,,1393.5,1375,1400,1400,1350,1345,1325,1350,1300,1250,1290,1250,1250,1250,1250,1250,1275,1250,1245,1200,1200,1200,1182,1115,1150,1175,1195,1200,1200,1320,1300,1350,1400,1400,1400,1399,1350,1300,1300,1350,1350,1360,1360,1395,1390,1350,1350,1330,1400,1400,1395,1431,1450,1550,1600,1550,1599,1595,1590,1600,1609,1625,1600,1556,1536,1500,1500,1510,1543.5,1636,1500,1520,1547.5,1550,1572,1565,1575,1580,1600,1600
"Illinois",5,1550,1300,1295,1295,1275,1250,1250,1250,1293.5,1360,1365,1400,1340,1350,1350,1400,1430,1426,1400,1400,1400,1373,1330,1350,1350,1340,1325,1300,1350,1350,1372,1392,1400,1435,1395,1400,1393,1500,1452,1475,1500,1537,1550,1550,1549,1500,1502,1558,1505,1479,1495,1499,1525,1570,1632,1545,1630,1620,1552,1450,1495,1600,1510,1500,1550,1549,1545,1500,1581,1595,1647,1570,1525,1600,1517,1505,1545,1530,1519,1500,1495,1465,1475,1485,1475,1495,1495,1500,1550,1550,1550,1550,1550
"Pennsylvania",6,,,1195,1200,1250,1275,1200,1200,1003,997.5,1019,995,995,985,995,1000,1050,1000,1000,1050,1025,967,965,970,999,1038.5,1055,1100,1100,1100,1100,1080,1050,1000,1020,1000,988,1028,1050,1070,1125,1100,1050,1000,1000,995,1000,1025,1000,1000,1000,1050,1175,1150,1100,1100,1075,1082,1084.5,1050,1075,1095,1125,1195,1200,1185,1151,1125,1100,1095,1175,1100,1195,1195,1200,1208,1225,1195,1192.5,1150,1100,1149,1100,1100,1100,1150,1200,1200,1250,1250,1250,1229,1210
"Ohio",7,,,,,,,,,,652,649,649,640,640,637,690,695,695,695,699,700,640,650,649,665,675,675,649,640,630,630,650,650,650,655,649,635,650,675,659,669,650,650,647,639,650,625,669,650,650,650,675,675,675,625,639,695,700,709.5,715,712,750,765,765,800,775,765,750,750,750,809.5,815,800,799,825,850,850,825,845,825,825,825,800,800,834,845,860,875,875,869,870,855,875
"Michigan",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,880,900,950,947,970,850,850,900,921,950,950,925,900,900,940,925,900,980,982.5,950,995,1025,950,945,945,955,975,950,978,990,975,1005
"Georgia",9,,1050,1050,1050,1075,1100,1000,950,895,900,912.5,995,900,935,950,950,950,950,925,925,925,825,810,825,815,865,853.5,850,859,850,852,886,855,865,855,850,846,867,879,885,886,900,907,900,950,950,925,975,1000,1000,1000,1000,995,1000,995,995,999,995,1000,995,1000,1001,1009,1050,1075,1100,1082,1100,1100,1095,1200,1195,1196,1185,1200,1200,1110,1160,1159,1171,1219,1139,1150,1145,1208.5,1215,1245,1255,1275,1275,1275,1285,1275
"North Carolina",10,,,875,875,900,880,895,875,875,875,875,875,767,775,790,775,750,759,775,775,775,750,767,763,775,795,795,795,795,783.5,786,824,825,825,805,796,795,809,832,843,850,850,849,815,809,813.5,800,824,824,810,800,815,850,854.5,850,850,843.5,850,850,869,875,860,876.5,886.5,895,895,895,910,900,900,1000,980,992,1009,1090,1050,1080,1079,1100,1085,1105,1060,1025,1009,1077,1045,1075,1100,1120,1127,1145,1145,1139
