"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
9,"California",1,15000,14000,13000,12000,13500,13200,12000,12250,11000,12500,11000,11000,10900,11000,10600,10000,10850,10900,11000,11000,12000,13000,12500,14000,12000,12000,12000.5,11000,11100,13500,14450,12999.5,13000,14000,12000,11000,10001,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,11000,11000,11000,11000,10100,10900,10900,10001,10000,10000,10190,11000,11000,12000,11000,10100,10000,10000
54,"Texas",2,6000,5099.5,6000,5100,5100,5100,5000,5000,5000,5000,5000,5000,5100,5000,5001,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5070,5000,5050,5000,5000,5100,5000,5400,5100,5100,5050,5000,5500,5001,6000,6000,5100,5500,6600,6000,7000,7500,7000,6300,6000,6300,7000,7500,7000,6000,9000,8000,9000,8900,9100,9050,7100,8000,6000,6000,5900,6000,7000,6000,6000,7200,6000,6000,6000,5900
43,"New York",3,15000,14900,15000,15000,15000,16000,15000,14000,12500,14000,14000,11000,13500,12550,11000,11000,11000,11000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10100,10000,10000,10000,10000,10000,10000,11000,13000,14000,10000,11000,13000,12000,15000,15000,13900,13000,10000,14999,19000,15001,14000,19000,15250,20000,20000,22000,24000,20000,14000,24000,24000,24000,19100,24000,20000,25000,25000,26000,25000,20000,19100,25000
14,"Florida",4,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9900,10000,10000,9100,8900.5,8000,8000,7625,8000,7900,8100,8000,7600,7900,7900,8000,7000,7000,7767,7500,7000,7000,7100,7500,8000,8000,7600,7000,7000,6900,7000,6100,6000,6099,6500,6902.5,6900,7000,7000,8000,7000,7000,7000,7000,7500,7900,8000,8800,9100,9900,9000.5,9000,8900,8900,7600,7300,7100,7500,8000,8000,8938.5,9100,9000,9000,8000,8000,7000,7000,7000
21,"Illinois",5,10000,10000,10000,10000,10000,10000,9901,10000,9500,10000,9900,9100,9100,9500,8400,9000,9000,9000,7900,9000,7900,7000,8000,8000,7000,7900,6000,6000,6000,7000,6400,6500,6100,7000,8000,7000,8600,8000,7500,7000,7000,7951,8000,7800,7500,7900,7400,7222.5,8000,9000,8000,7500,7100,8000,7400,7400,6750,6000,6400,6000,7000,6000,6000,6000,5400,6000,6000,6500,6000,6000,6000,6000,6000,6000,5100,5500,6000,6900,7000,7400,7500,6599,6000,6000,6000
47,"Pennsylvania",6,6235,6900,6700,7400,6000,5950,5100,5900,5900,5100,6000,5100,5100,6000,5000,5900,5400,5400,5950,5000,5838.5,5100,5090,5000,5100,5000,5000,5100,5450,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5400,5000,5000,5100,5000,5099,5000,5000,5000,5000,5000,5000,5100,5400,5000,5000,5000,5100,5000,5000,5000,5000,5000,5000,5000,5000,5400,5100,5500,5100,5000,5600,5100,5000,6000,5000,7000,5100,6000,5100,5000,6000,5100,6000
44,"Ohio",7,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4987,5000,5000,5000,5000,5000,4900,4600,4500,4900.5,4600,4100,4000,4898.5,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4900,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
30,"Michigan",8,6250,5900,5950,6400,6000,5950,6000,6000,6000,6000,6000,5400,6000,5100,5000,5900.5,5100,5000,6000,6100,5100,5100,6800,5900,5193,5400,5925,7500,5000,5049.5,5000,5450,5200,5000,5450,5750,5150,5000,5000,5000,5000,5000,5000,5400,5000,5500,5100,5050,5000,5000,5000,5000,5000,5000,5000,5000,5000,5100,5449.5,5000,5000,5000,5000,5000,5000,5000,5000,5000,5100,5900,6000,5500,5500,5100,5100,5000,5000,5000,6000,7450,6400,7075,7000,5000,5500
16,"Georgia",9,10000,10000,9600,9000,10000,10000,8500,9550,8000,9000,9000,7600,8500,8650,8000,7000,9600,7600,7100,7600,8000,10000,7945,7795,9000,7450,9100,8900.5,7875,10000,9900,9050.5,7925,7500,8550,7000,7000,8050,7600,7000,6900,5500,6400,5100,6000,5000,5055,5000,5100,5000,5000,5100,5500,5100,6000,6000,6000,5100,5000,5900,5100,5100,5100,5000,5100,5000,5000,5007.5,5586,5500,5000,5100,5100,5100,5000,5500,5000,5000,6000,6000,5100,5000,5000,5400,5000
36,"North Carolina",10,9000,7900,7049.5,7900,9000,7500,6000,6050,6000,7000,8950,7000,7000,5950,7000,8000,7550,6000,6000,7000,5100,6000,6000,6000,6000,5100,5075,7500,5900,5000,5000,5000,5000,5900,5100,5500,5100,5100,5000,5470,5000,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5100,5000,5100,5000,5000,5000,5000,5100,5000,5400,5100,5000,5100,5000,5400,5001,5497.5,5400,5100,5000,5001,5900,5100,5000,6000,5500,5450,5100,5100,5000
40,"New Jersey",11,10900,10000,10000,10550,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000
56,"Virginia",12,10000,10000,10000,10000,10000,10000,10000,9900,10000,10000,9900,9500,10000,10000,10000,10000,9999,9100,9499,9500,9100,7000,7500,7350,8000,6000,8000,9000,8000,8150,8330,6000.5,8100,7900,7477.5,6000,7505,7900,6500,6100,7100,6000,6000,6450,6000,6600,6000,6400,7000.5,7000,6000,7000,8000,7000,6500,6000,6000,7000,6000,5500,6000,6000,5425,5950,6000,7000,5500,5495,6000,5500,6100,5100,5500,5500,5100,5072,6900,5000.5,5100,5100,5100,5500,5400,5000,5100
59,"Washington",13,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,8500,9600,8500,10000,9050,10000,10000,10000,10000,10000,10000,10000,10000,8000,8700,8000,8000,8100,9900,8000,9905,9075,9050,10000,9100,8200,9900,10000,9000,9106,10000,9997.5,9700,9900,9950,7000,9944,8000,10000,10000,10000,10000,10000,9825,9300,10000,10000,10000,10000,9000,10000,10000,10000,10000,10000,10000,10000,10000
26,"Massachusetts",14,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9600,10000,10000,7500,8399,9600,10000,10000,10000,10000,10000,10000,10000,10000,9100,7900,8275,9000,9900,10000,10000,8050,9900,9900,10000,9100,9000,10000,7950,9100,10000,10000,10000,9900,9050,10000,10000,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
22,"Indiana",15,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5050,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4900,5000,5000,5000,5000,5000,5000,4900,5000,5000,5000,4900.5,4048,5000,4900,4000,4500,4950,4800,5000,5000,5000,5000,4949.5,5000,4000,4000,4500,5000,5000,5000,5000,4500,5000,5000,4495,4000,4000,4000,4850,5000,5000,5000,5000,5000,5000,4945.5,5000,4052.5,5000,4900,4600,5000,5000,5000,5000,5000,5000
8,"Arizona",16,7000,6000,6000,6400,7000,7000,7000,6000,6500,6000,5500,5900,5400,6000,6000,5925,6000,6000,6000,6050,5275,5000,5000,5000,6000,5000,5000,5100,5175,5000,5100,5400,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,4900,5000,5000,4900,5000,5000,5000,5000,5000,5000,5000,4900,4999
53,"Tennessee",17,5500,6000,5500,5100,6000,6000,5934.5,6500,5100,5500,5400,5100,5000,5100,5000,5000,5000.5,5000,5000,5000,5000,5100,5000,5100,5090,5100,5000,6000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5075,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5500,5000,5055,5000,5100,5000,5000,5100,5400,5667,5175,5100,5000,5100,5400,5000,5000,5885,5100,6950,6000,5095,5550,5100
32,"Missouri",18,6000,5900,6000,7100,5900,6600,5100,5000,5000,6000,5900,5900,5950,5100,5000,5000,5600,5500,5000,5000,5100,5000,5000,5000,5000,5000,5100,5095,5100,5000,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
27,"Maryland",19,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9100,10000,9900,10000,9900,10000,9000,9000,9300,9000,8000,8000,9052.5,9100,8000,9900,8000,7100,6950,7600,7600,8946.5,8000,9760,10000,7702.5,8000,8000,6999.5,7200,7500,9100,8000,6000,7000,7000,7000,7250,7000,7050,7500,8900,9000,9100,9900,8000,7250,8000
60,"Wisconsin",20,8400,7100,6100,7000,5500,6000,6100,5900,5800,6500,6900,6000,6000,7000,6500,6000,7400,6000,5100,5100,5600,7000,5500,5000,5000.5,5250,6000,5750,5100,5000,5000,5000,5005,5400,5050.5,5000,5000,5000,5000,5275,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5099.5,5600,6000,5000,5000,5450,5000,5000,5000,5000,5100,5550,5000,5000,5100,5099,5000
31,"Minnesota",21,8500,8000,9000,9761.5,8000,8000,8950,7000,8550.5,7600,7500,6800,6200,6050,8000,8000,5350,8000,6650,7500,7000,5900.5,6000,5600,9950,7450,9900,6711,7400,6500,5900,5000,6000,5350,7600,6950,5000,5100,6000,8550,6400,5650,5295,5100,5900,7450,5000,6000,5900,5900,5000,5725,5000,5100,5050,5100,5100,5100,5000,5000,5000,5000,5100,5000,5000,5000,5000,5050,5000,5000,5000,5000,5000,5000,5000,5000,5000,6000,5100,5100,8000,5100,5000,5000,5000
10,"Colorado",22,9900,7900,7600,9900,9350,10000,9000,7400,8050.5,9000,9600,9900,9699,9600,9100,10000,10000,10000,10000,9000,8000,9000,10000,9900,10000,7900,10000,10000,10000,10000,10000,8900,7000,8000,7000,6400,6000,6000,6100,9510,8900,9025,10000,7750,9100,7000,8000,8000,7000,7000,7050,9050,10000,10000,10000,10000,10000,10000,10000,10000,10000,9545,9100,10000,10000,14000,11000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10075,10000,10000,10000,10000,10000,9000,8000
4,"Alabama",23,10000,10000,10000,10000,10250,10000,10000,10000,10000,9600,9100,10000,9000,10000,10000,10000,10000,10000,7500,8000,8000,7000,6050,6400,6950,6900,8150,10000,6289.5,6100,5100,5100,6400,6100,6000,7000,6000,6000,6000,9550,8000,7950,7100,5100,6000,6900,7100,5400,5100,6300,6550,5000,6050,5501,8100,5000,5000,7900,6250,7000,5400,6000,6000,7200,9000,5450,7000,7500,6000,5100,8000,5500,5900,5900,5000,5650,5100,5000,5500,6000,6000,5000,6000,6000,7500
