"RegionID","RegionName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
9,"California",1,20000,16000,15000,14900,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,14050,12000,14000,13600,14900,15000,15500,16347.5,18000,16106,15500,15100,15000,14900,15000,15000,16000,16906,20000,20000,19500,15000,15000,14900,13000,11000,10900,10999,12000,12050,14000,14000,14000,12000,12000,11000,10100,10000,10500,10500,11500,14000,14100,14990,14100,14000,14000,14000,13250,12000,13500,12500,14900,15000,15000,15000,15000,14197.5,14100,14000,13001,10899,12200,13835,14000,14999,15000,15000,15000,12000,12100
54,"Texas",2,7000,6119,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5900,5550,6000,5900,5900,5700,5500,5500,5500,5500,5500,5848.5,5200,5500,5900,6000,6000,6000,5900,5600,5900,5900,5800,6000,5900,6000,6430,6450,6900,6559.5,6360,6101,6994.5,6000,6700,7500,7500,8000,9000,9000,9100,9000,8500,9000,8900,7900,7500,8600,9000,9800,9900,9995,9900,9001,9000,8600,8000,7400,7000,7000,7500,8500,9000,9100,9000,8000,7500,7000
43,"New York",3,13000,11000,10100,10999,10000,10000,11000,10100,10000,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
14,"Florida",4,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9500,9100,9100,9100,9100,10000,10000,9900,9900,9100,9100,9500,9000,9000,8100,9100,9000,9000,9010,9000,9000,9000,8300,8600,8500,8100,8900,8100,9000,9400,9000,9100,9100,9100,9000,9100,9000,9022.5,9100,9500,9100,9900,10000,10000,10000,10000,10000,9100,9000,8900,9000,9000,9000,9900,10000,10000,9900,9600,9100,9000,8300,7900
21,"Illinois",5,10000,10000,9100,9100,9900,9550,9100,9000,9100,9600,9000,9000,9000,9000,8000,7600,8000,8100,8100,8600,8000,7900,7600,7500,7100,6900,6000,6500,6000,6100,6000,6500,6288.5,6400,6900,6000,6000,6000,6000,6000,6100,6000,6000,6000,6900,7000,6900,6500,6600,6500,6000,6000,6000,6400,6000,7000,7000,7400,7000,6400,6500,6000,5900,5900,5800,6000,7000,7000,7000,7000,6900,6000,6000,5500,5100,5000,5000,5100,6000,6000,7000,7000,6400,6000,6000
47,"Pennsylvania",6,9000,8100,7500,7400,7500,7000,7500,7000,7400,7500,7600,7200,7100,7500,7500,7000,7000,6600,6900,6900,6900,7000,6100,6000,6000,6000,5500,6000,5900,5800,5768.5,5725,6000,5900,6000,6000,6000,5900,5900,5500,5500,5400,5100,5900,6000,6000,5900,5900,6000,6000,5500,5832,5100,5500,5400,6000,6500,6000,6000,6000,6000,5950,5400,5775,5167,5400,5100,6000,6000,6000,6000,5900,5900,5400,5100,5000,5100,5100,5600,6000,6000,6000,6000,6000,6000
44,"Ohio",7,6000,5349,5100,5100,5400,5400,5100,5001,5100,5100,5050,5100,5099,5000,5000,5000,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5100,5100,5000,5000
30,"Michigan",8,8100,7000,7000,6000,6000,5900,5900,6000,6000,6600,6600,6000,6000,5900,5100,5100,5100,5100,5400,5500,5100,5650,5900,5500,5500,5000,5000,5000,5000,5000,5000,5000,5000,5100,5400,5400,5100,5000,5000,5000,5000,5000,5000,5000,5100,5100,5500,5100,5100,5040,5000,5000,5000,5000,5000,5000,5100,5250,6000,5900,5100,5000,5000,5000,5000,5000,5000,5100,5600,6000,6000,5900,5100,5100,5000,5000,5000,5000,5100,5900,6000,6600,6675,6000,5900
16,"Georgia",9,10000,10000,10000,9900,10000,10000,9900,10000,10000,10000,9900,9900,9900,9600,9219,9325,9000,9100,9900,10000,9950,10000,9900,9600,9000,9000,9500,8900,9000,9100,9000,8750,9100,9000,9100,9000,8006.5,8000,7100,7600,7120,6400,7000,7100,7500,7500,7600,6500,6400,6500,6100,6000,6000,6000,6512.5,7000,7000,7000,6900,6485,6000,6000,6000,6000,5900,6000,6500,7100,7500,8000,6974.5,7000,7000,6500,6000,5964.5,6000,6090,6500,7600,8000,8000,7536.5,7000,7000
36,"North Carolina",10,10000,9900,9500,9100,9000,8500,8900,8400,9000,9100,9100,9000,9000,8600,8150,8000,8000,8000,7900,8000,8000,7982.5,7900,7900,7400,7000,7000,7000,7000,7000,6753.5,6900,7000,6850,7000,7000,6500,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5900,5520,5600,5500,5900,6000,6300,6900,6900,6000,6000,6000,6000,6011,6000,6000,7000,7000,7500,7400,7000,7000,6500,7000,6000,6000,6000,6000,6725,7100,8000,8000,7100,7000,7001
40,"New Jersey",11,15000,14500,14000,12900,13000,14000,14000,14000,12900,14000,12500,12100,13900,14000,11000,10900,11000,10999,11000,11600,11000,11500,10900,10100,10400,10099,10000,10000,10000,10000,10000,10900,10100,10001,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10100,10500,10100,10000,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
56,"Virginia",12,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9999,9500,9050,9400,9500,10000,10000,10000,10000,9950,10000,9877.5,9100,9000,9000,9000,9100,10000,10000,10000,10000,9999,10000,10000,9100,9000,8100,9035,9000,10000,10000,10000,9934,9050,9000,9000,7500,8000,9000,8000,9100,9900,10000,9990,9500,9100,9100
59,"Washington",13,13001,11000,10100,10100,10050,10050,10000,10000,10000,10000,10092.5,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
26,"Massachusetts",14,11000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10100,12450,11700,10900,10000,10100,10000,10000,10000,10000,10000,10000,11000,14000,12000,10900,10000,10100
22,"Indiana",15,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
8,"Arizona",16,9300,8000,8000,8100,8500,8100,9100,9000,9100,9100,8900,9100,9600,9100,9600,9000,9800,10000,10000,10000,10000,9999,9600,8798,8000,7490,7000,9000,8070,8000,9000,9000,7100,8000,7000,6000,6000,5867,5400,5500,6000,6000,5999,5900,5500,5500,5400,5100,5100,5100,5100,5100,5900,6000,6000,6000,6000,6000,5579,5100,5100,5123,5097.5,5100,5600,6000,6000,6000,5500,5100,5000,5000,5000,5000,5000,5000,5000,5100,5900,5500,5100,5000,5000,5000,5000
53,"Tennessee",17,7000,6000,6000,6100,6100,7000,6000,6000,5999,6500,6000,6000,5900,6000,5904,6000,6000,5900,5400,5900,5100,5400,5250,5400,5100,5050,5002.5,5100,5100,5099,5099,5000,5000,5100,5100,5090,5099,5000,5000,5000,5000,5000,5000,5000,5000,5100,5000,5100,5000,5100,5000,5000,5000,5000,5000,5100,5050,5100,5400,5400,5100,5100,5100,5100,5100,5100,5100,5400,5500,6000,5842,5500,5999,6000,5100,5500,5700,5099,5400,6000,6000,7000,6600,6094,6000
32,"Missouri",18,6000,5900,5900,6100,5950,5900,5400,5100,5100,5100,5400,5100,5100,5100,5100,5100,5100,5100,5000,5000,5000,5100,5000,5000,5000,5000,5000,5027.5,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5050,5100,5000,5000,5000,5000,5000,5000,5000,5000,5000,5100,5200,5500,5100,5000,5000
27,"Maryland",19,11000,10099,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
60,"Wisconsin",20,9850,8686,8000,8100,7400,7450.5,7100,7700,7500,8000,8080,8000,8000,7600,7100,7000,7000,7000,6000,7000,7000,7000,7000,7000,6000,5900,6000,6000,6000,5900,5793.5,5100,5400,5400,5900,6000,5400,5400,5450,6175,5500,5100,5000,5100,5600,6000,6000,6000,5400,5100,5095,5100,5000,5000,5000,5100,5600,6000,6000,6100,5900,5100,5100,5100,5100,5000,5500,6000,7000,7000,7000,6900,6000,5900,5000,5100,5400,5400,5400,7000,7500,7900,8000,7000,6000
31,"Minnesota",21,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9600,9900,9425,9610,9850,9952.5,9600,9100,9500,8000,8950,9100,8100,8000,8050,8000,8000,9100,8500,9001,8000,8000,9100,8451,8215,7000,7000,8000,8000,8100,8000,8000,7900,8000,7700,7676,7000,7500,8200,9900,9900,10000,9600,9900,8900,8000,8000,8000,8150,9100,9900,9901,9100,9100,8900,9000,7900,7000,6706,7400,8000,9100,10000,10000,10000,10000,9500,9000
10,"Colorado",22,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,9900,9100,9900,9900,10000,10000,9600,10000,10000,10000,10000,10000,9900,8400,9000,9000,9000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
4,"Alabama",23,7500,7000,7000,7000,7000,6742.5,6900,7000,7400,7000,7000,6725,7000,6300,6000,6000,6000,5500,6000,6000,6000,5900,6000,5901,5500,5400,5100,5100,5100,5500,5100,5100,5100,5400,5400,5500,5100,5100,5400,6000,5500,5500,5000,5100,5100,5100,5100,5100,5100,5600,5100,5500,5100,5100,5100,5400,5100,5100,5100,5100,5000,5000,5000,5000,5000,5000,5000,5012,5100,5100,5000,5100,5100,5000,5000,5000,5000,5000,5000,5100,5100,5100,5100,5000,5000
51,"South Carolina",24,9900,9000,8516,8000,8000,8794,8000,8000,7950,8000,8500,8000,8000,8000,8000,10000,8499,7497.5,7500,7801,7000,7000,7000,7300,6100,6000,6500,7000,6200,5650,6000,6000,5900,6000,6000,5900,6000,6000,5500,6000,6150,5100,5900,5400,5400,5500,5500,5100,5100,5100,5100,5000,5400,5000,5250,5900,5500,5500,5300,5100,5400,5158,5100,5100,5100,5100,5400,5900,6000,6000,6000,5907.5,5503,5100,5100,5100,5400,5100,5100,5900,5900,5500,5100,5100,5537
25,"Louisiana",25,8000,7600,7725,7500,7900,7000,6500,7290,7000,7000,7600,7000,6600,6400,6000,7000,6100,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,5900,6000,6400,6100,6875,6200,6000,6000,6150,6100,6000,6000,6000,6000,5500,5900,6000,6000,5900.5,6000,6000,6400,6000,5900,6000,6000,6400,6200,6000,6400,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6100,6600,6100,6400,6000,6000,6000,5500,5500,6000,6000,6000,6000,5999
24,"Kentucky",26,5400,5000,5000,5000,5000,5000,5099,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5500,5100,5100,5100,5000
46,"Oregon",27,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10100,10100,10000,10000
45,"Oklahoma",28,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000,5000
11,"Connecticut",29,11443,10100,10000,10000,10000,10100,10000,10000,10100,10900,10000,10000,10100,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000
