"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
9,"California",1,196100,195700,194900,194300,193900,193700,193700,194100,194800,196000,197300,198400,199300,200300,200900,201400,201800,202700,203900,205300,207100,209200,211700,211700,210800,211200,214300,217700,220400,221900,223700,225700,227500,229100,230800,233000,235100,237400,239600,241400,243100,245100,247600,250100,252500,255300,258300,261500,264700,267900,270800,273300,275700,278600,281200,284100,287300,290500,293700,297500,301300,304500,306700,309200,312100,314900,317200,319400,321700,324600,327700,331000,334700,338600,342600,347200,352400,357700,363200,368700,373800,378800,383700,388500,392600,396400,400300,405000,410300,416100,422400,429400,436600,444200,452200,460700,470700,482100,494000,505200,515600,524800,532800,539900,546600,552900,559600,567100,574600,581800,589300,597000,604700,611600,617700,623400,628100,631000,632900,634400,635700,635900,635100,633700,631700,629100,626400,624000,621300,618400,616100,614000,611400,608200,603700,598400,592700,586900,581200,574900,566200,556200,545600,533800,521300,509900,499200,489000,479000,469700,460900,452200,445700,442200,439100,434600,430000,425300,421200,418200,416000,414100,412800,411900,412700,414200,414900,414800,414600,413800,412400,410600,409000,407800,406200,404400,402300,399700,397000,394700,392400,390100,388000,385500,382600,380100,378700,378200,377500,376300,376000,377100,378900,381200,383700,386500,390300,394400,398300,402400,407100,411600,416000,422100,429800,438000,446300,454100,460700,466800,472000,475800,478500,481100,484200,487300,489800,492000,494700,497700,500500,503200,506100,509200,511600,513700,516200,518800,521000,523400,526200,529700,533200,536300,539200,542100,544300,546400,549000,552200,554900,556900,559500,562400,564500,566800,570500,574700,578000,580500,582600,584800,587900,591500,594000,595800,598800,601700
54,"Texas",2,120000,120100,120600,121100,121500,121400,122700,126000,128800,130100,131000,131500,131700,132000,132400,132800,133200,133700,134100,134300,134700,135500,136100,136300,136400,136800,137400,137900,138500,139200,139600,139700,139800,140600,141500,142000,142700,144000,145200,146400,147500,148500,149200,149600,150000,150500,150700,150400,150500,150800,150900,150800,151100,151400,151500,151500,151600,151800,152100,152500,153100,153800,154300,154800,155200,155600,156300,156900,157100,157200,157400,157500,157700,157800,158200,158700,159200,159700,160300,160800,161200,161400,161800,162200,162400,162500,162600,162900,163200,163600,163700,163700,164400,166000,168000,170100,172100,173900,175300,176300,177200,178200,179000,179400,180000,180700,181400,181800,182300,182800,183200,183800,184500,184700,184900,185300,185700,186400,187400,188400,189200,190100,191100,191800,192100,192600,193300,194100,195100,196200,196700,197000,197300,197600,198100,198700,199200,199800,200400,201000,201500,200800,198900,196500,194400,192700,191400,190900,191100,191700,192300,192900,193900,195200,196300,196700,197100,197500,197700,197900,198300,198300,198100,198300,195800,191500,189500,190100,190400,190500,190200,189700,189300,188800,188000,187100,187000,187600,188000,187600,187400,187300,187200,186800,186300,185800,185600,185700,186200,187200,188200,188600,188900,189200,189500,189600,189800,190000,190200,190400,191200,192600,194200,195700,196900,198300,199900,201400,202600,203900,205100,206300,207900,209400,210500,211500,212900,214300,215700,217000,218200,219500,221000,222200,223500,225100,226600,228200,229800,231300,232900,234500,235800,236900,238400,239800,241600,243600,245300,246600,247400,247800,248700,249900,250600,251500,252500,253100,253100,253100,253200,253700,254900,256800,258000,259100,260500,261400
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,256400,256400,256000,255400,254500,253600,253300,253200,252700,251900,251100,250500,250200,250000,249400,249800,244400,235300,230800,231700,231300,230400,229100,227700,226700,225700,225000,224300,224600,225600,225600,224500,223500,222600,221800,220900,219900,219000,218800,218400,218100,218000,217600,217100,217400,217700,218200,218200,217600,216900,216500,216100,216200,216200,216000,215400,214800,214300,214100,214300,215000,215400,215300,215200,215500,216000,216500,217100,217800,218800,219500,220000,220400,221100,221600,221600,221400,221500,221600,221700,221900,222300,222800,223400,223900,224400,224500,224300,224400,224300,224200,224100,224500,225300,226300,227500,228600,229200,229500,229900,230800,231800,232400,232600,232900,233200,233100,233000,233100,233400,234100,235600,236900,238200,239800,241900,242600,242300,241900,241900,241400,241000
14,"Florida",4,133600,133700,133600,133200,133200,133400,133500,133600,134000,134500,135200,135900,136500,136900,137400,137900,138300,138700,139100,139600,140200,141000,141800,142400,142900,143200,143400,143700,144300,144900,145300,145600,146300,147000,147700,148700,149600,150200,150800,151500,152200,152900,153600,154500,155500,156300,157400,158600,159600,160600,161600,162700,163700,164600,165800,167100,168300,169400,170900,172100,173200,174300,175500,176600,177700,179000,180400,181500,182600,183700,185100,186600,188100,189500,190900,192700,194400,196100,198000,200100,202400,204600,206500,208200,210100,212300,214300,216300,218100,220000,222200,224500,227100,229800,232500,235200,238400,242100,246300,250800,255400,260100,264800,269600,274400,279500,285300,291900,299100,306700,314200,321800,329700,337000,343300,349200,353900,357400,360700,364100,366500,367900,368300,368200,367600,366800,365700,364600,362500,360100,358300,356500,353900,351000,347300,343200,339300,335500,331400,327400,322800,317100,311100,305300,299400,293600,288000,282800,277700,272400,267400,261900,257400,254700,252200,248600,245100,241700,238500,235600,233400,231700,230400,228900,228900,229100,227800,225200,223200,221900,221300,220300,218500,216700,215200,214100,212600,210900,209700,209200,208800,208600,208400,208100,207800,207400,206700,206300,206200,206400,207500,209200,210400,211600,213200,214700,216100,217500,218900,220500,222200,223600,225000,227400,230100,232500,234500,236800,239300,242100,244500,246600,248300,249500,250600,251900,253400,254500,255300,256300,257400,258400,259600,261100,262300,263400,264800,266600,268500,270200,271800,273300,274900,276500,278300,279800,280900,281800,283100,284500,285800,287100,288800,290800,292400,294200,297300,300600,302800,304400,305300,305700,306100,307200,308200,309100,310500,312100
21,"Illinois",5,171700,171500,171500,171800,172500,173700,174700,175100,176100,177900,179000,179400,179800,180100,180400,180900,181200,181300,181700,182300,182800,183300,183800,184300,184700,185200,185700,186200,186700,187400,188300,189100,189700,190400,191400,192600,193800,194800,195700,196500,197500,198600,199900,201300,202400,203400,204700,206100,207400,208600,209900,211200,212300,213300,214100,215000,216300,217400,218400,219600,221100,222700,224100,225300,226700,227900,229300,230800,232100,233100,234000,235200,236500,237800,239100,240600,241900,243300,244800,246200,247700,249300,250700,252300,253800,255400,257200,258700,259900,261200,262000,262800,263900,265400,266700,267700,268900,270300,272000,273900,275900,277500,279000,280700,282700,284500,286400,288200,290100,291600,293100,295100,297000,298700,300300,302000,303500,305300,307000,308500,309700,310800,311500,311800,311900,312100,312500,312800,313000,313400,313900,314200,314200,313700,312700,311700,310700,309600,308500,307200,305600,303800,301800,299600,297700,296200,294700,292700,290900,289400,288000,286200,284200,282400,280700,278700,276500,274300,272400,270600,269200,268100,267300,266800,265500,263400,261500,260100,258100,256500,254800,253000,251100,249300,247300,245500,244700,244300,243200,241800,240800,239400,237900,236900,235800,234700,233700,232700,231700,230700,229800,229200,229300,229600,230300,231300,232400,232900,233200,233500,233900,234100,234800,235900,237300,239000,240600,242200,243800,245300,246500,247100,247800,248600,249500,250300,250900,251300,252100,253100,253500,253600,253400,253500,253600,254000,254400,255300,256300,257200,257500,257700,258100,258400,258600,259000,259600,260300,261300,261900,262500,262900,263400,263700,263800,264300,265300,266100,267200,268400,269500,270200,270900,271500,271800,271700,272100,272600
47,"Pennsylvania",6,152400,152300,152300,152300,152400,152400,152400,152600,152900,153200,153600,154200,154600,154800,155200,155800,156200,156700,157200,157700,158200,158900,159600,160300,160800,160900,160800,160700,160600,160600,161000,161400,161800,162400,163000,163500,163800,164100,164400,164800,165000,165500,166200,166800,167300,168100,169000,169800,170400,171300,172300,173300,174200,175200,176000,176800,177600,178400,179300,180200,180900,181800,182900,183800,184700,185400,186100,186800,187700,188800,189900,190900,192200,193700,195100,196700,198300,199700,201100,202700,204500,206400,208000,209600,211300,213200,215000,216800,218700,220800,222700,224500,226300,228000,229500,231400,233300,235100,237000,239200,241600,243900,246000,248100,250300,252500,254700,256800,258900,260900,262800,264700,266700,268800,271000,273300,275000,276100,277300,278800,280100,281400,282500,283400,283900,284100,284400,284600,284600,284900,285500,286000,286200,286400,286300,286000,285900,285700,285400,284700,283600,282300,281400,280900,280400,279800,279300,279000,278400,277500,276800,276400,275400,273900,272400,271300,270100,268900,267700,266700,266200,266000,265800,265200,266300,268300,269100,268200,267900,267500,266900,265700,264000,262600,261400,260300,259600,259200,258800,258000,257100,256400,255900,255400,254900,254500,254100,253800,253300,252600,252400,252600,252700,252800,253100,253600,254300,254800,255200,256000,256800,257400,257800,258200,258900,259700,260200,260700,261200,261700,262100,262400,262700,263200,263700,263900,264300,265300,266200,266700,267000,267300,267500,267600,267500,267000,266900,267700,268800,269800,270700,271700,272600,273400,274200,274600,274500,274600,275300,276400,277000,277200,277800,278800,280000,281200,282400,283400,284000,284600,285300,286100,286600,287100,287700,288900,289900,290500
44,"Ohio",7,141500,141800,141900,142200,142400,142800,143100,143400,143600,143900,144400,144900,145400,146000,146500,146800,147100,147500,148100,148600,149000,149600,150400,151100,151400,151500,151800,152100,152400,152800,153200,153600,154200,154900,155400,155900,156400,156900,157700,158600,159300,159600,159900,160200,160700,161200,161900,162700,163500,164200,164700,165100,165600,166100,166500,167100,167500,168100,168600,169100,169600,170100,170500,171000,171300,171600,172000,172500,173100,173500,173900,174200,174700,175200,175700,176200,176800,177300,177800,178300,178800,179400,179900,180600,181400,182200,182900,183600,184200,184900,185900,187000,187800,188200,188500,188900,189300,189500,189700,190200,190600,191000,191400,191800,192300,193100,193700,194200,194700,195000,195300,195500,196000,196400,196700,197000,197300,197500,197800,198000,197900,197900,198000,198100,198000,197900,197800,197700,197400,197100,196900,196800,196300,195700,195000,194500,194000,193600,193000,192500,191700,190900,190100,189300,188400,187800,187200,186500,185900,185500,184800,183700,182900,182900,182800,182200,181500,181000,180800,180600,180400,180400,180500,180600,180400,179800,179200,178600,178400,178600,178300,177600,177000,176400,175600,174900,174500,174000,173200,172900,173100,173100,172900,172800,172800,172400,171900,171300,171100,171100,171400,172000,172600,173000,173300,173700,174000,174200,174700,175300,175800,176300,176800,177000,177500,178000,178600,179100,179500,180000,180800,181700,182500,183000,183300,183800,184100,184200,184600,185100,185500,185800,186400,187000,187300,187600,188100,188900,189800,190800,191900,192800,193800,194900,195800,196700,197300,197800,198500,199200,199800,200400,201100,202000,203000,204000,205300,206800,208300,209700,211100,211800,212000,212300,213100,214200,215200,215900
30,"Michigan",8,170200,168400,167600,168500,168700,168200,168100,168900,169700,170600,171700,173200,174800,176400,178000,179200,180000,180900,181900,182900,183900,184900,186000,187400,188900,190100,191200,192200,193600,194900,196000,197000,198200,199400,200700,202100,203700,205400,206800,207900,209300,211000,212300,213300,214700,216000,217200,218700,220400,221700,223000,224300,225700,226900,228000,229200,230400,231300,232200,233300,234600,235800,237100,238000,238700,239600,240500,240900,241000,241500,242100,242500,243100,244100,244900,245700,246800,247900,249000,250000,251200,251900,252200,252500,252900,253300,253800,254600,255600,256300,256900,257900,259000,259800,260800,261700,262200,262600,262900,263000,263200,263700,264500,265200,265700,266500,267300,267700,268100,268600,269000,269000,268700,268300,268300,268400,268400,267800,267000,266300,265900,265300,264100,262700,261200,259600,258000,256500,254700,252900,251600,250500,249100,247400,245500,243800,242100,240300,237900,235500,232900,230000,227000,224500,221700,218500,215600,213200,210900,208400,205400,202400,199700,197800,196000,193300,190100,187500,185800,184700,183900,183700,183900,184000,184300,184300,183700,183000,183100,183500,183900,183200,182000,180900,180200,179500,178900,179200,179900,180200,180300,180700,180900,180900,181200,181800,182200,182300,182800,183700,184300,185600,188200,190400,192100,194100,196400,198500,200700,203000,204800,206200,208000,210200,212400,214500,216700,218800,220900,223300,225800,228100,229500,230300,231300,232800,233800,234700,236000,237500,238500,239200,239900,241200,242300,243100,243900,245200,246100,247100,248000,248900,249700,250800,251500,252400,253300,254000,254900,256200,257500,258600,260300,262200,263500,264300,265600,267300,269300,271300,272900,274500,275800,277000,277900,278800,280300,281700
16,"Georgia",9,149700,149500,149500,149600,149400,149400,149900,150400,151000,151800,152300,152800,153600,154400,154900,155400,156100,156800,157500,158100,158600,159300,159900,160600,161400,161900,162400,163100,163900,164800,165800,166900,167900,168900,170000,171200,172300,173300,174100,175000,176200,177500,178700,179600,180700,181700,182600,183500,184500,185500,186700,188100,189000,189500,189900,190300,190900,191700,192600,193400,194300,195700,196900,197400,197900,198600,199300,200000,200500,200900,201600,202400,203000,203500,204100,205000,205800,206400,207000,207600,208000,208600,209200,209700,209900,210200,210700,211100,211600,212300,213200,214100,215200,216200,217000,217900,218700,219400,220000,220700,221600,222400,223100,223900,224800,225800,226900,227900,229000,230000,230900,231800,232900,234000,235300,236700,237900,238900,240000,241100,241800,242700,243400,244200,245100,245800,246300,247200,247300,246800,246400,246700,247200,247600,247800,247900,248100,248100,247700,247200,246700,245800,244400,242800,241200,239300,237600,235900,233700,231700,229600,226700,224600,223800,223200,221800,219900,217800,216000,214700,214000,213200,212600,212200,212200,212100,211400,210200,209700,209300,208200,206400,204300,202100,200100,198100,195900,193300,191500,190400,189500,188700,188200,187600,186900,186000,185300,184700,184100,183900,183900,183800,183700,184100,185200,186500,187600,188700,190100,191600,193200,194700,195700,196700,198200,200000,201500,203100,205000,206800,208300,209700,211100,212100,212900,214100,215100,215900,216800,217500,217900,218500,219700,221000,221900,222700,224100,225900,227500,228700,229600,230600,231500,232700,234300,235800,236900,237800,238700,240000,241200,242100,242800,243300,244100,245400,246800,247800,248800,249800,250700,251600,252400,253100,253900,255300,257300,259100
36,"North Carolina",10,156900,156900,156900,157000,156900,156800,157300,157800,157900,158700,160400,161700,162500,163900,165500,166700,167600,168500,169200,170100,170600,171100,172200,173400,173900,174400,175000,175800,176900,177900,178400,179000,179300,179700,180500,181400,182100,182800,183200,183700,184100,184800,185600,186200,186400,186800,187800,189000,189500,190400,191400,192400,193200,193900,194700,195000,198500,201400,200000,197700,198600,199000,199000,199100,199500,199900,200200,200600,200700,200900,201500,202200,202400,202500,202800,203400,203700,203700,204200,204800,205000,205100,205800,206700,207300,208200,208800,209400,210200,210900,211400,212100,212700,213500,214600,215900,216600,217400,218400,219300,220000,220900,222000,223100,223900,224800,226200,227600,228800,230100,231300,232400,233900,235800,237500,239000,240200,241300,242500,244000,245200,246100,247200,248600,250200,251600,252900,254100,255200,256000,256900,257900,259000,260200,261300,262200,263000,263300,263500,264000,263900,263600,263100,263000,262900,262800,262400,261900,261200,260400,259200,257600,256100,254900,254100,252900,251500,250400,249700,248800,247800,247100,246700,246200,246800,248100,248300,247100,246100,245200,244400,243600,242500,241500,240700,239900,238900,238000,236700,235400,234400,233700,233100,232700,232500,232200,231800,231400,230800,229900,229900,230800,231800,232400,232800,233200,233500,233800,234100,234600,235200,235700,236500,237400,238200,239000,239800,240500,241200,241800,242500,243200,243700,244200,244800,245400,245900,246700,247400,247700,247700,247900,248300,248700,249100,249600,250100,251100,252000,252600,253000,253700,254400,255400,256500,257700,258500,259200,260000,260700,261600,262500,263200,264200,265700,267000,268200,269700,271000,271900,272900,274000,274900,275700,276500,277500,278800,279900
