"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
9,"California",1,157900,157800,157500,157300,157000,156800,156900,157200,157500,158100,159000,159800,160000,160300,160600,161000,161300,161900,162600,163700,165000,166400,168100,168100,168000,169500,171900,173000,174300,175300,176600,177900,179000,180000,181100,182800,184400,185700,187000,188800,190600,192400,194300,196300,198700,201300,204200,206900,209600,212300,215000,217500,219900,222400,225000,227500,230000,232900,235900,238700,241400,243600,245500,247700,250000,252200,254200,256200,258600,261300,264100,267000,270100,273500,277200,281200,285500,290100,294400,298800,303200,307500,311500,315800,320100,323900,327400,331400,336000,341200,346800,352700,359000,365700,372600,380100,388600,397900,407600,417000,425500,433200,439900,446100,452000,457700,463500,469700,475900,482000,488500,495600,502700,509000,514700,520100,524200,526300,527800,529400,530800,531600,531800,531300,530000,528100,526300,524400,521800,519000,517300,515900,513700,510800,507000,502600,497800,492700,487500,482100,474700,466000,456200,445800,435100,425200,415400,406000,397000,388600,380600,372800,366400,362300,358700,354400,349800,345400,341700,338700,336200,334500,333300,332100,333300,335800,337100,337000,337200,336700,335600,334300,332900,331500,330100,328800,327000,324700,322600,320600,318100,315800,313900,311600,309400,308000,307200,306500,305700,305100,304800,305400,306700,308500,310600,313200,316400,319300,322100,325800,330000,333900,338200,343900,350800,358400,366000,373200,379400,384800,389500,393500,396300,398300,400800,403500,406000,408200,410400,412700,414900,417300,419700,421900,423300,424600,426300,428700,431100,433500,435900,438700,441400,444300,447300,450300,452600,454700,457100,459800,462200,464000,466500,469600,472400,475100,479000,482700,485400,487500,490000,493100,496300,499300,501900,504200,506900,509600
54,"Texas",2,,,,,,,,,,,81200,81600,82000,82400,82900,83400,84000,84600,84800,84500,84400,84600,85000,85400,85700,86100,86400,86800,87000,87200,87600,87700,87700,88300,88900,89500,90200,91100,91800,92400,93000,93500,93800,94100,94200,94400,94400,94500,94900,95300,95500,95700,96000,96500,97000,97200,97300,97400,97700,97800,98100,98300,98500,98800,99200,99500,99900,100200,100300,100700,101200,101500,101600,101900,102300,102800,103200,103800,104400,104900,105100,105300,105600,106100,106400,106500,106800,107300,107900,107900,107700,107600,108400,109400,110800,112100,113400,114500,115500,116200,116900,117700,118200,118500,119000,119600,120200,120600,121100,121600,121900,122000,122200,122700,123200,123600,123800,124300,125100,125900,126400,126900,127400,128000,128100,128300,128900,129500,130300,131100,131400,131400,131700,132200,132600,132900,133300,133500,133700,133900,134000,133300,131900,130500,129300,128100,127100,126500,126800,127200,127600,128000,128800,129900,130800,131300,131800,132100,132500,132900,133200,133100,132900,133000,131100,127600,125600,125900,125800,125600,125500,125200,124700,124200,123900,123500,123300,123800,124000,123600,123300,123100,122800,122200,121700,121400,121200,120900,121300,122000,122500,122400,122400,122500,122600,122500,122600,122800,123100,123200,123600,124500,125200,125700,126200,126600,127100,127800,128400,128900,129400,129900,130500,131200,131900,132600,133200,133700,134100,134800,135700,136400,137000,137800,138700,139500,140200,141200,142400,143400,144500,145600,146700,147800,148900,149800,150800,152200,153700,154800,155800,156600,157800,159200,160200,160700,161300,162000,162500,163000,163500,164000,165400,167600,169200,169600,169900,170200
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333500,332900,332400,331800,330000,327600,326000,325000,323400,321000,318300,316000,313800,312000,310000,309500,300400,285900,277700,277600,276000,274500,272900,271200,269900,268800,268100,267400,267600,268300,268200,266400,264600,263200,262000,260800,259700,258300,257000,255900,255500,255200,254600,253800,253100,252600,252000,251300,250200,249100,247800,246600,245700,244900,244300,244000,243400,242600,242400,242700,242900,243000,243100,243200,243300,243700,243800,243800,244000,244500,245200,245900,246400,246800,247300,247900,248300,248900,249400,249500,249500,249900,250500,251600,252800,253400,253600,253900,254600,255200,255800,256300,256800,257200,257900,258800,260000,261500,262400,262900,264100,265600,266600,267000,267400,267700,268400,269100,270200,271800,273500,275300,277500,280200,283200,287300,293200,298700,301500,302400,303400,304200
14,"Florida",4,86300,86600,86700,86600,86500,86500,86400,86700,86900,87200,87700,88200,88200,88300,88700,89100,89300,89600,89900,90200,90500,91100,91700,92200,92400,92600,92800,92900,93200,93300,93500,93900,94400,95000,95600,96200,96600,96800,97100,97500,98200,98900,99500,99900,100600,101400,102300,102800,103500,104300,105100,105800,106500,107200,108000,108800,109600,110500,111200,111900,112900,113900,114900,115800,116700,117600,118500,119600,120600,121500,122600,123900,125000,126000,127000,128200,129100,130200,131500,132800,133900,135400,136700,138000,139300,140500,141700,143100,144500,146000,147500,149100,150800,152500,154400,156500,158800,161300,164000,167100,170500,174000,177300,180800,184500,188100,192000,196600,201700,207100,212800,218400,223900,229200,234200,238900,242500,245200,247900,250400,252300,253600,254100,254100,253800,252900,251700,250600,249000,247000,244900,242900,240700,238300,235800,233000,229900,226800,223800,220800,217300,213200,208900,204500,200000,196000,192000,188000,184100,180500,176600,172400,169200,167400,165800,163200,160500,157800,155400,153200,151300,149800,148700,147400,146700,146100,145100,143600,142400,141300,140100,139100,137900,136400,135000,134000,132900,131600,130500,130000,129300,128600,128000,127300,126500,126000,125600,125200,125000,125200,125600,126200,127000,128000,128900,129600,130500,131500,132400,133400,134300,135200,136500,138000,139600,141000,142500,144300,146300,147900,149600,151400,152800,153600,154500,155600,156600,157500,158400,159200,160300,161400,162600,163900,165000,165800,166700,168100,169700,171100,172600,174100,175700,177300,178900,180400,181900,183100,184300,185500,186800,188100,190000,192100,193800,195200,197400,199800,201700,203100,204000,204800,205700,207000,208400,209600,210800,212100
21,"Illinois",5,113900,114400,114500,113900,113100,112900,113000,113300,114000,115100,115900,116000,115900,116000,116200,116600,117000,117300,117700,118100,118400,118700,118900,119000,119100,119300,119600,119900,120300,120800,121200,121600,121800,122100,122700,123400,123800,124300,124900,125500,126000,126600,127500,128300,128800,129500,130200,131000,131700,132400,133300,134000,134400,134900,135700,136500,137500,138500,139300,140000,140900,141800,142600,143600,144700,145800,146800,147700,148500,149200,149800,150700,151600,152200,152900,153600,154100,154900,156000,157200,158100,158900,160000,161500,162900,164300,165800,167100,167900,168400,169000,169700,170400,171400,172300,173100,173900,174500,174900,176400,178800,180100,180000,180500,181600,182900,184200,185400,186400,187600,188700,189700,190300,191100,192600,194000,194700,195800,196800,197300,197900,198600,199200,199400,200700,202100,202300,201900,202400,202800,203300,203500,203500,203500,203400,202800,202000,201500,201300,200900,200500,200200,199600,198400,197300,196100,194800,193700,192600,191500,190400,189000,187700,186300,184800,183200,181700,179900,178200,176700,175200,174100,173300,172900,171400,168900,166800,165600,164500,163800,163000,161300,159400,158100,157100,155900,154800,154100,153400,152400,150900,149500,148100,147000,146000,144700,143400,142500,141800,141000,140400,140100,140300,140200,140200,140600,140800,140500,140500,140700,140800,140600,140800,141400,141800,142600,143700,144800,145800,146600,147100,147200,147600,148300,148800,149200,149400,149600,149700,149900,150400,150900,151300,151600,152000,152200,152300,152600,153400,154200,154800,155200,155600,156000,156200,156700,157200,157700,158200,158800,159600,160300,161100,162100,162600,163000,163600,164100,164900,166300,167500,168000,168300,168700,169100,169200,169600,170200
47,"Pennsylvania",6,83300,83700,83800,83600,83700,83900,83900,83700,83800,84000,84200,84600,84800,84700,84800,85100,85200,85300,85500,85800,86100,86400,86700,87200,87500,87600,87600,87800,88000,87800,88100,88600,88900,89100,89500,89700,89900,89900,89900,90100,90100,90200,90400,90700,90900,91200,91700,92200,92500,92800,93200,93700,94100,94300,94700,95100,95400,95700,96000,96500,97300,98100,98500,98800,99300,99900,100300,100800,101400,102000,102600,103100,103400,103900,104500,105300,105900,106700,107300,108200,109000,109800,110700,111500,112200,113100,114000,114800,115700,116800,117900,118800,119600,120600,121300,122000,122800,123500,124500,125600,126600,127500,128600,129600,130500,131500,132700,133800,135000,136200,137500,138700,140000,141100,142100,143200,144300,145000,145500,146100,146700,147400,148100,148900,149500,149900,150400,150900,151100,151000,151200,151600,152300,152900,153200,153400,153800,154100,154300,154200,154000,153700,153400,153300,153200,153200,153200,153100,152900,152900,152600,152200,152200,153100,154000,154100,154000,153700,153100,152600,152300,152100,152000,151900,152000,152200,152200,151800,151600,151300,150800,150300,149600,148900,148300,147900,147700,147300,146900,146500,145800,145200,144800,144600,144400,144100,143900,143600,143100,142600,142500,142500,142500,142500,142600,142600,142600,142700,143100,143600,144000,144000,143800,143800,144000,144300,144400,144500,144600,144900,144900,144900,144900,145100,145200,145300,145600,146000,146400,146500,146500,146600,146700,146700,146900,147000,146800,146800,147200,147900,148500,149100,149600,150100,150700,151000,150900,151000,151600,152300,152700,152800,153200,153900,154700,155300,155700,156200,156700,157100,157500,158000,158400,158900,159500,160100,160700,161100
44,"Ohio",7,88100,88300,88500,88700,88800,89100,89400,89600,89700,90100,90500,90900,91200,91500,91800,92200,92400,92700,93300,93700,94000,94300,94600,95000,95300,95400,95600,95800,96200,96600,96800,97000,97300,97800,98400,98900,99300,99700,100100,100600,101100,101400,101700,102100,102500,102900,103300,103800,104300,105100,105700,106100,106600,106900,107100,107500,107900,108300,108700,109100,109200,109500,110100,110400,110600,110800,111100,111300,111700,112100,112500,112600,112900,113000,113200,113700,114000,114300,114700,115100,115400,115700,116000,116400,116900,117400,117800,118100,118500,119000,119600,120100,120500,120700,120900,121300,121600,121800,122000,122200,122500,122900,123200,123400,123800,124200,124600,124800,125000,125200,125500,125700,125800,126000,126100,126400,126600,126800,126800,126800,126900,126900,126800,126700,126500,126500,126500,126200,125900,125700,125600,125500,125500,125200,124700,124500,124300,123900,123400,123100,122700,122100,121400,120700,120000,119500,119000,118500,118100,117700,117300,116700,116200,115900,115900,115600,115200,114800,114400,114000,113600,113500,113600,113400,113400,113600,113400,112900,112500,112400,112300,112200,111800,111300,110500,109900,109500,109000,108500,108200,107900,107600,107400,107200,107000,106700,106500,106300,106100,105700,105600,105900,106200,106400,106600,106600,106900,107000,106900,107000,107300,107600,107700,107800,107900,108100,108400,108700,108900,109200,109600,110000,110200,110300,110600,111000,111300,111500,111800,112100,112100,112400,112800,113000,113200,113400,113700,114100,114500,114900,115400,115900,116600,117300,118000,118400,118600,118900,119000,119200,119700,120300,120500,120800,121300,121900,122500,123300,124200,124900,125500,126000,126300,126700,127200,127900,128500,128700
30,"Michigan",8,87600,87100,87300,88200,87900,87300,87000,87500,87700,87600,87600,88000,88600,89400,90000,90300,90700,91100,91500,92200,93100,94000,94300,94200,94700,95500,96000,96400,97100,98000,98900,99500,100000,101000,102300,103500,104600,105700,106700,107700,108700,109600,110200,110900,111600,112400,113500,114400,115000,115600,116400,116900,117300,117800,118400,118900,119700,120600,121500,122000,122500,123200,123800,124500,125300,125900,126100,126300,126500,126700,127000,127300,127500,127700,128000,128400,129000,129800,130700,131500,131900,132200,132600,133100,133600,134000,134300,134600,134900,135300,135600,136000,136400,136800,137200,137500,137700,138000,138200,138600,139000,139500,139900,140200,140500,140800,141000,141400,141900,142100,142200,142400,142500,142500,142600,142600,142700,142600,142300,141900,141600,141100,140800,140400,139800,139000,138500,138400,138100,137400,136900,136300,135700,135000,134000,133100,132500,131700,130800,129800,128800,127700,126200,124600,123000,121400,119700,118100,116400,114700,113000,110900,109800,110100,110400,109600,108700,107700,106700,105700,104500,103700,103300,103100,101600,99300,98000,97600,96900,96500,96300,95700,95100,94600,94100,93400,92800,92100,91400,90700,90000,89600,89300,89000,88700,88500,88300,88000,88000,88200,88400,88600,89100,89600,89800,90300,91000,91700,92400,93100,93800,94400,94800,95300,96200,97300,98500,100000,101300,102300,103300,104100,105000,105900,106700,107600,108500,109100,109800,110800,111600,112000,112300,112900,113600,114300,114900,115400,115900,116500,117000,117400,117900,118600,119200,119900,120500,121200,121700,122300,123000,123800,124600,125100,125400,126200,127300,128400,129400,130200,131100,132000,132800,133200,133500,134100,134800,135300
16,"Georgia",9,92000,92400,92600,92700,92700,92900,93300,93700,94000,94300,94700,95000,95200,95700,96200,96900,97600,98000,98500,99000,99500,100000,100600,101300,101700,102100,102600,103400,104000,104700,105500,106000,106500,107400,108100,108500,109000,109800,110600,111500,112100,112700,113500,114100,114800,115800,116900,117800,118400,119100,119800,120400,121200,121800,122600,123200,123700,124100,124900,125600,126300,127000,127600,127900,128100,128400,128600,129000,129600,130200,130500,131000,131400,131900,132100,132500,133100,133600,133800,134300,134700,134800,135000,135600,136000,136500,136800,137100,137500,138000,138300,138800,139500,140000,140300,140800,141200,141300,141600,142100,142600,143200,143900,144300,144800,145500,146200,146600,147100,147800,148300,148800,149600,150300,151100,151900,152400,152800,153200,153600,154000,154500,155100,155500,155900,156200,156600,156900,156800,156300,156100,156000,156200,156400,156500,156500,156500,156500,156100,156000,155800,155300,154500,153900,153000,151800,150800,149800,148500,147200,145800,144100,143100,143100,143000,142400,141400,140200,139300,138500,137600,136700,136300,135900,135600,135300,134600,133800,133300,132900,132000,130800,129600,128200,126700,125500,124200,122700,121400,120200,119200,118300,117500,116800,116200,115500,114800,114100,113500,113000,112700,112500,112500,112600,112800,113100,113600,114200,115000,115500,116200,116800,117400,118100,118800,119500,120400,121300,122300,123400,124200,124900,125600,126100,126600,127200,127900,128500,129000,129400,129800,130300,131000,131700,132300,132800,133700,134700,135500,136500,137600,138500,139400,140300,141300,142500,143300,143800,144300,144900,145700,146400,147100,147500,148100,149200,150200,151200,152200,152900,153400,153900,154400,155100,155900,156900,158100,159100
36,"North Carolina",10,91700,91900,92000,92300,92600,92900,93100,93400,93700,94300,94900,95400,96100,97000,97700,98200,98800,99500,100100,100600,101200,101800,102500,103200,103800,104200,104900,105700,106300,106600,107300,107900,108400,108600,108800,109400,109900,110400,111100,111600,111900,112300,112600,112600,113100,113700,114200,114600,115000,115500,115900,116100,116300,116900,117600,118200,118500,119100,119700,119900,119900,120100,120200,120200,120400,120600,120800,121000,121100,121300,121500,121900,122100,122200,122300,122800,123200,123200,123400,123900,124300,124500,124500,124700,125100,125600,125700,125800,126000,126300,126600,126900,127200,127600,128000,128400,128600,128900,129400,129900,130400,130900,131500,131900,132300,132700,133500,134100,134600,135100,135700,136500,137300,137900,138500,139300,140200,140800,141200,141600,142200,142800,143400,144000,144500,145100,145500,146000,146500,146900,147300,147900,148400,148900,149300,149700,150400,150900,151200,151300,151300,151200,151100,151200,151200,151300,151200,151100,150800,150400,149900,149100,148600,148700,148600,148300,147900,147500,147100,146500,146000,145700,145400,145300,145000,144400,143700,143100,142600,142100,141500,141000,140400,140000,139600,139300,139000,138700,138300,137800,137400,137100,137100,137000,136600,136000,135600,135400,135300,135200,135300,135400,135300,135200,135100,135200,135300,135500,135800,136000,136200,136400,136700,137000,137300,137700,138100,138400,138800,139200,139600,139700,140000,140300,140600,140900,141100,141200,141300,141400,141400,141600,141700,141900,142000,142200,142700,143100,143500,144200,144900,145500,145900,146300,146800,147500,148000,148200,148500,149100,149800,150600,151100,151700,152500,153400,154400,155600,156500,156900,157600,158800,159500,160200,160900,161700,162600,163600
