"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
9,"California",1,95100,94900,94500,94400,94400,94200,94100,94100,94200,94400,94800,95400,95800,95800,95800,96100,96300,96700,97100,97500,97800,98400,99400,99100,98900,100300,101700,101500,101700,102300,102700,103100,103700,104200,104700,105600,106300,106600,107100,108000,108700,109400,110300,111400,112400,113700,115000,116100,117300,118500,119500,120800,121700,122500,123800,125100,126400,127800,129000,130300,131700,133100,134500,135800,137000,138300,139500,140600,142100,143600,145200,147000,148900,150600,152300,154400,156900,159400,161700,164200,166900,169600,172200,174800,177300,179700,182300,185000,188000,191200,194700,198500,202500,206600,210800,215500,220600,226400,232600,239100,245300,251300,257100,262600,267500,272200,277400,282800,287900,292800,298000,303600,309200,314300,318900,323400,327000,329100,330600,332200,333800,334900,335200,334900,333800,332100,330200,328100,325400,322600,320500,319000,316900,314300,311300,307700,303700,299400,295000,290300,284900,279200,273100,266300,258600,250900,243600,236600,230000,223800,217700,211400,205800,201200,196500,191400,186700,182500,178600,174800,171400,168500,166100,164000,163400,163800,163700,163100,163100,162900,162100,161400,160700,160000,159100,158200,157300,155900,154400,153500,152400,151000,149600,148300,147100,146200,145700,145400,145200,144800,144700,144800,144900,145500,146400,147600,148900,150400,152100,153800,155600,157700,160000,162800,166100,170000,174300,178500,182600,186900,190800,194300,197100,199600,202000,204500,206600,208600,210600,212700,214500,216100,217600,219100,220000,220600,221800,223500,225000,226500,228100,229700,231200,232800,234700,236500,237900,239200,240500,242000,244000,245800,247400,249300,251100,252700,254600,256800,258400,259600,261000,262900,265200,267300,269400,271400,273400,274900
43,"New York",2,60600,61500,61700,61800,61900,61700,62100,62900,63800,64200,64700,64900,65000,64800,64800,65000,65100,65200,65200,65200,65100,65200,65600,66300,66500,66400,66200,66100,66000,66000,65900,65700,65500,65600,66000,66300,66400,66500,66600,66700,66800,67000,67300,67400,67500,67900,68300,68700,69000,69200,69400,69500,69700,69900,70000,70100,70300,70400,70700,71500,72000,72000,71900,72100,72500,72600,72700,73100,73300,73000,71600,70100,69800,70300,70400,70300,70300,70600,70900,71100,71400,71500,72000,72600,72900,73700,75300,76700,77400,78000,78700,79300,80000,81200,82200,82600,82800,83100,83400,83800,84500,85200,85500,85800,86000,86200,86700,87500,88000,88300,88600,89000,89400,89900,90600,91300,91400,91300,91500,92100,92500,92800,93000,93200,93500,93700,94000,93900,95600,98800,100800,101100,101800,102300,102400,102800,103600,104100,104300,104700,104800,104600,104600,104800,105000,104900,104900,105300,105600,105700,105700,106200,104900,102400,101200,101700,101700,102000,102200,101900,101600,101500,101700,101700,102500,103800,104300,103900,103800,103900,103900,103600,103100,102900,103100,103200,103100,102900,102500,102400,102600,102800,102900,102700,102400,102000,101600,101200,101000,100900,100800,100700,100600,100200,100100,100300,100500,100600,100500,100600,100800,100900,101100,101600,102100,102400,102600,102900,103400,103900,104100,104100,103900,103900,104100,104200,104100,104000,103900,104000,104200,104300,104300,104300,104100,103900,103700,103700,103800,104300,105000,105800,106500,107000,107200,107400,107700,108000,108200,108300,108400,108600,108800,109000,109400,109900,110500,111300,111900,112800,113700,114500,114900,115300,115200,114900,114700,114700
14,"Florida",3,52500,52300,52000,51900,51900,51800,51800,51800,52000,52300,52500,52600,52800,53000,53000,53100,53300,53600,53700,54000,54300,54600,54900,55000,55100,55400,55500,55500,55600,55700,55900,56200,56300,56400,56700,57000,57400,57800,58100,58300,58500,58700,59000,59200,59500,59800,60100,60600,61000,61200,61600,62000,62200,62600,63000,63300,63700,64200,64800,65300,65500,65900,66400,66800,67400,68200,68700,69200,69800,70400,70900,71500,72000,72400,73000,73700,74300,74700,75300,76200,76900,77600,78400,79300,80000,80800,81600,82400,83100,84000,84800,85600,86500,87400,88400,89500,90700,92200,93900,95900,97900,99800,101800,104200,106600,108900,111200,114000,117200,120600,123600,126700,130100,133300,136300,139100,141500,143400,145200,147000,148700,150000,151000,151600,152000,152000,151900,151700,150800,149500,148400,147500,146500,145300,143800,142000,140300,138500,136700,134900,132600,129800,126900,124300,121600,119000,116400,113800,111000,108200,105600,102700,100100,98500,97000,95000,92700,90300,88100,86000,84200,82700,81200,79400,78900,79200,78700,77000,75600,74600,73800,73000,71900,70800,69800,69100,68200,67000,66100,65500,64800,64100,63400,62700,62300,62000,61700,61400,61100,60900,60900,61200,61600,62000,62400,62800,63100,63500,63800,64400,65000,65400,65900,66500,67200,67900,68600,69400,70400,71200,72000,72700,73200,73500,74000,74600,75000,75700,76300,76900,77400,78000,78800,79700,80400,80700,81200,81900,82900,83800,84800,85900,87100,88100,89200,90300,91200,92000,92900,94100,95400,96800,98200,99600,101000,102300,103900,105500,106900,108000,109000,110100,111300,112600,113700,114800,116000,117000
21,"Illinois",4,63700,63800,63900,64000,63800,63100,62400,62100,62600,63700,64200,63900,63600,63500,64000,64200,64100,64200,64600,64800,64900,65000,65000,64900,65100,65400,65600,65900,66200,66500,67000,67400,67700,67900,68400,68900,69100,69200,69400,69700,70000,70200,70500,70800,71000,71100,71400,71700,72000,72400,72800,72900,73200,73600,74100,74200,74300,74400,75100,75800,76200,76300,76400,76300,76500,77000,77200,77300,78000,78700,78900,79100,79500,79700,79800,79800,79800,79900,80100,80600,81100,81200,81600,82100,82400,83000,83500,83700,83500,83500,83700,84400,84900,85400,85800,85700,85900,86200,86500,87500,89000,89800,90200,90600,90600,90400,90500,90800,91100,91100,90900,91500,92200,92300,92100,92500,93000,93400,93600,94100,94500,94500,94500,94100,94700,96400,97700,97600,97500,97100,96800,96700,97000,98500,100600,101400,100700,99400,98800,98500,98700,99500,100000,99600,99400,99200,98800,98600,98600,98400,98000,97600,98200,99800,101100,101300,100900,99900,98900,98200,97900,97700,97300,97100,94800,91200,89000,88800,88300,88000,87500,86400,85300,84600,84200,83600,83300,83100,82700,81900,81000,80000,79100,78500,77900,77300,77000,76500,76000,75700,75300,74700,74300,74000,73900,73800,73700,73500,73300,73300,73400,73500,73300,73300,73600,73800,74100,74400,74600,74600,74400,74300,74300,74400,74400,74500,74700,74600,74500,74600,74700,75000,75100,75200,75500,75800,76000,76200,76500,76600,76700,76900,77200,77400,77500,77800,78200,78500,78800,79000,79200,79500,79900,80300,80600,80800,81100,81700,82300,82800,83200,83500,83500,83500,83700,83900,84000,84200
47,"Pennsylvania",5,46800,46600,46600,46500,46200,46000,46100,46100,46200,46200,46300,46300,46500,46600,46600,46600,46800,46900,46800,46800,47200,47400,47500,48000,48400,48400,48300,48300,48200,48200,48300,48300,48300,48500,48800,48900,49000,49300,49600,49700,49600,49600,49700,49700,49700,49800,49900,49900,49900,49900,50000,50300,50500,50600,50700,50700,50900,51300,51700,51900,52200,52300,52400,52400,52700,53300,53800,54300,54400,54500,54800,55100,55300,55400,55400,55500,55900,56200,56500,56900,57400,57700,57700,57900,58400,58800,59200,59800,60400,60700,61000,61300,61500,61600,61900,62200,62600,63100,63500,63900,64400,64900,65500,66000,66200,66500,66900,67500,68000,68800,69500,70100,70700,71300,71600,71900,72100,72300,72500,72700,72900,73200,73700,73900,73900,73700,73600,73800,74100,74500,75100,75300,75100,75100,75300,75500,75500,75600,75700,75700,75600,75500,75400,75600,75800,75900,75800,75700,75600,75700,75900,75700,75900,76400,76700,76500,76300,76000,75700,75700,75600,75300,75000,75000,75100,75200,75100,74900,74800,74700,74500,74200,73900,73700,73800,73900,73800,73600,73500,73400,73400,73200,72800,72600,72700,72700,72500,72400,72200,72000,71900,71900,72000,71900,71800,71800,71700,71800,71900,72200,72500,72600,72400,72200,72300,72500,72700,72700,72900,73100,73100,73100,73000,72800,72700,72800,72700,73100,73300,73400,73500,73700,73700,73600,73500,73700,73800,73900,74200,74500,74800,75200,75500,75700,76000,76200,76300,76300,76600,77100,77400,77500,77900,78600,79000,79200,79500,79900,80100,80500,81100,81600,81900,82300,82700,83000,83400,83800
44,"Ohio",6,53500,53400,53500,53800,53900,53900,54000,54300,54500,54500,54600,54700,54900,55200,55400,55600,55900,56200,56400,56700,56900,57300,57500,57800,57900,58100,58300,58400,58500,58800,59100,59300,59600,59900,60200,60400,60600,60900,61300,61500,61800,61900,62000,62300,62500,62600,63000,63400,63600,63800,64000,64300,64500,64700,65000,65200,65400,65500,65800,66100,66200,66500,66700,66800,66800,66900,67200,67300,67500,67900,68000,68100,68400,68400,68500,68800,69100,69300,69500,69500,69500,69600,69900,70000,70100,70500,70900,71100,71200,71500,71700,72100,72400,72500,72600,72900,73100,73300,73400,73500,73800,73900,73800,74100,74500,74600,74600,74700,74900,75100,75300,75400,75400,75600,75700,75800,75800,75800,76100,76200,76000,76000,75900,75900,76000,76100,76000,76000,76100,75800,75600,75500,75600,75400,75000,74700,74700,74600,74200,73800,73500,73200,72800,72500,72200,71700,71200,70800,70300,69900,69600,69100,68600,68300,67900,67400,66900,66400,66100,65900,65500,65400,65400,65200,65300,65600,65700,65300,65000,64800,64800,64500,64100,63600,62900,62600,62200,61700,61200,61000,60700,60400,60100,59900,59600,59300,59100,58800,58700,58500,58300,58300,58400,58600,58700,58500,58400,58400,58400,58300,58100,58100,58100,58300,58200,58300,58400,58500,58600,58700,58900,59000,58900,58800,58900,58900,59000,59100,59300,59500,59600,59700,59800,60000,60200,60300,60300,60500,60900,61200,61300,61500,61900,62200,62500,62800,63000,63000,63100,63200,63400,63400,63700,64100,64500,64900,65400,65800,66200,66800,67200,67500,67800,68200,68400,68900,69400,69900
30,"Michigan",7,54000,53600,53700,53900,54400,55400,55900,55900,56000,55800,55400,55000,54800,55100,55300,55600,55900,56000,56300,56800,57100,57200,57400,57500,58000,58500,58700,58800,58800,58700,59100,59600,59900,60400,61000,61100,61200,61800,62500,63000,63300,63500,63400,63500,63900,64600,65300,66300,67100,67300,67300,67400,67500,67600,67800,68100,68500,68800,69200,69600,70000,70300,70600,70900,71300,71500,71600,71600,71600,71700,72100,72400,72500,73000,73400,73800,74300,74900,75300,75700,76000,76200,76200,76300,76400,76400,76600,76900,77300,77700,78100,78200,78400,78800,79300,79400,79400,79600,79900,80100,80200,80400,80600,81000,81300,81400,81400,81600,81900,82000,81900,81900,82000,82100,82300,82400,82400,82300,82100,81500,81000,80900,81200,81300,81000,80600,80400,80400,80000,79500,79400,79400,79200,78600,77900,77500,77200,76800,76500,75900,75300,74900,74200,73300,72400,71800,70800,69500,68500,67800,66700,65400,64900,65200,65100,64400,63600,62700,61500,60200,58900,57700,56600,56100,54800,52900,51400,50800,50200,49700,49200,48700,48300,47700,47000,46500,46200,46100,45900,45700,45400,45200,45100,44900,44800,44600,44500,44400,44400,44400,44400,44400,44500,44400,44500,44700,44800,45100,45500,45600,45400,45400,45500,45700,46100,46500,46900,47500,48100,48400,48700,49000,49400,49800,50000,50000,50100,50400,50800,50900,51100,51500,51900,52200,52300,52400,52200,52300,52600,52800,52900,53200,53300,53700,54100,54500,54900,55300,55800,56200,56500,57000,57700,58500,59100,59500,60100,60900,61700,62200,62900,63500,63900,64200,64400,64900,65600,66400
16,"Georgia",8,57200,57200,57200,57300,57400,57800,58000,58000,58000,58300,58700,58700,58900,59500,60000,60200,60500,60900,61200,61600,62000,62200,62300,62700,63000,63200,63500,64000,64400,64500,64700,65000,65400,65800,66100,66400,66800,67000,67400,67900,68400,68700,69000,69300,69600,70000,70600,70900,71100,71400,71900,72300,72300,72400,72800,73400,73800,74100,74500,74900,75400,75900,76200,76400,76600,76800,76700,76900,77200,77500,77700,77900,78100,78200,78300,78500,78800,79200,79600,80000,80200,80400,80600,80700,81000,81300,81900,82300,82500,82800,83000,83100,83300,83600,83900,84300,84700,84800,84700,84800,85300,85700,86000,86600,87000,87200,87500,88000,88400,88900,89200,89500,89800,90400,90900,91300,91700,92000,92200,92300,92500,92600,92900,93200,93600,93800,94100,94400,94400,94100,94000,94000,94000,94100,94300,94400,94400,94400,94400,94200,93700,93300,93200,93000,92400,91600,90900,90400,89700,88800,87600,86300,85600,85700,85600,84700,83700,82800,81900,81200,80600,80100,79600,79100,79100,78900,78200,77800,77800,77800,77400,76600,75400,74200,73300,72500,71500,70300,69300,68600,67800,66900,65900,65000,64300,63700,63200,62500,61700,61000,60600,60300,60000,59700,59500,59300,59200,59300,59600,59900,60200,60600,61000,61100,61300,61600,62300,63000,63700,64000,64400,64900,65400,65700,65900,66200,66600,66900,67100,67300,67900,68200,68200,68300,68600,68800,69100,69400,69700,70300,71000,71500,71800,72300,73000,73800,74300,74500,74800,75200,75700,76000,76200,76500,76900,77700,78400,78800,79200,79600,79700,79900,80200,80600,81300,82200,83100,83900
36,"North Carolina",9,54700,54800,54800,55000,55200,55100,55000,55000,55100,55400,55700,56000,56300,56600,57000,57300,57500,57900,58400,58800,59100,59400,59800,60000,60100,60200,60600,61100,61400,61600,61900,62300,62600,62900,63200,63400,63600,64000,64400,64600,64800,64900,64900,65200,65400,65500,65600,65800,65900,66100,66300,66500,66800,67200,67700,68000,68300,68500,68800,68900,69200,69500,69700,69700,69800,70000,70200,70400,70600,70700,70800,71100,71200,71200,71200,71400,71500,71500,71600,71700,71900,72300,72500,72900,73400,73500,73500,73400,73600,73900,74000,74000,74100,74200,74300,74300,74400,74900,75300,75400,75400,75500,75700,76000,76100,76300,76700,76800,77000,77200,77300,77700,78200,78700,79000,79400,79700,79800,79800,80100,80200,80200,80400,80800,81000,81100,81100,81200,81200,81100,81100,81400,81600,81900,82200,82500,82700,82800,82900,83000,83100,83300,83300,83500,83700,83900,83900,83900,83800,83700,83700,83600,83700,84200,84600,84400,84100,83900,83700,83400,83200,83300,83300,83100,82900,82900,82700,82300,82000,81800,81600,81300,81000,80900,80600,80200,79900,79400,79200,79000,78800,78600,78700,78600,78300,78000,78000,77900,77800,77600,77500,77400,77300,77200,76900,76900,76900,76800,76800,76900,77000,77100,77300,77400,77400,77400,77300,77500,77700,77700,77600,77600,77700,77700,77800,78100,78300,78200,78200,78100,78000,77800,77700,77700,77700,77700,77800,77900,78300,78800,79100,79300,79600,79900,80300,80800,81000,81000,81100,81400,81700,82200,82500,82600,82900,83700,84600,85500,85900,86200,86500,87000,87400,87800,88300,89300,90400,91200
40,"New Jersey",10,88500,87900,87400,86800,86300,86100,86100,85900,85800,86000,86400,86700,86900,87000,87300,87500,87600,87600,87600,87800,88100,88500,89000,89400,89700,89900,89800,89800,89900,90100,90300,90600,91000,91300,91800,92400,92800,93100,93600,94300,95000,95600,96200,96600,97200,97700,98400,99000,99500,100200,100800,101400,102200,103100,103900,104600,105500,106400,107100,107700,108500,109600,110700,111900,113000,114000,115000,116000,117100,118200,119200,120400,122000,123500,124900,126300,127700,129000,130400,132000,133800,135500,137100,139100,141100,143000,144700,146500,148500,150400,152200,154200,156000,157700,159700,161600,163500,165500,167700,169900,172200,174700,177500,180300,182800,185200,187600,190100,192500,194900,197500,200300,202800,205300,207700,210000,212200,214000,215700,217100,218500,219800,220900,221500,222000,222400,222400,222200,221600,221100,221000,220900,221000,221000,220700,220200,219600,218900,218200,217500,216600,215400,214200,213200,212000,210600,209100,207700,206200,204800,203300,201300,199900,199600,199300,198000,196400,194700,193100,191600,190300,189100,188000,187400,186700,185700,184400,183100,181800,180700,179700,178500,177000,175600,173900,172600,171600,170500,169300,167800,166400,165200,164100,162900,161600,160400,159300,158100,156900,155900,155100,154700,154400,154100,153600,153300,153200,153200,153100,153000,152800,152600,152700,153100,153400,153600,154000,154400,154900,155200,155700,156200,156600,156500,156300,156500,157000,157300,157700,158100,158300,158400,158400,158300,158000,158100,158200,158000,158200,158700,159200,159800,160300,160500,160600,160800,160800,160800,161000,161400,161600,161600,161800,162500,163300,164100,164600,165400,166700,167800,168400,168700,169100,169700,170000,170000,170200,170500
