"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
9,"California",1,136100,135300,134700,134300,134100,134000,133900,133900,134200,135000,135900,136600,137100,137600,137900,138400,138900,139600,140600,141800,143100,144600,146100,147100,147400,147600,148900,150800,152400,153400,154700,156100,157400,158600,159700,160700,161900,163600,165400,166900,168500,170200,172200,174500,176700,179000,181400,183900,186600,189600,192200,194500,197000,200000,202800,205700,208500,211600,214800,217800,220600,223000,224900,226600,228400,230300,232200,234200,236200,238400,240700,243000,245600,249000,252500,256200,260400,264400,268000,271500,275000,278200,281500,284700,287500,290100,293100,296600,300300,304500,309000,314100,319800,325700,331800,338700,346900,356000,364900,372700,379300,385000,389900,394000,398300,402700,407400,412400,417300,421600,425900,431000,436200,441000,445400,449600,452200,453300,454100,454900,455300,455100,454600,453800,452800,451400,449600,447600,444900,442100,440000,438400,436500,434400,431600,428600,425700,422100,418500,415000,409700,403200,396300,389400,382000,375200,368600,362200,355700,349800,344400,339100,334200,330800,327900,324800,321300,317900,315000,312700,311100,309900,308800,307300,309800,314200,316100,314900,314200,312800,310900,308900,307400,305700,303800,302100,299900,297000,294400,292500,290000,287600,285400,282900,280000,277600,276100,275300,274200,273200,272300,271800,272100,273300,275100,277400,280100,283000,286400,290400,294200,297600,302100,308900,316800,325400,333900,341200,347000,352300,356900,360600,362700,364100,366500,369500,371800,373500,375400,377700,379800,381800,384100,386400,388000,389600,391900,394700,397200,399700,402300,404900,407300,410400,413500,416300,418400,420700,423100,425500,427600,429000,429800,431300,433800,436900,440200,443400,446100,448200,450100,452400,454800,457200,459400,461800,465100,468200
43,"New York",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,461000,468300,463900,441500,414000,398300,400400,414700,418600,409500,400300,398000,401300,406200,410800,417800,420300,418700,421400,429100,434500,436300,434500,433200,434300,434000,434900,440900,442400,438400,436300,439200,442400,444200,441100,439100,442100,445800,448100,451700,451000,446500,444400,445400,444500,443200,446200,451600,453500,451300,450200,450400,449200,444800,439600,436100,432900,429600,425100,420800,417900,416000,415100,413700,422800,439000,447900,447000,449100,451400,452200,451300,450000,450100,451600,454400,455600,454600,454400,456200,457000,457200,457600,458200,458700,459700,459200,457800,454000,450200,450500,453800,454900,454500,454200,455700,459000,461500,464100,467100,468300,468500,469400,471900,475200,479400,483800,488700,493600,500300,506600,511400,514400,517700,520600,523000,525100,527400,528600,528500,528900,529900,531400,534500,536200,536300,538500,542800,545900,551300,560200,569400,576100,582200,588600,593600,595800,598200,601400,604600,606900,609400,612400,615700,621700,629400,635900,642400,647900,652700,658900,667400,682300,706000,727200,739800,746600,750400
14,"Florida",3,70600,70800,70800,70800,70700,70600,70500,70600,70600,70800,71200,71500,71700,71900,72100,72300,72500,72600,72900,73100,73400,73800,74400,74800,75000,75100,75000,75000,75100,75300,75600,76000,76300,76600,76900,77300,77700,77900,77900,77900,78200,78600,79100,79500,79800,80300,80900,81500,81900,82100,82700,83500,84100,84500,84900,85500,86000,86700,87400,88200,89000,89900,90800,91800,92800,93700,94600,95600,96700,97800,98900,100000,100900,102000,103300,104800,106200,107600,109100,110600,112000,113400,114600,115800,117300,119000,120500,121800,123100,124500,125900,127500,129100,130800,132600,134700,137000,139400,142000,145000,148100,151400,154500,157900,161500,164900,168700,173200,178000,182900,188000,192900,198000,202900,207600,211900,215500,218500,220900,223000,224600,225500,225600,225300,224700,223900,222600,221100,219200,217400,215800,213900,211500,209000,206600,204200,201700,199100,196300,193300,189800,185800,181600,177300,172900,168700,164700,160900,157000,152700,148400,144400,140900,138200,135600,132700,129700,126900,124500,122100,120100,118400,117100,115900,115500,115700,114800,112800,111500,110600,109600,108300,107000,105700,104600,103600,102200,100700,99900,99900,99800,99300,98500,97600,96800,96400,96200,95900,95800,95700,95900,96600,97400,98300,99200,100100,101100,102000,102800,103900,105400,106800,107900,109100,110500,111800,113300,115000,116500,118100,119600,121000,122100,123100,124000,124900,125700,126600,127600,128500,129400,130500,131600,132600,133300,133900,134900,136400,137900,139400,140900,142400,143600,144700,145900,147100,147900,148700,149600,150600,151400,152100,153400,155100,156500,157600,159000,160200,161000,161600,162100,162500,162700,163100,163600,164400,165400,166500
21,"Illinois",4,106700,106700,106700,107100,107400,107500,107500,107800,108300,108900,109200,109400,109700,109900,110000,110200,110700,111200,111400,111500,111700,112200,112900,113200,113200,113600,114200,114900,115400,116000,116700,117400,117600,118000,118500,119100,119800,120700,121400,122200,123100,124100,125100,126100,127000,128000,129300,130900,132400,133800,135100,136000,136500,137000,137800,139100,140900,142200,142700,143400,144700,146700,148500,150200,151800,153400,154400,155500,157200,158700,159800,161100,161900,162000,162000,162000,162400,163400,164900,166100,167000,167700,169000,170500,172000,173700,175900,177600,178500,179100,179200,179100,179100,179700,180300,181100,181800,182100,182100,182900,184400,185800,187000,187900,188800,189700,191200,192600,193800,195100,196800,198200,199000,199200,199900,200800,201600,202600,203500,203800,203900,204200,204500,204900,205400,205600,205900,206500,207000,207200,207400,207500,207400,206900,206500,206400,206200,206300,206600,206700,206800,207000,206700,205700,204800,203500,201700,200100,199400,198800,198000,196700,195800,195100,194100,192900,191300,189000,187000,185800,184500,183800,183300,183200,181200,178300,175900,174500,173500,173200,172400,170200,167800,166000,164500,162500,161000,160400,159500,157900,155700,153900,152200,150600,149000,147000,144500,142400,141100,139900,139100,138000,137500,137200,137200,137100,136800,136100,135500,135500,135600,135100,134600,135500,136700,137400,138600,140200,141300,142100,142600,142700,143100,143700,144100,144200,144300,144500,144800,145300,146500,147700,148500,149300,149600,149700,150000,151000,152400,153600,154200,154700,155000,155300,155600,156000,156200,156000,156200,157300,158400,159100,160300,161900,162900,163500,164800,166400,168200,169900,171100,171300,171300,172200,173300,173500,173600,174100
47,"Pennsylvania",5,53600,53500,53300,53100,53100,53000,53000,53000,53000,53100,53200,53200,53200,53200,53200,53200,53100,53100,53200,53200,53100,53400,53900,54300,54400,54400,54400,54200,54100,54100,54400,54600,54700,54800,54900,55100,55200,55200,55100,55300,55500,55600,55500,55700,56000,56200,56400,56600,56700,56800,57000,57200,57300,57500,57700,57600,57700,57800,57900,58100,58400,58600,58700,58900,59200,59700,60200,60700,61300,61900,62300,62500,62900,63400,63900,64500,65200,65700,66200,66800,67200,67600,68200,68800,69400,70300,70900,71500,72200,72700,73200,73900,74800,75600,76400,77400,78100,78900,80000,81100,82300,83400,84800,86300,87600,88800,90200,91700,93100,94600,96400,98100,99500,101100,102800,104400,105900,107000,108000,109000,110300,111700,113000,114000,114800,115400,115800,116100,116200,116300,116600,117300,117900,118300,118700,119400,120200,120700,120600,120100,119300,118800,118800,118700,118300,117900,117500,117300,117200,116900,116600,116300,116100,116200,116300,116200,116000,115600,115500,115600,116000,116400,116600,116800,118300,120100,120500,120400,121100,121700,121800,121000,119400,118100,117900,118100,117700,117000,116600,116400,116200,115600,114500,113800,114000,114500,114500,114100,113100,112500,112200,111800,111200,111000,111000,111000,110800,110500,110500,111100,112000,112400,112400,112500,112800,113000,112800,112300,112100,112200,112000,112200,112400,112700,112900,113100,113200,113800,114500,114800,114900,114900,115200,115600,115600,115300,115200,115500,116100,116700,117500,118500,119300,120000,120600,120600,120500,120700,121500,122400,122600,122300,123400,125300,126500,126900,127400,127800,128400,129200,130000,130400,130600,131200,131600,132000,132900,134000
44,"Ohio",6,83100,83700,84200,84700,85000,85200,85400,85600,85600,85800,86000,86200,86300,86300,86400,86800,87300,87600,87900,88400,88900,89200,89600,89800,90000,90200,90300,90200,90300,90500,90700,90900,91300,91600,92100,92700,93200,93400,93600,93900,94200,94600,94700,94800,94800,95200,95800,96300,96700,97200,97800,98300,98600,98700,99000,99300,99700,100000,100200,100600,100900,101200,101400,101700,101900,102100,102400,102700,103100,103500,103800,104000,104300,104500,104700,104800,105200,105700,106100,106400,106800,107300,107600,107900,108300,108900,109300,109800,110200,110500,110800,111200,111800,112100,112400,112700,113000,113200,113400,113700,114200,114600,115100,115800,116200,116500,116800,117100,117500,117700,117800,118000,117900,117900,118200,118400,118400,118400,118700,118800,118700,118700,118800,118800,118600,118600,118500,118300,118000,117800,117700,117500,117300,116900,116700,116500,116300,116000,115800,115600,115300,114900,114200,113700,113100,112600,112200,111900,111800,111600,111100,110400,109800,109500,109200,108800,108400,108000,107400,106700,106300,106000,105900,105500,105100,104800,104400,103700,103100,102800,102500,102100,101500,100800,99900,99300,98700,98100,97400,96900,96900,96900,96500,96000,95600,95100,94400,93900,93500,93100,93000,93000,92700,92500,92500,92500,92500,92500,92300,92100,92000,92100,92200,92400,92600,92700,92800,93100,93400,93600,94200,94900,95200,95400,95900,96500,96800,96800,96900,97400,97400,97100,97100,97500,98000,98300,98600,98800,99100,99800,100400,100700,101100,101900,102800,103400,103600,103700,103900,104400,104800,105300,105700,106000,106300,107000,107800,108700,109700,110600,111100,111400,111400,111400,111700,112400,113400,113900
30,"Michigan",7,114300,114300,114700,115700,116000,115600,115500,116200,116800,117400,118200,119200,120000,120400,120700,121000,121900,123100,124000,124700,125500,126300,127000,127700,128400,129200,130000,130600,131200,131800,132700,133600,134300,135200,136500,137400,138100,138900,139900,140600,141600,142800,143700,144300,145200,146500,147700,148800,150000,151200,151800,152400,153000,153900,154900,155800,156500,157000,157300,157800,158300,158900,159800,160800,161400,161800,162200,162400,162600,162900,163300,163700,164200,164800,165400,165900,166300,166700,167100,167900,168700,169100,169300,169600,169600,169700,170000,170600,171200,171600,171900,172300,172600,172900,173400,174000,174400,174600,174600,174500,174500,174800,175000,175000,175000,175200,175400,175700,176100,176600,176600,176500,176400,176300,176200,175900,175500,175200,174800,174200,173700,173300,172700,172000,171000,170100,169400,168600,167500,166400,165400,164400,163400,162500,161500,160400,159100,157700,156100,154800,153800,152400,150600,148600,146500,144400,142500,140700,139200,137400,135200,132800,131100,130300,129600,128100,126300,124400,123000,122100,121300,120600,120000,119800,119200,117900,116700,116200,115900,115700,115300,114500,113600,113000,112900,112800,112400,111900,111600,111400,111300,111300,111400,111400,111500,111900,112200,112100,112400,112900,113500,114300,115400,116400,117300,118200,119200,120100,121100,122400,123400,124300,125500,126900,128200,129300,130500,132000,133700,135500,137100,138700,140000,141100,142000,142900,144000,145400,147000,148200,149100,149900,150700,151400,152100,152800,153700,154700,155400,156100,156800,157400,158000,158900,159700,160500,161100,161800,162500,163400,164100,164800,165700,166600,167400,168000,168800,169800,171000,172000,173200,174300,175300,176100,177000,178200,179300,180100
16,"Georgia",8,89300,89600,89300,89100,89000,88800,88800,89000,89300,89800,90600,91100,91400,92100,92700,93500,94300,94900,95500,96000,96300,96800,97500,98100,98600,99100,99600,100400,101500,102700,103500,104300,105500,107000,108400,109400,110100,111300,113100,114800,116000,117200,118500,120000,121400,122600,123600,124600,125800,127300,128400,129200,129700,130400,131100,131800,132300,133100,134200,134700,134800,135400,135900,136400,137000,137700,138300,138800,138900,139000,139400,140100,140700,141000,141200,141700,142300,143000,143300,143800,144400,144900,145000,145200,145700,145900,145900,146000,146000,145800,146000,146300,146700,147100,147800,148500,148800,148900,149300,149900,150300,150600,151000,151300,151900,152500,153000,153400,153700,154200,154700,155200,155800,156600,157500,158400,159100,159800,160400,160600,160900,161500,161800,161800,162100,162300,162600,163100,163200,163000,163100,163200,163300,163300,163400,163200,162800,162200,161800,161200,160500,159700,158900,157900,157000,156000,155000,154200,153200,151900,150200,148000,146200,144800,143500,142000,140600,139000,137400,136200,135300,134700,134100,133600,133300,133000,132400,131700,131300,130800,129900,128200,126400,124900,123500,122000,120300,118400,116700,115200,113400,111700,110500,109200,107900,106900,105800,104900,104300,103700,103400,103400,103400,103100,103500,104800,106000,106600,107400,108400,109200,110000,110900,111500,112400,114000,115400,116600,117800,118800,119400,120100,121100,121900,122400,123000,124000,124700,125000,125200,125500,126300,127300,128200,129000,130000,131200,132600,133900,135300,136800,138200,139300,140500,142100,143600,144600,145400,146400,147600,148700,149700,150500,151400,152000,153000,154400,156100,157300,158400,159400,160300,161300,162800,164200,165200,167200,169700
36,"North Carolina",9,85800,86400,86600,86700,87100,87600,88000,88000,88200,88900,89600,90200,90900,91600,92300,92900,93300,93600,94100,94700,95600,96500,97100,97500,97800,98000,98500,99200,99900,100700,101600,102500,102900,103000,103300,103900,104600,105200,105800,106500,107200,107500,107600,107800,108200,108600,108900,109200,109500,109800,110100,110500,110600,110800,111200,111700,111800,112100,112900,113500,113300,113500,113700,113700,113700,114000,114000,114000,114100,114400,114700,114800,114800,114900,115000,115300,115400,115300,115400,115800,116300,116500,116600,116600,116800,117200,117300,117300,117600,117900,118200,118600,119000,119500,119700,119900,120200,120400,120500,120800,121300,121800,122200,122600,123000,123400,123900,124600,125200,125700,126200,127000,127700,128400,129100,129800,130400,131000,131600,132200,132800,133400,134100,134800,135600,136400,137200,137800,138400,139000,139700,140400,141100,141900,142500,142800,143100,143200,143400,143500,143400,143200,143100,142900,142900,142800,142700,142500,142300,141800,140900,139900,139100,138200,137200,136400,135400,134400,133500,132800,132200,131800,131500,131200,130700,130100,129500,128800,128000,127200,126700,125900,124800,123900,123200,122600,122100,121700,121200,120600,120100,119700,119100,118800,118500,117900,117200,116800,116500,116400,116200,116000,116200,116500,116800,116700,116900,117100,117400,117500,117900,118200,118700,119100,119500,119700,120100,120400,120700,120900,121200,121400,121700,122000,122200,122300,122200,122200,122400,122600,122600,122600,123000,123400,123500,123500,123900,124400,125000,125300,125500,125800,126100,126200,126500,127200,127900,128300,128700,129300,130000,130600,131300,132000,132800,133900,135000,135800,136500,137300,138100,138900,139900,141000,141700,142400,144100,146100
40,"New Jersey",10,95400,94000,92800,91900,91200,90700,90100,89500,89400,90000,90700,91200,91400,91500,92000,92700,93300,93700,93900,94000,94300,94800,95300,96000,96800,97400,97900,98100,98500,99200,100000,100700,101300,102100,102800,103300,103900,104800,105500,106400,107500,108400,109400,110700,111500,112300,113200,114400,115400,116600,117900,119200,120100,120900,122300,124100,125500,126600,127700,129000,130200,131400,132600,134000,135700,137600,139500,141200,142900,144800,146600,148400,150400,152900,155500,157800,160200,162500,164400,166400,169000,171600,174000,176900,179600,181800,183900,186100,188400,190500,192400,194500,196800,199400,201900,204100,206600,210000,213500,216800,220500,224300,227800,231300,235000,237800,240700,244200,247600,250700,254300,257700,260800,263400,266100,269000,271200,272700,274100,275500,277000,278100,278900,279600,279900,280100,280100,279800,278700,278000,277700,277700,277700,277100,275600,273600,272000,270700,269800,268500,267700,266900,265500,264100,262900,261800,260500,259300,257700,256100,255000,253100,252900,255500,257800,257100,255800,254600,253400,252100,251000,249800,248500,248200,246500,243200,240600,239900,238500,236700,235200,234200,233200,231900,230100,228600,227300,225800,223700,221500,219700,218500,217400,216700,216100,215600,214700,213400,212000,210900,210000,209700,209700,210100,210500,210700,211000,211400,211500,211600,212000,212400,212500,212600,212500,212500,213000,213800,214300,214700,215500,216400,217000,217300,217600,217500,217700,218400,218800,218700,218700,219000,219400,219600,219700,219800,220300,221000,221800,222700,223800,224600,225200,225300,225200,225200,225600,226000,226400,226600,226800,226600,226300,226400,227300,228700,230400,232800,234800,236100,238100,241000,243100,244300,245500,247100,247900,248100
