"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
9,"California",1,162000,161900,161300,161000,160900,160800,160800,161200,161500,162100,162900,163800,164200,164200,164300,164700,165000,165700,166400,167300,168400,170000,172000,171500,171100,173100,176000,177000,178300,179200,180500,181900,183200,184300,185500,187200,188700,190100,191700,193600,195200,196900,198900,201000,203200,206000,208900,211800,214600,217100,219400,222000,224500,226900,229200,231800,234300,237000,239800,242800,245500,247800,249800,251800,254000,256500,258600,260700,263200,266000,268900,272000,275400,278900,282500,286500,291100,296000,300800,305300,309800,314200,318400,322700,327000,331000,334900,339200,344000,349200,354700,360800,367300,374000,381100,388900,397300,406700,416800,426700,435700,443700,451000,457600,463700,469600,475500,482100,488900,495400,502100,509400,516800,523300,529200,534800,539100,541500,543100,544800,546300,547200,547500,547000,545700,543900,541800,539800,537200,534600,532800,531200,528700,525600,521600,516700,511600,506200,500800,495100,487200,477900,467900,457100,445800,435300,425200,415100,405400,396400,388000,379500,372900,368700,365100,360600,356000,351300,347200,344100,341700,339800,338600,337500,338500,340800,342000,341800,342100,341700,340600,339300,338300,337000,335400,334200,332800,330600,328200,326100,323700,321800,319700,317700,315600,314100,313200,312700,312000,311300,311300,312200,313300,314900,317300,320100,322900,326000,329300,333200,337300,341300,345500,351300,358300,365800,373500,380400,386600,392100,396700,400400,403200,405400,407700,410400,412900,415100,417200,419400,421600,423900,426100,428200,429700,431100,432900,435300,437600,440000,442700,445600,448400,451500,454700,457500,459600,461900,464400,466900,469500,471600,474300,477700,480700,483700,487700,491700,494600,496600,498700,501700,505200,508700,511200,513200,515900,518600
54,"Texas",2,,,,,,,,,,,82000,82300,82600,82900,83500,84300,84900,85200,85300,85100,85200,85700,86100,86300,86600,86800,87000,87200,87500,88000,88400,88400,88400,88800,89400,90100,90800,91600,92300,92800,93300,94000,94800,95000,95000,95100,95200,95400,95900,96100,96200,96400,96800,97400,97800,98100,98200,98100,98200,98400,98600,98900,99300,99800,100200,100400,100500,100600,100800,101200,101700,102000,102300,102800,103300,103700,104200,104700,105400,105900,106100,106400,106600,106800,107000,107400,107800,108300,108600,108600,108600,108700,109200,110200,111700,113200,114500,115500,116400,117200,117800,118600,119200,119500,119900,120700,121300,121700,122100,122500,122800,122900,123200,123500,123800,124200,124700,125300,125900,126600,127200,127600,128000,128500,129000,129400,130000,130600,131100,131700,131900,132000,132600,133100,133600,134000,134100,134300,134400,134700,134800,134300,133000,131300,129800,128500,127600,127100,127300,127800,128400,128800,129600,130700,131700,132100,132500,133000,133400,133600,133600,133700,133500,133600,131600,128100,126300,126800,126600,126100,125900,125900,125600,125100,124600,124000,123900,124300,124600,124400,124200,123900,123300,122800,122500,122100,121700,121600,122100,122800,123200,123100,123200,123300,123400,123400,123500,123500,123600,123700,124200,125000,125700,126100,126700,127400,128000,128400,128800,129400,130200,130700,131300,132100,132800,133200,133800,134400,134900,135400,136100,136900,137600,138300,139100,139900,140800,141800,142800,143800,145000,146100,147200,148300,149600,150700,151800,152800,154100,155200,156200,157000,158400,160100,161100,161400,161900,162500,163000,163600,164100,164700,165900,168000,169700,170100,170400,170700
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,316500,315900,314900,313800,312100,310200,308400,306800,305200,303100,300600,298500,296800,294800,292500,292400,282400,266300,257600,257800,256300,254900,253200,251300,249800,248800,248100,247200,246500,246100,245300,243900,242500,241000,239600,238200,236800,235600,234600,233300,232700,232600,232100,231100,230600,230300,230000,229200,228100,227200,226500,225600,224800,224000,223200,222700,222100,221200,220800,221100,221500,221700,221600,221700,222400,223000,223200,223400,223800,224800,225500,225800,226200,226400,226600,226700,227000,227600,228000,227900,228100,228500,229200,230100,230500,230300,230300,230600,231300,232200,232700,232700,233100,233800,234600,235700,236800,237700,238300,238600,239500,240800,241600,242000,242500,242800,242700,242900,243800,245000,245600,246500,247700,249500,251800,254100,255600,256600,257200,257500,257600,257500
14,"Florida",4,92100,92100,92100,92000,92000,91900,92000,92300,92600,92800,93200,93700,94200,94600,94900,95200,95700,96100,96500,97000,97500,98100,98700,99200,99300,99500,99800,99900,100100,100400,100800,101300,101800,102200,102700,103400,104100,104600,105100,105500,106100,106800,107500,107900,108500,109400,110400,111300,111900,112500,113300,114100,114800,115400,116000,116800,117600,118500,119300,120000,120900,121800,122600,123600,124700,125600,126400,127200,128100,129100,130000,131000,132000,133000,134000,135100,136100,137200,138500,139800,141000,142400,143800,145000,146300,147500,148700,150100,151500,153000,154500,156300,158100,160100,162100,164100,166300,169000,172000,175200,178400,181700,185100,188700,192400,196200,200200,204900,210300,215900,221600,227400,233100,238400,243400,248100,252000,254600,257100,259900,262100,263300,263800,263800,263600,263100,262100,260800,259200,257200,255200,253100,251000,248800,246100,243000,240000,236900,233700,230800,227300,223000,218300,213900,209400,205200,201200,197500,193600,189700,186200,182200,178900,177400,176200,173800,170800,168100,165600,163400,161600,160100,158700,157400,156800,156400,155400,153800,152400,151200,150300,149200,147800,146500,145200,144000,142700,141300,140300,139800,139300,138700,137900,137200,136700,136200,135700,135400,135300,135300,135600,136200,137000,137900,138700,139500,140400,141100,141900,142900,143900,144900,146100,147700,149300,150800,152600,154300,156100,157900,159600,161200,162400,163400,164300,165300,166500,167500,168300,169100,170000,171200,172600,174100,175100,175900,176900,178400,180000,181500,183100,185000,186800,188600,190400,192100,193600,195000,196400,197900,199400,201100,203200,205500,207300,209200,211600,214000,215900,217300,218200,219000,219900,221200,222300,223400,224600,225800
21,"Illinois",5,116000,116500,116700,116200,115300,115100,115300,115500,116200,117500,118300,118400,118400,118500,118700,119000,119300,119700,120200,120500,120500,120700,120900,121000,121100,121300,121500,121600,121800,122300,122700,123100,123300,123700,124100,124600,125100,125700,126200,126700,127000,127400,128000,128700,129200,129600,130200,130900,131500,132100,132800,133100,133400,134000,135100,135900,136500,137200,137800,138500,139500,140100,140700,141600,142200,143000,144000,144900,145300,145800,146400,147200,147800,148400,149200,150000,150500,151200,152200,153400,154600,155700,156800,157900,159000,160300,161800,163100,163900,164500,165200,166000,166800,167500,168500,169400,170400,171100,171600,173400,176600,177700,177000,177300,178700,180000,181300,182500,183500,184200,185100,186200,186600,187300,189000,190600,191700,192900,194000,194600,195300,196200,197000,197300,198900,200800,201000,200100,200400,201000,201400,201600,201500,201800,202100,201300,199900,199300,199200,198800,198000,197500,196700,195400,194400,193300,192200,191100,189900,188600,187200,185900,184500,183200,181600,180100,178700,177000,175200,173700,172300,171100,170400,170000,168500,166100,164300,163300,162000,161200,160400,159000,157300,156000,155100,154100,153100,152400,151700,150900,149900,148400,146800,146000,145300,144300,143300,142500,141900,141400,140900,140500,140600,140700,141000,141400,141700,141600,141500,141700,141900,142000,142300,142700,143100,143800,144800,145700,146500,147300,147800,148000,148600,149400,149900,150100,150400,150700,150800,151000,151400,151700,151800,152100,152300,152600,152700,153000,153600,154200,154700,155200,155700,156100,156400,157000,157400,157800,158400,159100,159900,160700,161500,162100,162300,162600,163200,163700,164400,165400,166500,167300,167700,167800,168000,168000,168500,169100
47,"Pennsylvania",6,88500,88600,88800,88900,89000,88900,88800,88900,89200,89300,89600,90000,90200,90400,90600,90800,91000,91300,91500,91800,92000,92300,92600,93000,93400,93600,93600,93700,93800,93900,94200,94700,95200,95600,95700,95900,96000,96100,96300,96500,96700,96800,97100,97300,97500,97900,98600,99100,99400,99800,100300,101000,101500,101700,102000,102600,103000,103300,103800,104500,105000,105600,106100,106400,106800,107500,108000,108400,108800,109500,110100,110700,111300,111800,112400,113000,113700,114300,114900,115600,116400,117100,117700,118500,119400,120200,121100,121900,122800,123900,124900,125600,126600,127600,128300,129000,129700,130500,131500,132600,133700,134500,135500,136500,137500,138400,139500,140400,141400,142600,143700,144700,146000,147200,148400,149600,150600,151300,151900,152400,153100,153800,154500,155300,155900,156400,157000,157400,157500,157500,157900,158500,159200,159800,160100,160400,160500,160700,161000,161100,160900,160500,160300,160200,160100,160000,160000,159900,159800,159700,159200,158800,158900,159600,160400,160700,160400,160000,159400,158900,158700,158500,158100,157800,157900,158100,157900,157300,156900,156600,156200,155500,154800,154300,153700,153300,153100,152700,152100,151700,151200,150800,150400,150000,149700,149300,149200,148900,148500,147900,147700,147800,147800,147800,147900,148100,148300,148500,148900,149300,149600,149700,149700,149700,149900,150100,150200,150300,150300,150300,150300,150500,150400,150300,150400,150600,150900,151400,151700,151800,151800,151900,152100,152300,152300,152400,152500,152600,153000,153500,154100,154600,155200,155800,156000,156000,156200,156400,156600,157200,157500,157800,158300,158900,159400,159900,160500,161100,161700,162300,162700,162900,163200,163600,164300,164900,165500,165900
44,"Ohio",7,88600,88800,88900,89200,89400,89500,89700,90000,90300,90600,91000,91400,91700,92000,92400,92700,92900,93200,93600,93900,94300,94800,95100,95500,95800,96000,96100,96300,96700,97000,97300,97700,98100,98400,98900,99400,99800,100200,100700,101100,101600,102100,102400,102700,103100,103700,104300,104800,105200,105700,106200,106600,107100,107500,107800,108100,108500,109000,109300,109700,110000,110200,110500,111100,111400,111600,111800,112100,112400,112600,112900,113100,113300,113700,114100,114300,114700,115000,115300,115500,115900,116200,116500,116800,117400,117900,118300,118700,119000,119500,120000,120600,121000,121400,121700,121900,122100,122300,122700,123000,123200,123500,123900,124100,124300,124700,125000,125400,125800,125900,126000,126200,126400,126700,126900,127200,127300,127200,127400,127600,127600,127400,127300,127100,127000,127000,126900,126900,126600,126500,126300,126200,126000,125900,125500,125100,124700,124400,123900,123600,123200,122600,121900,121200,120600,120000,119500,119000,118600,118200,117800,117200,116800,116700,116600,116100,115700,115200,114800,114600,114400,114200,114100,113900,113900,114100,113900,113300,113100,113200,113300,113100,112700,112200,111500,110900,110400,109800,109200,109000,108700,108600,108400,108200,108000,107700,107400,107200,107000,106700,106600,107100,107400,107500,107700,107800,107900,108000,108200,108400,108400,108600,108700,109000,109100,109200,109300,109600,109900,110400,110700,110900,111300,111800,112000,112100,112400,112700,112900,113100,113300,113500,113800,114300,114500,114500,115000,115600,115900,116200,116700,117200,117700,118300,119100,119700,119800,119800,120200,120600,121000,121300,121600,122000,122400,122900,123500,124300,125200,126000,126500,126900,127300,127900,128300,128800,129600,130100
30,"Michigan",8,85300,84900,85200,86200,86100,85300,85100,85700,85900,85800,85700,85800,86400,87100,87500,87800,88200,88700,89300,90100,91000,91600,91800,91800,92200,93000,93600,93800,94500,95400,96400,96900,97400,98600,100000,101000,101900,103000,103900,104700,105800,106800,107500,108000,108500,109400,110300,111100,112000,112800,113500,113900,114400,115000,115500,116100,116900,117700,118600,119500,120000,120500,121300,122000,122500,122900,123100,123300,123500,123700,123900,124000,124400,124600,125100,125900,126700,127100,127700,128500,129200,129700,130100,130700,131000,131300,131500,131700,132000,132400,132800,133300,133600,134100,134700,134800,134900,135300,135600,135700,136200,137000,137400,137700,138000,138300,138500,138900,139400,139600,139700,139800,139900,140000,140200,140200,140100,139900,139600,139400,139100,138600,138300,138000,137400,136600,136200,136000,135700,135300,134900,134300,133700,133000,132100,131300,130600,129700,129000,128200,127100,125800,124300,122700,121300,119700,117900,116200,114800,113300,111400,109200,108300,108800,109000,108300,107300,106200,105300,104400,103400,102500,101800,101700,100300,97900,96300,95800,95200,94700,94500,94100,93400,92700,92200,91600,91000,90500,89900,89100,88400,88200,87900,87400,87000,87000,86800,86500,86400,86400,86500,86700,87300,87900,88200,88700,89300,89800,90500,91200,91600,92100,92800,93500,94200,95000,96000,97200,98300,99500,100400,101300,102100,102900,103800,104700,105500,106100,106900,107800,108700,109100,109500,110000,110700,111400,112000,112600,113200,113700,114200,114700,115200,115900,116400,117100,118100,118800,119400,119900,120500,121100,121900,122500,123000,123800,124800,125800,126900,127900,128600,129200,129800,130200,130600,131200,131900,132400
16,"Georgia",9,92400,92900,93200,93000,92900,93200,93700,93900,94100,94600,95000,95300,95700,96100,96600,97200,97800,98100,98500,99100,99600,100200,100900,101700,102000,102100,102600,103500,104400,105100,105600,106000,106600,107500,108100,108400,109000,109800,110500,111300,112000,112600,113300,113900,114500,115300,116500,117300,117900,118500,119300,119900,120700,121300,122100,122800,123200,123600,124400,125100,125700,126400,127100,127400,127500,127800,128100,128500,129100,129700,130000,130500,130900,131400,131700,132000,132600,133100,133400,133800,134100,134300,134600,135100,135500,136000,136400,136600,137100,137500,137800,138300,138900,139500,139900,140300,140600,140800,141100,141600,142100,142700,143400,143900,144500,145100,145700,146300,146900,147400,147900,148700,149300,149800,150600,151500,152300,152600,152800,153200,153900,154400,154700,155100,155400,155900,156300,156700,156400,156000,155800,155800,155900,156000,156000,156000,156100,156100,156000,155900,155500,155100,154500,153500,152500,151700,150700,149700,148500,147100,145600,143800,142800,142900,143100,142400,141400,140200,139300,138500,137800,137200,136700,136000,135700,135500,134700,133800,133200,132800,132000,130900,129700,128400,127000,125700,124400,122800,121400,120600,119600,118800,118200,117400,116700,116000,115200,114600,114000,113500,113200,113200,113300,113200,113300,113600,114000,114500,115300,116000,116700,117300,118000,118500,119200,119900,120700,121700,122700,123600,124600,125400,126100,126700,127100,127600,128200,128900,129300,129700,130000,130400,131000,131900,132600,133000,133700,134700,135600,136600,137600,138500,139400,140400,141300,142100,142800,143300,143900,144700,145400,146000,146500,147100,148000,148900,149900,151000,151800,152400,153000,153300,153800,154500,155500,156400,157500,158400
36,"North Carolina",10,92200,92500,92700,92900,93200,93400,93700,93900,94200,94800,95400,96000,96800,97500,98100,98800,99600,100200,100600,101200,101700,102200,103100,104100,104800,105200,105700,106200,106800,107200,107900,108500,108900,109100,109500,110100,110500,110800,111500,112100,112300,112700,113000,113200,113600,114200,114700,115000,115400,115900,116300,116600,116900,117500,118200,118700,118900,119500,120100,120400,120500,120700,120600,120700,121000,121200,121400,121600,121900,122200,122200,122300,122500,122800,123000,123400,123700,123800,123900,124300,124800,124900,125200,125500,125700,126100,126600,126700,126700,126800,127300,127700,127800,128100,128500,128900,129300,129600,129900,130400,131000,131400,132000,132500,133200,133700,134100,134600,135100,135700,136400,137200,137800,138600,139300,140000,140800,141500,142100,142500,142900,143500,144000,144500,145100,145800,146200,146600,146900,147400,147900,148400,148900,149300,149700,150300,151000,151500,151700,151700,151700,151600,151800,151900,152000,152000,151900,151600,151400,150900,150400,149700,149400,149400,149500,149200,148900,148400,148000,147600,147100,146700,146500,146600,146300,145500,144700,144100,143600,143200,142800,142300,141700,141300,141100,140800,140300,139800,139300,138900,138700,138600,138400,138200,137900,137500,137000,136800,136800,136900,136900,136900,136800,136600,136600,136700,136900,137000,137200,137200,137400,137700,138000,138300,138700,139100,139400,139600,140100,140600,141000,141100,141400,141800,142100,142400,142600,142600,142800,142900,142900,143100,143200,143400,143500,143700,144200,144600,145000,145500,146200,146900,147400,147600,148200,148900,149400,149700,150100,150600,151300,152100,152700,153300,154000,154800,155800,157000,157800,158400,159200,160300,161000,161600,162400,163200,164100,165100
