"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
9,"California",1,270600,270300,269700,269600,269600,269700,270300,271100,272500,274500,276400,278000,279500,280900,282500,284600,287000,289400,291900,294900,298300,302200,306300,307800,309300,313200,318800,322900,326800,329700,332800,336100,339200,341800,344200,346800,349300,352000,355100,358500,361600,365300,369600,374000,378700,384200,390100,396100,402200,408700,414800,420900,427200,433700,440200,447100,453500,459500,465600,471900,476700,478900,479500,479900,480400,481500,482100,482700,483700,485100,487400,490900,495200,500500,506400,512800,519400,525800,531700,537100,542000,546900,551700,556300,560400,564200,568000,573000,579200,586200,594100,603100,612800,622700,632900,643400,655400,668900,682900,695700,706700,716300,724900,732400,739700,747900,756500,765600,774500,782600,790600,799200,807500,814400,820500,826200,831300,834900,837200,838500,839300,839000,837100,834600,832100,829700,827000,824400,821200,818400,817000,816800,816000,814000,811000,808100,804900,800100,795000,790200,784300,776900,768000,757200,746500,737100,727900,718800,711100,704800,698600,691000,684700,681100,677400,671800,665900,660700,657600,656500,655900,655800,656100,656800,657100,656700,656600,656800,656300,654800,653000,650500,647500,644300,641300,638700,636200,632900,629500,626200,622500,619300,616600,613700,610700,608800,607900,607700,607900,608500,608800,610100,613600,618800,624400,629700,634900,639900,645300,651700,659200,665900,672600,681900,693500,705300,716100,725000,731900,738000,743100,747300,750800,754600,759300,764300,768200,771300,774900,779300,783700,788100,792500,796700,800200,804700,811400,819000,825500,831000,836400,841700,846500,851200,856400,861800,866800,872300,877700,882500,885800,887200,886800,887100,890300,896000,902200,907500,911900,916000,919300,922300,926200,930600,934300,938000,942200,945800
54,"Texas",2,130000,130600,132000,132800,133100,133000,134100,138200,143000,145800,146900,147900,148500,148900,149300,150100,151100,151900,152500,152600,152700,153500,154400,154800,155300,156200,156700,157400,158200,159100,159800,160200,160100,160600,161500,162300,163200,164400,165600,166800,167900,168800,169500,170000,170400,170900,171200,171300,171700,172400,173100,173700,174400,175100,175900,176500,176900,177200,177800,178400,179000,179700,180200,180500,180700,181200,181800,182100,182200,182700,182800,182800,183000,183200,183200,183500,184100,184600,185000,185400,185800,186000,186400,186600,186600,187000,187500,187700,187900,188200,188200,188300,188800,190300,192500,194700,196700,198400,199800,201000,202100,203100,204100,204800,205600,206300,207200,208300,209200,209900,210600,211400,212200,213100,213900,214600,215500,216700,217800,218800,220100,221100,222100,223100,224300,225400,226300,227100,228100,229500,230600,231200,231900,233000,234400,235600,236500,237200,238000,239100,239800,239000,236900,234700,232900,231400,230400,230200,230700,231600,232600,233500,234800,236300,237700,238500,239200,239900,240400,241100,241700,241900,241800,242200,240000,236000,233900,234600,234800,234900,234600,234100,233200,232300,231700,230900,230900,231700,232500,232600,232400,232000,231700,231300,230700,230300,230200,230000,230700,232100,233200,233600,234400,234800,235000,235200,235600,236200,236500,236900,238000,239600,241300,242400,243700,245200,247000,248700,250300,251800,253300,255000,256800,258500,259700,260800,262000,263300,264900,266500,267800,269200,270700,272000,273400,275100,276800,278500,280600,283200,285700,287600,289200,291000,292700,294400,295800,297500,299200,300600,301600,302700,303200,303500,304100,305500,307100,308400,308900,309400,310500,312100,313700,315000,315900,317500,319800,321300
43,"New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,513200,519300,524400,528300,528900,531000,538800,549500,556400,560900,564100,567900,572500,577200,581800,586500,588400,589900,594300,599900,604000,606600,607500,607500,608100,608200,608200,607400,610400,617200,621600,621200,621200,621100,619500,617600,617300,617800,617900,617800,616400,613900,611100,609000,606700,603600,600900,599000,596300,592500,588300,585400,576700,563400,553800,550100,546000,542400,538600,534500,531300,529600,528900,529000,528000,525700,524000,523200,522300,521600,520800,519900,519000,517700,517000,516700,517400,518600,519600,519600,519000,518200,518100,517600,516700,515600,513900,511600,510100,509100,508700,509100,509300,508600,508700,510500,512100,512800,513600,514600,515500,516800,517900,519000,520400,522700,525600,529100,533100,536700,539300,541200,543900,548000,552000,553700,555000,556600,558400,560400,562400,563400,564400,565700,567400,569700,572600,575800,579000,582400,586200,590100,593600,597800,602300,605500,608000,610700,612700,614900,617700,620500,623100,625400,628400,632500,637000,641500,646200,650900,655600,660700,667300,674700,679100,680800,683400,686400
14,"Florida",4,155300,155600,155700,155500,155500,155600,155700,155800,156200,156900,158000,159200,159800,160000,160300,161000,161600,162100,162700,163400,164300,165400,166500,167200,167700,168200,168400,168800,169200,169700,170200,171100,172000,172800,173800,175000,176000,176700,177600,178400,179400,180500,181800,183000,184300,185400,186800,188200,189700,191400,193200,194600,195700,197000,198800,200500,202000,203900,206100,208200,210100,212000,213900,215800,217500,219200,221100,223100,225400,227900,230100,232100,234200,236000,238100,240900,244200,247200,249700,252100,254500,256700,258700,261100,263500,266000,268600,271200,273600,276100,278900,281800,284900,288200,291700,295600,300400,305700,311000,317000,323500,330000,336600,343400,350400,357300,364700,373300,382900,392400,401800,410900,419800,427800,435200,441800,446800,450300,453300,456200,458300,459200,459100,458400,457100,455400,453700,452200,449700,446700,443600,440200,435900,431300,426400,421300,416200,411400,406300,401300,396000,389800,382700,375400,368200,361400,354800,348600,342800,336800,330500,323800,318500,316000,314300,311000,307400,304200,301300,298600,296400,294900,293800,292500,292000,291600,290000,287300,285300,283900,282700,281300,279300,277000,275000,273800,272100,269900,268400,268300,268200,267600,266800,266200,265600,265100,264500,264200,264600,265200,266600,268400,270100,271900,273800,275400,277100,278600,280000,281500,283500,285700,287800,290400,293400,296100,298800,301700,304500,307300,310100,312400,314200,315800,317800,319800,321800,323800,325400,327000,328600,330200,331900,333800,335400,337000,339100,341700,344200,346700,348900,350900,353100,355300,357100,358500,359500,360700,362200,363900,365400,366800,368800,371300,373500,376400,381900,388200,392100,392400,390000,387700,386300,386000,386200,387000,388200,389400
21,"Illinois",5,190400,190400,190800,191100,191200,191700,192300,192800,194200,196800,198600,199100,199700,200500,200900,201000,201400,201800,202200,202600,203000,203700,204500,205300,205900,206500,206900,207300,208100,209100,210400,211800,212700,213400,214300,215400,216800,218000,219100,220600,222100,223600,225300,226900,228400,229900,231500,233000,234600,236400,238200,239900,241300,242700,244200,245800,247600,249200,250700,252600,254600,256200,257500,259000,261000,263100,265000,266900,268500,269800,271000,272400,273900,275000,276200,277700,279700,281900,284000,285900,287800,289700,291900,294400,297000,300200,304300,307800,309800,310500,310300,310400,311300,312600,314300,315900,317500,319200,321000,323000,325100,327200,329800,332800,335900,338900,341500,344000,346200,348100,350100,352000,354000,356300,358800,361100,363000,364900,366700,368400,369800,370900,371500,372000,372500,373000,373500,373700,373700,374000,374000,373600,373000,372000,370800,369300,367800,366500,365400,364100,362900,361900,360400,358100,355900,353500,350700,348200,346800,345300,343200,340900,338700,336500,334200,331400,328700,325700,323000,320700,318800,317300,316500,316300,314000,310200,307200,305400,303100,302000,300800,298400,295600,293500,291100,288300,286400,285700,285000,283900,282200,280100,278200,277100,275800,274600,273200,272000,270900,269900,268700,268100,268300,268800,269800,271200,271900,271300,271300,272200,273100,273800,275000,276700,279100,281700,284500,287100,289300,291000,292300,293100,294100,295600,296800,297700,298800,299800,300800,302100,303500,304300,304400,304300,304600,304700,304800,305600,306800,308100,308400,308200,308000,308600,309300,310200,310900,311500,312100,313000,314500,315500,316100,316400,316800,317700,319100,320400,322000,323900,325300,325900,325900,325700,325600,325600,326400,327500
47,"Pennsylvania",6,147900,147700,148000,148100,148200,148500,148800,148900,149100,149400,149900,150700,151500,152000,152400,152800,153100,153500,153900,154300,154700,155400,156000,156800,157400,157600,157700,157700,157800,157900,158200,158800,159600,160400,161200,161700,162100,162500,162700,163100,163700,164100,164700,165400,166100,167000,168000,168900,169600,170500,171400,172300,173300,174200,175100,176100,177000,177800,178700,179900,181000,182100,183300,184300,185200,186100,186900,187800,189000,190100,191100,192200,193400,194900,196600,198500,200300,202100,204100,206000,207900,209900,212000,214100,216100,217900,219700,221600,223600,225800,228200,230100,231900,233800,235700,237500,239500,241900,244200,246800,249400,251900,254300,256800,259200,261500,263700,265800,268100,270500,272800,275100,277500,279800,281700,283700,285400,286800,288000,289200,290500,291500,292400,293300,293900,294000,293900,294000,294000,294200,294700,295300,295700,295600,295400,295000,294700,294400,294600,294500,293800,292700,291800,291300,291000,290600,290000,289200,288600,288000,287100,286200,284800,283300,282300,281500,280300,279100,277900,277000,276300,275700,275200,274700,275100,276100,276200,275500,275100,274700,274200,272900,271200,269800,268600,267600,267000,266900,266500,265800,264700,263600,262700,262200,262000,261500,261000,260500,260200,260000,259800,259700,259900,259900,260100,260500,261200,261900,262300,263100,264000,264800,265100,265600,266300,267000,267500,267900,268300,268800,269500,270200,270600,271000,271500,271900,272400,273300,274300,274900,275200,275600,275800,275900,275700,275400,275600,276100,276800,277800,279000,280000,280600,281100,281500,281900,281800,281900,282500,283500,284300,285100,286300,287700,289100,290700,292200,293300,293800,294200,294700,295300,296200,297000,297800,298800,299800,300500
44,"Ohio",7,151100,151400,151600,152000,152400,152600,152700,153100,153600,154300,155200,155900,156400,156900,157400,157900,158400,159000,159300,159700,160300,161000,161400,162000,162400,162800,163100,163300,163700,164200,164800,165300,165800,166300,166900,167600,168400,169200,170100,170800,171200,171700,172100,172600,173100,173800,174700,175600,176300,177000,177700,178100,178700,179400,180000,180400,181000,181500,182000,182500,183000,183500,183900,184400,184700,185200,185600,186000,186400,187100,187600,188100,188600,189100,189500,190300,191100,191700,192200,193000,193800,194300,195000,195800,196600,197600,198400,199200,200000,201000,202100,203300,204200,204800,205200,205500,205800,206300,206800,207400,208000,208400,208800,209500,210300,211000,211700,212600,213200,213400,213800,214300,214600,214900,215300,215700,216100,216400,216700,217000,217100,217200,217100,217000,217000,217100,217000,216700,216200,215900,215600,215300,215200,214900,214300,213600,213200,212800,212400,211800,211200,210400,209400,208300,207400,206600,206000,205300,204600,204100,203400,202200,201600,202000,202300,201900,201500,201100,200600,200400,200300,200200,200200,200400,199800,198400,197400,197000,196600,196500,196600,196600,196000,195100,194300,193800,193400,193000,192400,192100,191800,191600,191400,191100,190800,190600,190300,190000,189800,189900,190500,191100,191700,192100,192400,192800,193700,194300,194400,194800,195400,195900,196500,197100,197700,198600,199400,200000,200600,201200,202200,203300,204300,205000,205500,205800,206500,207100,207600,208200,208700,209200,209800,210400,210800,211300,211900,212700,213700,214700,215800,216600,217500,218500,219700,220500,221000,221400,222000,222600,223200,223800,224500,224900,225400,226400,227500,229000,230600,232200,233300,233900,233700,233600,234000,235100,236300,237200
30,"Michigan",8,156800,155000,154200,154800,154400,153300,153000,153800,154400,155000,155800,157000,158100,159200,160100,161000,161800,162600,163400,164500,165700,166700,167600,168500,169600,170900,172100,173000,174200,175500,176500,177300,178100,179400,180800,182200,183700,185400,186800,187900,189100,190400,191500,192400,193500,194800,196200,197400,198900,200400,201800,202900,204100,205500,206900,208100,209200,210200,211100,212000,213000,214300,215700,216900,217900,218600,219200,219800,220400,221200,221900,222300,222800,223400,224300,225400,226400,227400,228500,229500,230500,231300,231900,232400,232900,233500,234100,234800,235700,236600,237400,238300,239300,240000,240600,241300,242000,242500,242700,242900,243700,245000,246100,247100,247800,248500,249200,250000,250600,251000,251200,251200,251000,250500,250300,250300,250300,250100,249700,249300,248900,248100,247300,246600,245800,244500,243300,242200,241300,240200,239000,237500,236100,234700,233200,231900,230400,228900,227100,225200,223400,221700,219300,216500,213900,211600,209100,206700,204100,201500,198800,195700,194600,195900,197000,196000,194300,192500,191100,190000,189200,188700,188200,188900,186100,180000,176200,176200,175900,175800,175600,175100,174200,173600,173300,172800,172600,173100,173400,173100,172900,173100,173300,173100,173200,173700,174100,174000,174500,175600,176600,177200,178500,179800,181100,182400,184000,185300,186600,188100,189700,191000,192300,193700,195500,197500,199400,201300,203100,204800,206500,208100,209700,211300,212500,213500,214500,215400,216400,217600,218400,219200,219800,220300,220900,222200,223400,224300,225300,226100,226900,227900,228900,229800,230400,231300,232700,234000,234700,235400,236400,237500,238600,239700,240700,241900,243600,245300,247200,248800,250200,251200,251700,252000,252900,254200,255500,256500
16,"Georgia",9,163900,163700,163600,163300,163000,163100,163500,164000,164600,165200,165900,167100,168400,169400,170100,170900,171500,172500,173700,174400,175000,175700,176300,177000,178000,179100,180000,180900,181900,183000,184100,185500,186900,188200,189400,190700,192200,193600,195100,196900,198900,200800,202200,203500,204800,206300,207900,209400,210700,212300,214200,215700,216800,217700,218400,219200,220100,221100,222100,223200,224200,225100,225800,226600,227400,227800,228400,229100,230000,230700,231500,232300,233100,233800,234500,235300,236000,236500,237200,238300,239000,239600,240400,241200,241700,242200,242900,243700,244400,245300,246300,247000,247800,249000,250200,251100,252000,252800,253500,254300,255500,256600,257800,259200,260800,262300,263500,264600,265900,267100,268300,269900,271600,273400,275100,276700,278000,279400,280700,281800,282900,284100,285100,285900,286800,287700,288700,289400,289600,289200,289000,289700,290400,290800,291000,291300,291500,291400,291100,290600,290100,289400,288200,286900,285500,283800,282100,280600,278800,276800,274400,271600,270400,271200,271600,270300,268700,267000,265200,263600,262400,261300,260500,260200,258400,255300,252900,251500,250300,249700,249000,247500,245400,243200,241100,239200,237500,235800,234100,232700,231600,230700,229900,229200,228500,228100,227900,227600,227200,226900,226800,227100,227500,227900,228800,229900,231000,231900,233100,234300,235600,237200,238700,240200,241400,242600,243800,245400,247100,248800,250200,251700,253100,254100,255000,256100,257500,258700,259800,260700,261500,262300,263500,264700,266000,267600,269400,271500,273500,275000,276400,278000,279500,281100,282800,284300,285600,287100,288400,289700,291300,293000,294200,295000,296200,298100,300100,302000,303700,305300,306600,307200,307800,308800,310000,311300,313400,315500
36,"North Carolina",10,164500,164200,164100,164400,164600,164600,164900,165500,166300,167200,168300,169400,170800,172300,173800,174900,175700,176700,177800,178800,179800,180900,181900,182800,183400,183800,184500,185300,186300,187200,188000,188600,189200,190000,190700,191600,192500,193200,193600,194400,195300,196100,196800,197800,198500,199100,200000,200900,201700,203000,204400,205800,206700,207600,208700,209700,210700,212000,213100,213600,214200,214800,215100,215500,216100,216400,216700,217000,217500,217900,218300,218900,219300,219500,220000,220400,220600,221200,221800,222400,223000,223700,224400,225200,226000,226800,227600,228300,228900,229600,230500,231700,232800,233700,234400,235300,236200,237400,238700,239900,241200,242700,244300,245400,246600,248000,249700,251400,253400,255200,256800,258600,260700,262900,265100,267300,269400,271200,272900,274700,276500,278100,279600,281300,283300,285000,286300,287900,289300,290300,291500,292700,293500,294500,295500,296200,296800,297100,297300,297400,297500,297400,297000,296700,296600,296600,296500,296200,295400,294300,292800,290900,289400,288900,288500,287400,286200,285000,283800,282500,281400,280400,279600,279000,278000,276500,275100,273700,272300,271000,270000,269200,268300,267400,266600,266000,265400,264800,263900,263100,262400,261700,261000,260400,259700,259200,258700,258500,258400,258300,258500,258800,259100,259400,259800,260000,260200,260400,260700,261000,261500,262000,262800,263700,264600,265200,266000,267000,267900,268900,269900,270500,271200,272000,272600,273100,273400,274100,274900,275500,276000,276500,276900,277300,277800,278400,279200,280300,281600,282700,283400,284200,284800,285300,286200,287200,288100,289000,290000,291100,292500,293700,294500,295600,297100,299000,300800,302700,304300,305300,306100,307300,308300,309200,310300,311100,312000,313000
