"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
9,"California",1,1949,1943,1934,1927,1918,1914,1909,1908,1907,1904,1902,1902,1902,1901,1899,1898,1897,1897,1898,1901,1903,1904,1903,1906,1906,1908,1912,1918,1928,1936,1945,1952,1957,1961,1965,1974,1979,1984,1987,1992,1995,1999,2001,2006,2021,2043,2072,2099,2123,2144,2163,2176,2188,2198,2211,2223,2235,2244,2249,2255,2258,2265,2280,2295,2313,2328,2341,2351,2356,2360,2363,2373,2381,2390,2398,2405,2413,2422,2431,2439,2444,2448,2455
54,"Texas",2,1211,1219,1220,1218,1216,1214,1213,1211,1210,1207,1205,1204,1206,1204,1205,1206,1208,1209,1209,1210,1212,1214,1217,1220,1223,1221,1223,1226,1232,1239,1246,1252,1256,1259,1262,1268,1277,1283,1286,1288,1287,1288,1289,1290,1294,1303,1315,1329,1340,1347,1354,1360,1366,1372,1378,1383,1388,1392,1391,1393,1394,1395,1400,1406,1413,1416,1418,1419,1418,1416,1415,1418,1419,1416,1413,1411,1411,1411,1412,1416,1422,1425,1427
43,"New York",3,1689,1692,1694,1697,1700,1706,1706,1706,1701,1700,1700,1701,1702,1704,1708,1717,1726,1738,1754,1764,1768,1764,1757,1751,1754,1759,1770,1777,1785,1793,1808,1825,1841,1849,1854,1864,1881,1895,1905,1911,1915,1919,1921,1923,1936,1951,1972,1990,2008,2014,2015,2020,2030,2043,2053,2064,2073,2094,2112,2133,2142,2146,2155,2162,2170,2170,2173,2175,2177,2174,2172,2176,2184,2189,2193,2196,2194,2190,2183,2178,2177,2179,2182
14,"Florida",4,1260,1265,1265,1263,1259,1256,1252,1251,1251,1251,1251,1251,1251,1249,1248,1249,1251,1255,1260,1264,1267,1269,1272,1275,1279,1281,1284,1288,1292,1296,1300,1307,1313,1321,1330,1341,1354,1363,1371,1376,1381,1384,1386,1387,1389,1394,1402,1409,1415,1418,1422,1428,1436,1445,1453,1460,1467,1473,1476,1478,1481,1484,1490,1496,1501,1505,1511,1517,1521,1522,1524,1528,1533,1535,1537,1539,1541,1542,1542,1542,1543,1545,1545
21,"Illinois",5,1458,1460,1458,1454,1444,1438,1433,1428,1419,1407,1399,1397,1395,1389,1383,1382,1383,1384,1385,1385,1386,1385,1391,1400,1402,1398,1390,1385,1383,1390,1397,1405,1407,1411,1412,1418,1426,1437,1448,1452,1452,1444,1440,1435,1440,1446,1454,1458,1462,1463,1462,1460,1460,1461,1460,1461,1461,1465,1464,1464,1463,1464,1474,1483,1493,1495,1496,1493,1488,1482,1476,1472,1466,1460,1456,1455,1456,1459,1462,1469,1475,1479,1480
47,"Pennsylvania",6,1194,1199,1199,1194,1189,1188,1187,1185,1181,1177,1174,1171,1167,1159,1154,1155,1161,1168,1174,1178,1178,1175,1172,1174,1178,1180,1184,1184,1183,1182,1183,1185,1185,1184,1184,1186,1189,1190,1191,1190,1188,1184,1178,1174,1175,1180,1186,1193,1200,1205,1208,1209,1208,1206,1206,1208,1212,1217,1219,1219,1216,1212,1214,1219,1226,1230,1232,1231,1228,1225,1222,1222,1222,1220,1217,1215,1214,1213,1213,1214,1216,1218,1220
44,"Ohio",7,963,965,971,972,970,962,959,961,965,967,966,964,965,967,971,975,980,981,975,962,951,945,946,952,958,962,962,963,966,974,981,987,989,989,990,994,1000,1005,1006,1008,1006,1006,1003,1004,1011,1024,1038,1044,1045,1043,1043,1047,1053,1060,1067,1076,1082,1084,1083,1082,1083,1083,1086,1085,1085,1083,1086,1088,1088,1085,1083,1083,1083,1082,1080,1079,1079,1083,1088,1092,1094,1093,1091
30,"Michigan",8,1091,1101,1107,1103,1092,1078,1072,1069,1073,1072,1067,1035,995,944,918,909,910,914,919,923,922,917,913,916,932,943,944,938,929,924,924,928,929,931,938,957,982,997,995,993,987,981,973,971,974,982,992,999,1008,1009,1010,1016,1026,1042,1050,1053,1053,1053,1053,1052,1055,1056,1065,1071,1077,1078,1079,1081,1080,1076,1072,1072,1079,1088,1098,1105,1111,1113,1110,1109,1110,1115,1119
16,"Georgia",9,1108,1115,1117,1115,1110,1107,1103,1099,1095,1091,1088,1086,1088,1086,1084,1083,1083,1080,1078,1076,1077,1076,1073,1071,1069,1065,1061,1062,1063,1067,1071,1077,1081,1085,1088,1093,1097,1099,1100,1101,1102,1102,1101,1099,1102,1107,1116,1125,1135,1140,1146,1148,1151,1155,1161,1167,1171,1175,1177,1180,1180,1179,1182,1187,1194,1198,1200,1198,1196,1193,1191,1195,1198,1201,1203,1206,1209,1212,1216,1223,1230,1236,1241
36,"North Carolina",10,990,992,995,996,997,998,999,1002,1004,1006,1007,1007,1010,1011,1014,1017,1021,1025,1026,1027,1026,1027,1027,1028,1030,1031,1029,1026,1024,1024,1026,1031,1040,1049,1059,1068,1075,1080,1082,1081,1078,1077,1076,1074,1072,1072,1075,1081,1087,1093,1098,1103,1108,1113,1120,1126,1130,1132,1131,1132,1128,1126,1129,1138,1147,1153,1155,1154,1149,1144,1143,1148,1151,1153,1154,1155,1156,1157,1159,1163,1170,1176,1181
