"Date","RegionName","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"United States",0,1430,0,0.00491918482080112,0.0206995003568879,100025438
2017-09-30,"California",1,2455,0.00285947712418301,0.00656006560065601,0.0389335590351248,9638448
2017-09-30,"Texas",2,1427,0.00140350877192982,0.0077683615819209,0.00848056537102473,7192651
2017-09-30,"New York",3,2182,0.00137677833868747,0.00183654729109275,0.00460405156537753,4928124
2017-09-30,"Florida",4,1545,0,0.00194552529182879,0.0137795275590551,7660119
2017-09-30,"Illinois",5,1480,0.000676132521974307,0.00748808713410483,0.002710027100271,4223215
2017-09-30,"Pennsylvania",6,1220,0.00164203612479475,0.00494233937397035,-0.0016366612111293,4246504
2017-09-30,"Ohio",7,1091,-0.00182982616651418,-0.000915750915750916,0.00738688827331487,3856828
2017-09-30,"Michigan",8,1119,0.00358744394618834,0.00901713255184851,0.0438432835820896,3866148
2017-09-30,"Georgia",9,1241,0.0040453074433657,0.0147179067865904,0.0419815281276238,3118755
2017-09-30,"North Carolina",10,1181,0.00425170068027211,0.0154772141014617,0.0332458442694663,3328661
2017-09-30,"New Jersey",11,2053,0.00146341463414634,0.00736015701668302,0.00440313111545988,2788150
2017-09-30,"Virginia",12,1496,0.00200937709310114,0.00335345405767941,0.00944669365721997,2719259
2017-09-30,"Washington",13,1778,0.00679501698754247,0.0230149597238205,0.0775757575757576,2294326
2017-09-30,"Massachusetts",14,2183,-0.000915331807780321,0.000917010545621275,0.0144052044609665,2141194
2017-09-30,"Indiana",15,1090,0.000918273645546373,0.00460829493087558,0.0148975791433892,2423559
2017-09-30,"Arizona",16,1296,0.00387296669248644,0.0117096018735363,0.0409638554216867,2122378
2017-09-30,"Tennessee",17,1129,-0.000884955752212389,0.00355555555555556,0.0301094890510949,2546651
2017-09-30,"Missouri",18,1022,0.00491642084562439,0.0138888888888889,0.0333670374115268,1816872
2017-09-30,"Maryland",19,1768,0.00226757369614512,0.00683371298405467,0.00568828213879408,2160288
2017-09-30,"Wisconsin",20,1150,0,-0.00776531492666091,0.0167992926613616,1872588
2017-09-30,"Minnesota",21,1425,0.00140548137737175,0.00422832980972516,0.0259179265658747,1913202
2017-09-30,"Colorado",22,1839,0.00217983651226158,0.0115511551155116,0.0256553262688232,1793062
2017-09-30,"Alabama",23,995,0,0,0.00708502024291498,1646119
2017-09-30,"South Carolina",24,1192,-0.000838222967309304,-0.00334448160535117,0.0170648464163823,1741425
2017-09-30,"Louisiana",25,1259,-0.00316706254948535,-0.00316706254948535,-0.0133228840125392,1304801
2017-09-30,"Kentucky",26,1057,0.00475285171102662,0.0134228187919463,0.0332355816226784,1311483
2017-09-30,"Oregon",27,1663,0.00483383685800604,0.0109422492401216,0.039375,1174928
2017-09-30,"Oklahoma",28,945,-0.00105708245243129,-0.00316455696202532,-0.0317622950819672,1323988
2017-09-30,"Connecticut",29,1701,0.00117716303708064,0.00117716303708064,-0.00816326530612245,1169829
2017-09-30,"Iowa",30,1040,0.00192678227360308,-0.00287631831255992,-0.0225563909774436,1143632
2017-09-30,"Mississippi",31,1034,-0.00193050193050193,-0.00576923076923077,-0.0199052132701422,777557
2017-09-30,"Arkansas",32,941,0.00106382978723404,0.00857449088960343,0.00212992545260916,891848
2017-09-30,"Kansas",33,1038,-0.00574712643678161,-0.00954198473282443,0.00678952473326867,937992
2017-09-30,"Utah",34,1482,0.00679347826086957,0.0206611570247934,0.0473498233215548,819870
2017-09-30,"New Mexico",35,1177,0.00170212765957447,0.00426621160409556,-0.000848896434634975,581408
2017-09-30,"West Virginia",36,857,-0.0183276059564719,-0.0456570155902004,-0.025028441410694,670347
2017-09-30,"Nebraska",37,1272,0.00236406619385343,0.0159744408945687,0.026634382566586,720089
2017-09-30,"Idaho",38,1218,0.00827814569536424,0.0218120805369128,0.0778761061946903,529454
2017-09-30,"Hawaii",39,2387,-0.00665834373699542,-0.0172910662824208,-0.00167294019238812,436344
2017-09-30,"Maine",40,1337,-0.011094674556213,-0.0132841328413284,0.0253067484662577,555645
2017-09-30,"New Hampshire",41,1665,0.00786924939467312,0.0227272727272727,0.0504731861198738,567903
2017-09-30,"Rhode Island",42,1600,0,0.00187852222917971,0.0050251256281407,338112
2017-09-30,"Montana",43,1264,0,0.0120096076861489,0.0335241210139002,276011
2017-09-30,"Delaware",44,1393,-0.000717360114777619,0.00360230547550432,-0.00357653791130186,307640
2017-09-30,"South Dakota",45,1206,0,0.000829875518672199,0.0203045685279188,161248
2017-09-30,"Alaska",46,1757,-0.00283768444948922,-0.00227143668370244,-0.0129213483146067,152769
2017-09-30,"North Dakota",47,1324,-0.0185322461082283,-0.0112023898431665,0.0223938223938224,147450
2017-09-30,"Vermont",48,1575,-0.00190114068441065,-0.0119196988707654,0.0260586319218241,227627
2017-09-30,"District of Columbia",49,2645,-0.00301545420278929,-0.00113293051359517,0.038476639183353,178601
2017-09-30,"Wyoming",50,1132,-0.011353711790393,-0.0283261802575107,-0.0535117056856187,158654
