"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
9,"California",1,1830,1826,1815,1800,1786,1778,1773,1772,1772,1772,1772,1772,1769,1767,1767,1770,1773,1775,1775,1776,1774,1771,1768,1772,1775,1781,1789,1797,1808,1818,1828,1835,1838,1838,1844,1855,1862,1866,1868,1871,1874,1878,1878,1883,1903,1934,1971,2002,2026,2048,2067,2083,2097,2111,2129,2148,2164,2174,2180,2188,2193,2201,2219,2238,2261,2278,2294,2305,2310,2312,2313,2322,2330,2339,2347,2355,2362,2370,2378,2387,2395,2402,2407
54,"Texas",2,1072,1066,1064,1062,1058,1056,1052,1049,1047,1044,1041,1037,1032,1028,1023,1022,1023,1023,1022,1020,1021,1024,1028,1033,1036,1039,1045,1052,1060,1069,1081,1094,1102,1108,1113,1126,1140,1157,1167,1171,1173,1176,1178,1182,1191,1204,1219,1231,1240,1245,1247,1250,1254,1259,1267,1274,1280,1282,1281,1282,1282,1284,1290,1297,1304,1308,1310,1309,1305,1302,1298,1300,1300,1300,1298,1298,1298,1298,1296,1295,1295,1296,1297
43,"New York",3,1720,1716,1713,1708,1701,1700,1699,1701,1701,1702,1704,1708,1709,1711,1717,1728,1744,1760,1774,1785,1790,1788,1779,1776,1780,1788,1802,1814,1829,1840,1857,1883,1911,1929,1941,1951,1965,1983,2002,2018,2025,2033,2042,2048,2065,2083,2113,2137,2154,2163,2171,2186,2201,2212,2216,2215,2213,2229,2250,2284,2301,2313,2315,2310,2308,2312,2315,2315,2308,2293,2278,2275,2275,2274,2274,2275,2274,2272,2269,2270,2274,2280,2282
14,"Florida",4,1204,1206,1207,1208,1209,1210,1209,1210,1212,1214,1214,1214,1216,1214,1213,1212,1215,1220,1227,1231,1234,1236,1238,1241,1245,1247,1248,1249,1250,1252,1256,1262,1269,1279,1290,1304,1320,1333,1343,1350,1355,1358,1361,1365,1369,1373,1379,1386,1391,1394,1398,1404,1411,1418,1426,1432,1440,1447,1451,1452,1453,1457,1465,1475,1484,1490,1496,1500,1501,1500,1501,1505,1509,1511,1511,1512,1511,1511,1509,1508,1507,1507,1508
21,"Illinois",5,1487,1488,1484,1475,1466,1461,1456,1450,1446,1444,1442,1441,1439,1439,1439,1441,1443,1444,1444,1440,1439,1440,1445,1454,1456,1456,1454,1453,1456,1467,1477,1485,1481,1480,1482,1490,1495,1502,1512,1520,1520,1516,1514,1516,1525,1534,1546,1555,1562,1562,1557,1552,1546,1543,1539,1540,1543,1543,1538,1534,1531,1534,1544,1554,1564,1567,1565,1558,1549,1542,1534,1529,1520,1511,1505,1504,1505,1507,1513,1522,1530,1534,1532
47,"Pennsylvania",6,1047,1051,1047,1036,1026,1017,1011,1006,1006,1008,1013,1013,1010,1005,1005,1012,1019,1027,1032,1034,1035,1032,1032,1033,1032,1029,1027,1028,1032,1038,1045,1047,1046,1042,1037,1039,1043,1049,1055,1060,1066,1070,1071,1070,1073,1081,1093,1104,1113,1120,1123,1124,1121,1120,1121,1128,1135,1139,1139,1142,1142,1143,1148,1151,1154,1158,1163,1167,1167,1166,1164,1164,1164,1165,1166,1168,1168,1166,1162,1161,1163,1167,1171
44,"Ohio",7,816,822,830,835,840,840,840,841,841,844,847,850,851,850,850,852,854,854,850,843,837,833,833,838,846,850,851,849,846,845,845,846,847,848,850,856,863,866,868,871,872,874,876,878,883,888,894,899,901,902,903,906,911,919,927,934,939,942,941,941,940,937,938,939,941,941,943,944,943,939,935,936,936,935,934,933,932,932,934,937,943,949,951
30,"Michigan",8,1170,1167,1166,1157,1145,1138,1139,1145,1151,1157,1164,1161,1147,1130,1119,1118,1124,1133,1140,1144,1145,1145,1144,1150,1157,1169,1174,1174,1170,1169,1167,1167,1168,1173,1182,1194,1202,1206,1208,1209,1210,1208,1204,1199,1196,1196,1201,1210,1217,1223,1227,1233,1239,1246,1251,1259,1263,1263,1254,1249,1245,1249,1260,1269,1279,1283,1286,1285,1282,1277,1274,1279,1280,1283,1284,1286,1289,1290,1292,1295,1303,1313,1323
16,"Georgia",9,1082,1079,1082,1083,1082,1080,1078,1077,1076,1073,1070,1068,1067,1066,1063,1062,1062,1061,1060,1057,1055,1052,1050,1050,1050,1050,1048,1048,1051,1057,1066,1074,1080,1086,1092,1102,1109,1115,1116,1117,1117,1120,1123,1126,1132,1139,1150,1162,1173,1182,1190,1197,1201,1203,1205,1207,1210,1215,1217,1221,1221,1223,1230,1238,1247,1252,1254,1253,1251,1249,1249,1253,1257,1258,1259,1260,1261,1264,1270,1278,1287,1293,1298
36,"North Carolina",10,910,918,920,920,918,916,914,914,916,918,922,926,929,930,932,935,938,939,940,940,941,941,942,947,953,956,957,957,957,958,960,964,969,972,975,980,987,992,995,995,994,993,993,993,993,995,1000,1007,1011,1013,1014,1018,1024,1032,1039,1044,1049,1055,1058,1058,1055,1053,1058,1065,1075,1082,1088,1089,1087,1084,1083,1088,1091,1094,1096,1098,1100,1102,1105,1110,1118,1124,1128
