"RegionID","RegionName","SizeRank","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
9,"California",1,1983,1980,1975,1970,1964,1961,1959,1958,1955,1951,1949,1950,1951,1950,1948,1944,1941,1939,1940,1943,1946,1946,1947,1951,1952,1953,1956,1963,1972,1979,1986,1993,1998,2002,2006,2014,2020,2024,2026,2031,2034,2038,2041,2048,2061,2081,2106,2132,2155,2175,2191,2201,2212,2223,2236,2247,2258,2266,2271,2278,2282,2288,2302,2316,2332,2345,2358,2368,2373,2376,2379,2387,2394,2402,2411,2421,2431,2440,2446,2451,2457,2466,2474
54,"Texas",2,1230,1229,1230,1228,1226,1224,1223,1221,1219,1217,1215,1215,1215,1215,1215,1216,1218,1218,1220,1221,1224,1226,1229,1232,1234,1234,1234,1236,1242,1249,1257,1263,1267,1270,1273,1278,1286,1293,1296,1297,1296,1296,1296,1297,1302,1311,1323,1336,1346,1356,1362,1369,1374,1381,1387,1392,1398,1402,1403,1403,1402,1402,1409,1416,1423,1426,1428,1430,1429,1427,1426,1428,1430,1430,1427,1426,1426,1426,1428,1430,1432,1432,1433
43,"New York",3,1657,1666,1676,1687,1701,1714,1714,1710,1699,1694,1691,1693,1697,1700,1702,1708,1710,1718,1732,1739,1740,1732,1726,1722,1728,1734,1739,1742,1745,1753,1761,1768,1771,1774,1777,1787,1806,1817,1821,1818,1813,1807,1804,1806,1817,1827,1841,1851,1864,1867,1874,1882,1891,1897,1902,1910,1920,1940,1955,1971,1977,1975,1979,1983,1991,1993,1997,2001,2008,2015,2019,2020,2024,2021,2018,2019,2019,2021,2022,2027,2031,2032,2030
14,"Florida",4,1291,1292,1291,1288,1283,1279,1274,1271,1270,1270,1270,1270,1270,1270,1269,1269,1271,1275,1279,1283,1285,1286,1287,1291,1295,1298,1302,1306,1312,1317,1324,1331,1338,1344,1352,1361,1371,1379,1385,1390,1394,1396,1397,1396,1397,1402,1411,1421,1427,1432,1436,1442,1449,1457,1465,1472,1478,1482,1485,1488,1490,1493,1499,1504,1509,1513,1520,1526,1530,1531,1533,1536,1539,1541,1544,1547,1550,1552,1552,1555,1559,1564,1564
21,"Illinois",5,1441,1447,1450,1447,1437,1431,1425,1421,1410,1396,1385,1383,1383,1375,1365,1362,1362,1362,1365,1368,1370,1369,1375,1384,1387,1380,1370,1363,1359,1364,1369,1376,1382,1388,1388,1392,1401,1410,1420,1422,1424,1416,1410,1403,1406,1412,1419,1423,1426,1426,1423,1422,1425,1430,1431,1432,1432,1436,1435,1436,1434,1435,1444,1452,1460,1462,1463,1461,1457,1452,1445,1441,1438,1436,1436,1438,1438,1440,1442,1445,1448,1451,1456
47,"Pennsylvania",6,1197,1202,1207,1210,1210,1209,1206,1204,1201,1197,1193,1189,1189,1183,1179,1179,1184,1190,1194,1197,1197,1194,1191,1193,1199,1202,1204,1205,1204,1203,1203,1205,1205,1206,1207,1208,1210,1208,1207,1207,1204,1200,1195,1191,1193,1198,1206,1211,1217,1221,1222,1221,1218,1218,1221,1226,1234,1241,1244,1242,1239,1236,1236,1238,1244,1248,1250,1248,1242,1237,1234,1234,1237,1237,1235,1233,1230,1230,1230,1231,1231,1230,1230
44,"Ohio",7,983,984,989,990,987,979,975,976,979,981,980,978,981,983,988,992,999,1000,993,980,967,961,963,970,977,980,979,980,984,994,1003,1011,1014,1016,1018,1024,1029,1032,1031,1031,1028,1026,1026,1028,1036,1048,1059,1067,1070,1070,1070,1073,1077,1083,1090,1097,1102,1103,1100,1098,1096,1097,1101,1102,1103,1102,1104,1105,1106,1105,1103,1102,1100,1099,1099,1101,1103,1106,1109,1113,1116,1117,1117
30,"Michigan",8,1091,1099,1103,1097,1085,1070,1065,1062,1066,1064,1060,1025,983,930,904,895,895,898,903,907,906,902,899,902,917,926,926,919,911,907,906,910,911,914,919,937,960,974,974,972,968,961,954,950,954,962,970,978,987,989,990,996,1006,1021,1027,1030,1030,1030,1030,1030,1032,1036,1044,1049,1053,1053,1054,1056,1054,1050,1046,1048,1056,1067,1077,1086,1093,1096,1095,1093,1094,1097,1102
16,"Georgia",9,1112,1121,1122,1119,1113,1109,1105,1101,1096,1092,1089,1088,1089,1087,1085,1084,1085,1083,1080,1078,1078,1077,1074,1072,1070,1066,1063,1063,1064,1068,1072,1077,1081,1084,1087,1092,1097,1099,1099,1100,1100,1100,1099,1097,1099,1103,1112,1121,1131,1136,1142,1144,1147,1151,1157,1163,1166,1170,1172,1176,1175,1173,1176,1182,1189,1193,1196,1196,1194,1191,1190,1193,1196,1198,1201,1204,1206,1208,1211,1217,1225,1232,1236
36,"North Carolina",10,993,996,1000,1003,1005,1005,1007,1011,1015,1017,1018,1019,1022,1022,1025,1028,1032,1037,1038,1039,1037,1037,1038,1039,1042,1042,1040,1037,1035,1035,1036,1041,1049,1058,1067,1076,1083,1088,1090,1090,1088,1086,1085,1082,1080,1080,1082,1088,1094,1099,1104,1110,1114,1120,1127,1133,1137,1140,1139,1139,1136,1134,1139,1147,1156,1161,1163,1161,1157,1153,1153,1158,1161,1163,1162,1161,1161,1163,1166,1172,1177,1182,1185
40,"New Jersey",11,1817,1837,1848,1854,1858,1860,1855,1846,1836,1832,1830,1834,1844,1847,1852,1858,1864,1869,1874,1879,1882,1883,1882,1882,1886,1887,1891,1898,1900,1905,1913,1923,1930,1932,1932,1933,1936,1930,1926,1922,1918,1914,1914,1915,1922,1935,1956,1978,1998,2006,2009,2009,2010,2012,2013,2011,2010,2006,2000,1998,2001,2002,2006,2013,2024,2035,2043,2053,2060,2065,2066,2068,2070,2065,2061,2059,2060,2059,2058,2059,2064,2069,2071
56,"Virginia",12,1300,1306,1309,1315,1320,1326,1332,1337,1343,1346,1350,1352,1355,1358,1363,1366,1365,1364,1363,1364,1367,1370,1373,1375,1379,1379,1378,1376,1374,1377,1381,1386,1390,1392,1393,1395,1399,1402,1404,1405,1403,1401,1397,1393,1390,1393,1399,1408,1415,1419,1421,1424,1427,1431,1436,1439,1441,1440,1436,1433,1429,1427,1432,1435,1440,1439,1439,1437,1434,1430,1427,1429,1428,1425,1421,1421,1422,1424,1426,1428,1430,1431,1433
59,"Washington",13,1363,1375,1383,1391,1396,1399,1397,1395,1393,1388,1382,1379,1382,1380,1379,1378,1377,1379,1383,1387,1391,1391,1391,1394,1401,1401,1402,1403,1405,1407,1412,1419,1429,1439,1448,1460,1472,1477,1481,1482,1481,1478,1475,1473,1475,1479,1487,1499,1510,1515,1519,1525,1535,1548,1560,1570,1577,1583,1586,1593,1596,1599,1607,1618,1628,1636,1641,1645,1647,1652,1661,1679,1692,1701,1707,1714,1721,1732,1742,1756,1770,1785,1797
26,"Massachusetts",14,1695,1709,1707,1707,1708,1716,1718,1724,1730,1739,1749,1764,1780,1789,1801,1810,1816,1817,1818,1813,1808,1802,1801,1796,1789,1783,1785,1794,1799,1805,1808,1807,1800,1799,1803,1818,1836,1849,1855,1856,1857,1857,1854,1849,1855,1867,1886,1899,1915,1935,1963,1990,2010,2022,2034,2051,2072,2092,2103,2111,2111,2102,2099,2098,2107,2123,2147,2171,2187,2196,2201,2205,2210,2212,2211,2209,2209,2213,2221,2231,2236,2234,2227
