"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09"
"10025","New York","NY","New York","New York",1,,,,,,,,,,,,,,,919000,925000,940000,935000,925000,925000,890000,842000,912000,862000,895000,895000,895000,925000,925000,895000,925000,912000,950000,975000,1150000,1090000,949000,899000,897000,879000,875000,895000,940000,962500,1030000,1025000,924500,899000,899000,949000,895000,892500,995000,990000,1085000,1150000,1147000,1147000,1150000,1195000,1195000,1195000,1180000,1285000,1350000,1335000,1362500,1375000,1400000,1445000,1420000,1485000,1490000,1549000,1450000,1450000,1450000,1475000,1485000,1475000,1495000,1395000,1385000,1375000,1300000,1337500,1425000,1385000,1300000,1299944,1395000,1300000,1200000
"60657","Chicago","IL","Chicago","Cook",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,389000,399950,407450,425000,418950,375000,427000,430000,440000,439000,475000,475000,439900,489499.5,417500,4e+05,425000,419500,425000,449950,4e+05,399900,392450,405000,419950,460000,449000,4e+05,349900,399900,399999.5,419500,427499.5,490000,504500,534900,539000,534900,519450,439000,499000,459000,459000,499900,499450,499950,499900
"10023","New York","NY","New York","New York",3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2750000,2760000,2750000,2767500,2750000,2710000,2697500,2680000,2710000,2750000,2705000,2682500,2717500,2740000,2755000,2745000
"60614","Chicago","IL","Chicago","Cook",4,375000,389900,389900,399000,399900,399900,399000,399000,389450,385000,359450,359000,354500,350000,342450,350000,350000,359000,362450,379000,382450,398750,382400,399900,399900,419000,420000,422250,399000,377450,357000,355000,384900,349900,409000,415000,425000,450000,452000,474999.5,450000,452500,469900,459900,495000,445000,445000,490000,495000,464950,497000,474900,474900,455000,429949.5,470000,497000,475000,450000,475000,532450,544950,529900,549500,512444.5,499250,499500,519000,574950,599000,599000,599000,597000,599000,535000,534000,555000,550000,575000,589000,575000,599000,610000,620000,642000,649000,629500,580000,574900,599000,649500,599000,599000
"10002","New York","NY","New York","New York",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2212500,2150000,2e+06,2090000,1912500,2137500,2150000,2200000,2250000,2260000,2500000,2475000,2378000,2358000,2366000,2366000,2366000,2392000
"94109","San Francisco","CA","San Francisco","San Francisco",6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1222000,1169500,1365000,1348000,1283000,1249000,1200000,1350000,1399500,1399500,1405000,1459000,1445000,1402000,1495000,1399000,1399000,1399000,1350000
"11375","New York","NY","New York","Queens",7,349000,349000,349000,342450,339900,339000,329000,329000,329000,339000,329000,339000,339000,339000,339000,339000,329694,339000,339000,329000,329000,328000,319000,309000,299495,299000,299000,327000,319000,328000,319888,325000,325000,319000,305000,299000,299000,305000,299000,299000,309000,316500,319000,325000,299950,304925,319999,317000,309000,309000,315000,325000,329000,329000,339000,339000,369000,359000,369000,359000,389443.5,399000,390000,371999.5,365000,389000,387000,389000,392000,399000,424999,424999,420000,424999,424999,425000,438000,445000,426500,425000,429999,449000,447000,449000,446750,449900,449999,450000,468000,459000,479000,478000,475000
"32162","The Villages","FL","The Villages","Sumter",8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207400,212000,224500,211200,217400,217400,219900,209000,209000,199450,201500,217450,199900,209900,199900,194500,199000,209900,204900,209500,195000,192900,199000,199900,198450,197700,202400,202400,211950,209450,204900,214900,205950,209950,221250
"11235","New York","NY","New York","Kings",9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,575000,575000,585000,549000,575000,620000,619500,620000,620000,618900,603000,599000,601450,603000,616500,612500,603000,599000,588000
"60647","Chicago","IL","Chicago","Cook",10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329450,320000,329000,329000,324900,350000,349000,349450,339900,345000,329900,309500,339900,319000,325000,349900,369000,349950,349950,344000,349000,379000,394999.5,369450,369000,369000,386950,399000,4e+05,399000,389000,374750,389000,389000,399000,424900,455000,449000,409900,409900,394450,399000,405000,408000,425000,399000,372250
