"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-09-30,61639,"10025","NY","New York","New York","New York",0,1282300,-0.0065850635264952,0.0372077974601634,0.149220290374619,0.106069533504347,0.0540905107541048,"2017-08","2017-Q3",1290800,-0.0065850635264952,"2017-08"
2017-09-30,84654,"60657","IL","Chicago","Cook","Chicago",1,327000,0.0042997542997543,0.0042997542997543,0.0335018963337547,0.0434943884083916,0.000767758050757683,"2017-09","2017-Q3",327000,0,"2017-09"
2017-09-30,84616,"60614","IL","Chicago","Cook","Chicago",2,418200,0.014309968469561,0.0165289256198347,0.0475951903807615,0.056376423923731,0.00493780668318777,"2017-09","2017-Q3",418200,0,"2017-09"
2017-09-30,93144,"79936","TX","El Paso","El Paso","El Paso",3,113900,-0.00175284837861525,-0.00524017467248908,0.000878734622144112,-0.00399041185566396,-0.0136641611476598,"2007-12","2007-Q4",131100,-0.131197559115179,"2006-08"
2017-09-30,84640,"60640","IL","Chicago","Cook","Chicago",4,212000,0.0119331742243437,0.0356619443087445,0.0734177215189873,0.0498831564963633,-0.00999400300692366,"2007-02","2007-Q1",237800,-0.108494533221194,"2003-12"
2017-09-30,91733,"77084","TX","Houston","Harris","Houston",5,160400,0,0.0126262626262626,-0.000623052959501558,0.0807247406133453,0.0221834617802583,"2016-08","2016-Q3",161100,-0.00434512725015518,"2016-08"
2017-09-30,97564,"94109","CA","San Francisco","San Francisco","San Francisco",6,1129800,-0.0085995085995086,-0.0179921773142112,0.0245760406275506,0.0830090927090652,0.0324675771123208,"2016-02","2016-Q1",1151400,-0.0187597707139135,"2015-12"
2017-09-30,90668,"75070","TX","Dallas-Fort Worth","Collin","McKinney",7,318700,0.00822524517557735,0.0107833809070726,0.0669568128557081,0.098436493155031,0.0440977786815597,"2017-09","2017-Q3",318700,0,"2017-09"
2017-09-30,62037,"11226","NY","New York","Kings","New York",8,653300,0.00802345317080697,0.00399569694175503,0.118281410475864,0.117479188002739,0.0416511176185967,"2017-09","2017-Q3",653300,0,"2017-09"
2017-09-30,91940,"77449","TX","Houston","Harris","Cypress",9,162700,0.000615006150061501,0.00993171942892613,0.0130759651307597,0.088243469483994,0.020283703065245,"2017-09","2017-Q3",162700,0,"2017-09"
2017-09-30,61630,"10016","NY","New York","New York","New York",10,1097700,-0.0102786042737355,0.0419553868058851,0.196272885789015,0.0987728325185731,0.0449910436933114,"2017-08","2017-Q3",1109100,-0.0102786042737355,"2017-07"
2017-09-30,71831,"32162","FL","The Villages","Sumter","The Villages",11,246700,-0.00282942603071948,-0.00323232323232323,0.00284552845528455,0.0423437208101907,0.00142990869025605,"2007-01","2007-Q1",253800,-0.0279747832939322,"2006-09"
2017-09-30,62045,"11235","NY","New York","Kings","New York",12,561900,0.0122500450369303,0.0605889014722537,0.190718372536554,0.0759342319566958,0.0323211246184996,"2017-09","2017-Q3",561900,0,"2017-09"
2017-09-30,84646,"60647","IL","Chicago","Cook","Chicago",13,333000,0.00210653024375564,0.00361663652802893,0.0554675118858954,0.0840813924891679,0.00872258095577982,"2017-09","2017-Q3",333000,0,"2017-09"
2017-09-30,74242,"37211","TN","Nashville","Davidson","Nashville",14,232500,0.0108695652173913,0.0251322751322751,0.136919315403423,0.114194110694495,0.0445912836921349,"2017-09","2017-Q3",232500,0,"2017-09"
2017-09-30,96107,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",15,579200,0.00485773768216516,0.0102912960055817,0.0810003732736096,0.0981967413022648,,"2017-09","2017-Q3",579200,0,"2017-09"
2017-09-30,74101,"37013","TN","Nashville","Davidson","Nashville",16,194200,0.0104058272632674,0.0373931623931624,0.145047169811321,0.0903746249218633,0.0271935346262091,"2017-09","2017-Q3",194200,0,"2017-09"
2017-09-30,84620,"60618","IL","Chicago","Cook","Chicago",17,333600,0.0009000900090009,0.0060313630880579,0.0305838739573679,0.070317153186721,-0.00438858813983589,"2007-03","2007-Q1",351100,-0.0498433494730846,"2005-12"
2017-09-30,61703,"10128","NY","New York","New York","New York",18,1402200,0.020375491194877,0.0786153846153846,0.330739299610895,0.119366485012679,0.0481433213264018,"2017-09","2017-Q3",1402200,0,"2017-09"
2017-09-30,69816,"28269","NC","Charlotte","Mecklenburg","Charlotte",19,182100,0.00719026548672566,0.0190263010632345,0.0819964349376114,0.0621563993452436,0.0124542089763993,"2017-09","2017-Q3",182100,0,"2017-09"
