"Date","RegionName","State","Metro","County","City","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-09-30,"10025","NY","New York","New York","New York",0,3568,0.0056369785794814,0.0121985815602837,-0.00888888888888889,22431
2017-09-30,"60657","IL","Chicago","Cook","Chicago",1,1903,0.00105207785376118,0.00741132874536792,-0.0231006160164271,32223
2017-09-30,"10023","NY","New York","New York","New York",2,3937,0.0110426296866975,0.0368712141164077,0.00203614151183507,29114
2017-09-30,"60614","IL","Chicago","Cook","Chicago",3,2138,0.00187441424554827,0.00375586854460094,-0.0246350364963504,33150
2017-09-30,"79936","TX","El Paso","El Paso","El Paso",4,983,-0.00203045685279188,-0.00907258064516129,-0.0189620758483034,31486
2017-09-30,"10002","NY","New York","New York","New York",5,3769,0.00883297644539615,0.031472359058566,0.00079660116834838,9172
2017-09-30,"60640","IL","Chicago","Cook","Chicago",6,1614,-0.00185528756957328,0,-0.00799016594960049,22477
2017-09-30,"10467","NY","New York","Bronx","New York",7,1757,-0.000568828213879408,0.00919012062033314,0.0138488170802077,7339
2017-09-30,"77084","TX","Houston","Harris","Houston",8,1428,0.000700770847932726,0.00847457627118644,-0.00626304801670146,26718
2017-09-30,"94109","CA","San Francisco","San Francisco","San Francisco",9,4422,-0.0018058690744921,-0.00539811066126856,-0.0247022496691663,9561
2017-09-30,"75070","TX","Dallas-Fort Worth","Collin","McKinney",10,1930,0,0.00155682407887909,0.00207684319833853,28948
2017-09-30,"11226","NY","New York","Kings","New York",11,2180,0.010194624652456,0.0177404295051354,0.013953488372093,10575
2017-09-30,"77494","TX","Houston","Fort Bend","Cinco Ranch",12,2149,-0.000465116279069767,-0.00139405204460967,-0.0297968397291196,31576
2017-09-30,"77449","TX","Houston","Harris","Cypress",13,1426,0.00210822206605762,0.00848656294200849,-0.0158730158730159,31979
2017-09-30,"11375","NY","New York","Queens","New York",14,2115,-0.00936768149882904,-0.0208333333333333,-0.0253456221198157,22413
2017-09-30,"10016","NY","New York","New York","New York",15,3733,0.0105576610720087,0.0340720221606648,-0.000535475234270415,26908
2017-09-30,"11235","NY","New York","Kings","New York",16,2246,0.00627240143369176,0.00989208633093525,0.0199818346957312,16914
2017-09-30,"60647","IL","Chicago","Cook","Chicago",17,1818,-0.0010989010989011,0.00943920044419767,0.0184873949579832,20165
2017-09-30,"37211","TN","Nashville","Davidson","Nashville",18,1534,0.000652315720808871,0.00327011118378025,0.0371872887085869,20517
2017-09-30,"90250","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Hawthorne",19,2620,0.00460122699386503,0.0198520825223822,0.0501002004008016,14870
2017-09-30,"37013","TN","Nashville","Davidson","Nashville",20,1437,0.00209205020920502,0.00349162011173184,0.0323275862068966,22726
2017-09-30,"10009","NY","New York","New York","New York",21,3918,0.00953362535429013,0.0381558028616852,0.00513083632632119,9251
2017-09-30,"60618","IL","Chicago","Cook","Chicago",22,1861,0.00269396551724138,0.010314875135722,0.0032345013477089,20788
2017-09-30,"10029","NY","New York","New York","New York",23,3032,0.000329924117452986,0.00563847429519071,0.0103298900366544,5782
2017-09-30,"10128","NY","New York","New York","New York",24,3332,-0.0044816253361219,-0.00179748352306771,-0.0133254367782055,22879
2017-09-30,"10011","NY","New York","New York","New York",25,4378,0.00898824613966352,0.0367037650959034,-0.0229859406382504,21512
2017-09-30,"28269","NC","Charlotte","Mecklenburg","Charlotte",26,1331,0.00150489089541008,0.0121673003802281,0.0301857585139319,26177
2017-09-30,"78572","TX","McAllen","Hidalgo","Mission",27,1020,-0.0068159688412853,-0.0239234449760766,-0.0276453765490944,20099
2017-09-30,"77573","TX","Houston","Galveston","League City",28,1969,0.00152594099694812,0.00459183673469388,-0.0125376128385155,26004
2017-09-30,"30349","GA","Atlanta","Clayton","Riverdale",29,1120,0.00991884580703336,0.0228310502283105,0.0546139359698682,23999
2017-09-30,"79912","TX","El Paso","El Paso","El Paso",30,1234,0,-0.00161812297734628,-0.00724054706355591,20964
2017-09-30,"90046","CA","Los Angeles-Long Beach-Anaheim","Los Angeles","Los Angeles",31,3839,-0.00440871369294606,-0.0138710506036476,-0.0231552162849873,11061
2017-09-30,"94565","CA","San Francisco","Contra Costa","Pittsburg",32,2186,0.0101663585951941,0.0200653289780681,0.0529865125240848,22279
2017-09-30,"77584","TX","Houston","Brazoria","Pearland",33,1879,-0.00423953365129836,-0.0120925341745531,-0.0349255264509502,22764
2017-09-30,"10003","NY","New York","New York","New York",34,4157,0.0106977875030391,0.0447348580045237,0.00434887654022711,20669
2017-09-30,"10462","NY","New York","Bronx","New York",35,1569,0.0083547557840617,-0.00190839694656489,-0.107508532423208,18630
2017-09-30,"10456","NY","New York","Bronx","New York",36,1860,-0.00428265524625268,0.0103204780010864,0.0236653824986241,3302
2017-09-30,"60613","IL","Chicago","Cook","Chicago",37,1663,-0.00180072028811525,-0.0012012012012012,-0.039838337182448,25424
2017-09-30,"78660","TX","Austin","Travis","Pflugerville",38,1635,-0.00122174709835064,-0.00486914181375533,-0.0036563071297989,23295
2017-09-30,"75052","TX","Dallas-Fort Worth","Dallas","Grand Prairie",39,1558,0.00516129032258065,0.0116883116883117,0.0470430107526882,25195
2017-09-30,"20009","DC","Washington","District of Columbia","Washington",40,2819,-0.00318246110325318,-0.00177053824362606,0.0228592162554427,15939
2017-09-30,"20002","DC","Washington","District of Columbia","Washington",41,2737,0.000365497076023392,0.0103359173126615,0.0522875816993464,18635
2017-09-30,"21234","MD","Baltimore","Baltimore","Parkville",42,1625,0.00308641975308642,0.00869025450031037,0.0278304870335231,21952
2017-09-30,"63376","MO","St. Louis","Saint Charles","Saint Peters",43,1432,0,-0.00209059233449477,0.00280112044817927,27607
2017-09-30,"77036","TX","Houston","Harris","Houston",44,1264,0.000791765637371338,-0.00157977883096367,-0.0269438029253272,10564
2017-09-30,"30044","GA","Atlanta","Gwinnett","Lawrenceville",45,1336,0.000749063670411985,0.00830188679245283,0.0388802488335925,23914
2017-09-30,"10463","NY","New York","Bronx","New York",46,1990,-0.00100401606425703,0.00861632032437912,0.0332294911734164,7488
2017-09-30,"60629","IL","Chicago","Cook","Chicago",47,1441,-0.00207756232686981,0.00348189415041783,0.00628491620111732,20840
2017-09-30,"60625","IL","Chicago","Cook","Chicago",48,1630,-0.00305810397553517,0.00617283950617284,-0.00549115314215985,16819
2017-09-30,"11206","NY","New York","Kings","New York",49,2623,0.00114503816793893,0.0061373225930188,0.0022927015666794,8597
2017-09-30,"11230","NY","New York","Kings","New York",50,2249,0.00446627958910228,0.000890075656430797,0.00536432722396066,11784
2017-09-30,"11209","NY","New York","Kings","New York",51,2284,0.00528169014084507,0.00927971718957137,0.0279027902790279,15498
2017-09-30,"11201","NY","New York","Kings","New York",52,2981,0.00302826379542396,0.0208904109589041,0.0361487660757734,20358
2017-09-30,"78613","TX","Austin","Williamson","Cedar Park",53,1729,0,0.000578703703703704,-0.0220588235294118,23738
2017-09-30,"11212","NY","New York","Kings","New York",54,2169,0.0111888111888112,0.011660447761194,0.0187881634570221,5959
2017-09-30,"37042","TN","Clarksville","Montgomery","Clarksville",55,935,0,0,0.0130010834236186,26334
2017-09-30,"75287","TX","Dallas-Fort Worth","Dallas","Dallas",56,1990,-0.000502260170768458,-0.000502260170768458,0.00201409869083585,6766
2017-09-30,"10024","NY","New York","New York","New York",57,4174,0.00918762088974855,0.0359890791759742,0.00360663621062755,19284
2017-09-30,"77479","TX","Houston","Fort Bend","Sugar Land",58,2322,-0.00684345594525235,-0.00599315068493151,-0.0491400491400491,26606
